Category,Subcategory,ProductName,ProductKey,2016-01-01 00:00:00.000,2016-02-01 00:00:00.000,2016-03-01 00:00:00.000,2016-04-01 00:00:00.000,2016-05-01 00:00:00.000,2016-06-01 00:00:00.000,2016-07-01 00:00:00.000,2016-08-01 00:00:00.000,2016-09-01 00:00:00.000,2016-10-01 00:00:00.000,2016-11-01 00:00:00.000,2016-12-01 00:00:00.000
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,1131,2635,4134,2179,2637,3279,2218,3287,3885,2484,5441,3551
Accessories,Bike Stands,All-Purpose Bike Stand,486,666,3695,2868,4862,3439,4612,2774,3003,2401,4413,3881,2143
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,1892,4727,3656,4449,4051,6257,4871,5231,5461,5529,5220,6025
Accessories,Cleaners,Bike Wash - Dissolver,484,160,713,555,656,369,582,777,777,239,496,686,455
Accessories,Fenders,Fender Set - Mountain,485,970,3014,2809,4259,3638,3721,4190,3618,3975,3892,4740,4844
Accessories,Helmets,"Sport-100 Helmet, Red",212,5317,16221,16752,16552,17204,25354,17584,20409,18268,20567,25571,22106
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,809,2684,2917,3425,2716,3260,3773,3523,4252,3111,4985,4348
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,3554,18758,20905,18046,21680,22456,23995,22922,20950,21905,24019,23587
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,370105,326786,384811,439822,458523,619456,524348,647048,557368,615032,802831,788234
Bikes,Road Bikes,"Road-150 Red, 62",310,346295,289524,355097,346783,399691,546092,441037,432400,468572,483913,558232,590261
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,133631,165941,178287,265901,286630,445270,299106,407069,391580,481316,506411,494823
Clothing,Caps,AWC Logo Cap,223,479,1695,1462,1079,1729,2180,1588,2065,2013,2138,1830,2113
Clothing,Gloves,"Half-Finger Gloves, S",462,598,2474,2957,2705,2819,2966,2975,3264,2424,3181,3518,4084
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,4087,11508,12872,11809,12789,18153,16846,13497,15988,15920,17426,20043
Clothing,Shorts,"Men's Sports Shorts, S",445,421,5723,7301,6335,5288,6829,4617,5384,6277,6337,6300,7641
Clothing,Socks,"Mountain Bike Socks, M",218,24,244,432,547,385,372,839,487,425,335,660,699
Clothing,Vests,"Classic Vest, S",471,980,2008,1980,2312,2763,2591,3379,3580,3600,4248,3685,3439
