state_postal_abbr,year,property_type,stolen_value,recovered_value
"MI",2013,"",255686,0
"MI",2013,"",2400,0
"MI",2013,"",1404,0
"TN",2013,"",12295,0
"MI",2013,"",12,0
"VA",2013,"",15892,0
"MI",2013,"",12,0
"DE",2013,"",12340,0
"MI",2013,"",3650,0
"DE",2013,"",74,0
"IN",2013,"",500,0
"DE",2014,"",0,0
"MT",2014,"",1,0
"OK",2014,"",47860,0
"WV",2014,"",4470,0
"AR",2014,"",466,0
"CO",2014,"",2624,0
"FL",2014,"",223500,0
"MI",2014,"",8925,0
"MT",2014,"",600,0
"NH",2014,"",949,0
"WV",2014,"",975,0
"TN",2014,"",150,0
"TN",2014,"",630,0
"TN",2014,"",503,0
"TX",2014,"",16400,0
"WV",2014,"",500,0
"MT",2014,"",600,0
"MI",2014,"",49965,0
"MT",2014,"",1535,0
"WV",2014,"",1912,0
"DE",2014,"",15255,0
"TX",2014,"",117615,0
"WV",2014,"",413,0
"TN",2014,"",158000,0
"MT",2014,"",1,0
"DE",2014,"",14278,0
"MT",2014,"",400,0
"WV",2014,"",800,0
"AK",2014,"",492,0
"CO",2014,"",16750,0
"DE",2014,"",16,0
"FL",2014,"",76267,0
"HI",2014,"",1,0
"ME",2014,"",20,0
"MI",2014,"",6637,0
"NH",2014,"",1,0
"OK",2014,"",1300,0
"UT",2014,"",550,0
"WV",2014,"",1014,0
"AK",2015,"",600,0
"AR",2015,"",220,0
"GA",2015,"",250,0
"GU",2015,"",3812,0
"IN",2015,"",194457,0
"MI",2015,"",277490,0
"OK",2015,"",1606,0
"VA",2015,"",102000,0
"WY",2015,"",889,0
"AK",2015,"",3500,0
"CO",2015,"",22000,0
"FL",2015,"",1370000,0
"GU",2015,"",6873,0
"TX",2015,"",14815,0
"TX",2015,"",126322,0
"TN",2015,"",2018,0
"TN",2015,"",22801,0
"WV",2015,"",1200,0
"GA",2015,"",2637,0
"GU",2015,"",46900,0
"ME",2015,"",1,0
"WY",2015,"",250000,0
"TN",2015,"",45000,0
"GA",2015,"",6500,0
"IN",2015,"",120000,0
"TN",2015,"",7960,0
"MI",2015,"",3100,0
"FL",2015,"",60000,0
"GU",2015,"",1050,0
"MI",2015,"",2,0
"MT",2015,"",1398,0
"CO",2015,"",61,0
"FL",2015,"",224352,0
"MI",2015,"",2,0
"UT",2015,"",1431,0
"WV",2015,"",1200,0
"DE",2013,"",74,0
"IN",2013,"",500,0
"DE",2013,"",12340,0
"TN",2013,"",4886,0
"AK",2014,"",492,0
"CO",2014,"",19374,0
"DE",2014,"",29549,0
"HI",2014,"",1,0
"UT",2014,"",550,0
"WV",2014,"",7535,0
"IN",2014,"",37809,0
"TN",2014,"",150,0
"DE",2014,"",0,0
"FL",2014,"",424,0
"TN",2014,"",50,0
"WV",2014,"",2549,0
"MT",2014,"",900,0
"TX",2014,"",15455,0
"AK",2015,"",4100,0
"AR",2015,"",220,0
"GA",2015,"",9387,0
"GU",2015,"",54462,0
"IN",2015,"",285711,0
"ME",2015,"",1,0
"MI",2015,"",276222,0
"MT",2015,"",1398,0
"OK",2015,"",1606,0
"UT",2015,"",1431,0
"WV",2015,"",2400,0
"WY",2015,"",250000,0
"IN",2015,"",28746,0
"TN",2015,"",1009,0
"GU",2015,"",4173,0
"MT",2015,"",400,0
"VA",2015,"",3000,0
"WY",2015,"",889,0
"TX",2015,"",628000,0
"TN",2013,"",12079,0
"TN",2013,"",2386,0
"TN",2013,"",41635,0
"MI",2013,"",2000,0
"MI",2013,"",159903,0
"TN",2013,"",2600,0
"VA",2013,"",1300,0
"VA",2013,"",20200,0
"MI",2013,"",24400,0
"MI",2013,"",12,0
"DE",2013,"",74,0
"TN",2013,"",217205,0
"MI",2013,"",700,0
"MI",2013,"",30000,0
"TN",2013,"",168800,0
"VA",2013,"",11637,0
"MI",2013,"",961,0
"VA",2013,"",54592,0
"IN",2013,"",500,0
"DE",2013,"",12340,0
"MI",2013,"",235,0
"TN",2013,"",745,0
"MI",2013,"",460,0
