REGION_NAME,STATE_ABBR,STATE_NAME
"USA West Region","AK","Alaska"
"USA South Region","AL","Alabama"
"USA South Region","AR","Arkansas"
"U.S. Territories","AS","American Samoa"
"USA West Region","AZ","Arizona"
"USA West Region","CA","California"
"USA West Region","CO","Colorado"
"USA Northeast Region","CT","Connecticut"
"USA South Region","DC","District of Columbia"
"USA South Region","DE","Delaware"
"USA South Region","FL","Florida"
"USA South Region","GA","Georgia"
"U.S. Territories","GM","Guam"
"USA Midwest Region","IA","Iowa"
"USA West Region","ID","Idaho"
"USA Midwest Region","IL","Illinois"
"USA Midwest Region","IN","Indiana"
"USA Midwest Region","KS","Kansas"
"USA South Region","KY","Kentucky"
"USA South Region","LA","Louisiana"
"USA Northeast Region","MA","Massachusetts"
"USA South Region","MD","Maryland"
"USA Northeast Region","ME","Maine"
"USA Midwest Region","MI","Michigan"
"USA Midwest Region","MN","Minnesota"
"USA Midwest Region","MO","Missouri"
"USA South Region","MS","Mississippi"
"USA West Region","MT","Montana"
"USA Midwest Region","NB","Nebraska"
"USA South Region","NC","North Carolina"
"USA Midwest Region","ND","North Dakota"
"USA Northeast Region","NH","New Hampshire"
"USA Northeast Region","NJ","New Jersey"
"USA West Region","NM","New Mexico"
"USA West Region","NV","Nevada"
"USA Northeast Region","NY","New York"
"USA Midwest Region","OH","Ohio"
"USA South Region","OK","Oklahoma"
"USA West Region","OR","Oregon"
"USA Northeast Region","PA","Pennsylvania"
"U.S. Territories","PR","Puerto Rico"
"USA Northeast Region","RI","Rhode Island"
"USA South Region","SC","South Carolina"
"USA Midwest Region","SD","South Dakota"
"USA South Region","TN","Tennessee"
"USA South Region","TX","Texas"
"USA West Region","UT","Utah"
"USA South Region","VA","Virginia"
"U.S. Territories","VI","U.S. Virgin Islands"
"USA Northeast Region","VT","Vermont"
"USA West Region","WA","Washington"
"USA Midwest Region","WI","Wisconsin"
"USA South Region","WV","West Virginia"
"USA West Region","WY","Wyoming"
