Receipt Number,Date,Time,Product,Quantity,Price $/each,Payment Type (cash / credit),CustomerID,Store,Cost of goods,Shipment date,Type
1000000067,2017-03-10 00:00:00.000,1899-12-30 15:32:50.000,"Charger Type 1, Huawei",8,8,"credit",,1,7,2017-03-17 00:00:00.000,"Type 1"
1000000067,2017-03-10 00:00:00.000,1899-12-30 15:32:50.000,"Charger Type 1, Huawei",32,8,"credit",,1,7,2017-03-17 00:00:00.000,"Type 1"
1000000067,2017-03-10 00:00:00.000,1899-12-30 15:32:50.000,"Charger Type 1, Huawei",12,8,"credit",,1,7,2017-03-17 00:00:00.000,"Type 1"
1000000067,2017-03-10 00:00:00.000,1899-12-30 15:32:50.000,"Charger Type 1, Huawei",56,8,"credit",,1,7,2017-03-17 00:00:00.000,"Type 1"
1000000067,2017-03-10 00:00:00.000,1899-12-30 15:32:50.000,"Charger Type 1, Huawei",48,8,"credit",,1,7,2017-03-17 00:00:00.000,"Type 1"
1000000067,2017-03-10 00:00:00.000,1899-12-30 15:32:50.000,"Charger Type 1, Huawei",40,8,"credit",,1,7,2017-03-17 00:00:00.000,"Type 1"
1000000067,2017-03-10 00:00:00.000,1899-12-30 15:32:50.000,"Charger Type 1, Huawei",16,8,"credit",,1,7,2017-03-17 00:00:00.000,"Type 1"
1000000275,2017-02-07 00:00:00.000,1899-12-30 17:33:46.000,"Charger Type 1, Huawei",16,8,"credit",,4,7,2017-02-12 00:00:00.000,"Type 1"
1000000275,2017-02-07 00:00:00.000,1899-12-30 17:33:46.000,"Charger Type 1, Huawei",12,8,"credit",,4,7,2017-02-12 00:00:00.000,"Type 1"
1000000275,2017-02-07 00:00:00.000,1899-12-30 17:33:46.000,"Charger Type 1, Huawei",100,8,"credit",,4,7,2017-02-12 00:00:00.000,"Type 1"
1000000275,2017-02-07 00:00:00.000,1899-12-30 17:33:46.000,"Charger Type 1, Huawei",94,8,"credit",,4,7,2017-02-12 00:00:00.000,"Type 1"
1000000275,2017-02-07 00:00:00.000,1899-12-30 17:33:46.000,"Charger Type 1, Huawei",98,8,"credit",,4,7,2017-02-12 00:00:00.000,"Type 1"
1000000275,2017-02-07 00:00:00.000,1899-12-30 17:33:46.000,"Charger Type 1, Huawei",4,8,"credit",,4,7,2017-02-12 00:00:00.000,"Type 1"
1000000621,2017-01-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",3,8,"credit",,9,7,2017-01-17 00:00:00.000,"Type 1"
1000000621,2017-01-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",4,8,"credit",,9,7,2017-01-17 00:00:00.000,"Type 1"
1000000621,2017-01-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",22,8,"credit",,9,7,2017-01-17 00:00:00.000,"Type 1"
1000000621,2017-01-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",80,8,"credit",,9,7,2017-01-17 00:00:00.000,"Type 1"
1000000621,2017-01-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",30,8,"credit",,9,7,2017-01-17 00:00:00.000,"Type 1"
1000000621,2017-01-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",5,8,"credit",,9,7,2017-01-17 00:00:00.000,"Type 1"
1000000621,2017-01-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",6,8,"credit",,9,7,2017-01-17 00:00:00.000,"Type 1"
1000001507,2017-06-13 00:00:00.000,1899-12-30 09:27:48.000,"Charger Type 1, Huawei",9,8,"credit",,9,7,2017-06-17 00:00:00.000,"Type 1"
1000001507,2017-06-13 00:00:00.000,1899-12-30 09:27:48.000,"Charger Type 1, Huawei",85,8,"credit",,9,7,2017-06-17 00:00:00.000,"Type 1"
1000001507,2017-06-13 00:00:00.000,1899-12-30 09:27:48.000,"Charger Type 1, Huawei",80,8,"credit",,9,7,2017-06-17 00:00:00.000,"Type 1"
1000001507,2017-06-13 00:00:00.000,1899-12-30 09:27:48.000,"Charger Type 1, Huawei",28,8,"credit",,9,7,2017-06-17 00:00:00.000,"Type 1"
1000001507,2017-06-13 00:00:00.000,1899-12-30 09:27:48.000,"Charger Type 1, Huawei",9,8,"credit",,9,7,2017-06-17 00:00:00.000,"Type 1"
1000001507,2017-06-13 00:00:00.000,1899-12-30 09:27:48.000,"Charger Type 1, Huawei",24,8,"credit",,9,7,2017-06-17 00:00:00.000,"Type 1"
1000001628,2017-10-02 00:00:00.000,1899-12-30 18:04:54.000,"Charger Type 1, Huawei",3,8,"credit",,9,7,2017-10-08 00:00:00.000,"Type 1"
1000001628,2017-10-02 00:00:00.000,1899-12-30 18:04:54.000,"Charger Type 1, Huawei",20,8,"credit",,9,7,2017-10-08 00:00:00.000,"Type 1"
1000001628,2017-10-02 00:00:00.000,1899-12-30 18:04:54.000,"Charger Type 1, Huawei",28,8,"credit",,9,7,2017-10-08 00:00:00.000,"Type 1"
1000001628,2017-10-02 00:00:00.000,1899-12-30 18:04:54.000,"Charger Type 1, Huawei",39,8,"credit",,9,7,2017-10-08 00:00:00.000,"Type 1"
1000001628,2017-10-02 00:00:00.000,1899-12-30 18:04:54.000,"Charger Type 1, Huawei",7,8,"credit",,9,7,2017-10-08 00:00:00.000,"Type 1"
1000001628,2017-10-02 00:00:00.000,1899-12-30 18:04:54.000,"Charger Type 1, Huawei",5,8,"credit",,9,7,2017-10-08 00:00:00.000,"Type 1"
1000010951,2019-06-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",3,8,"credit",,9,7,2019-06-17 00:00:00.000,"Type 1"
1000016478,2019-06-10 00:00:00.000,1899-12-30 20:55:25.000,"Charger Type 1, Huawei",4,8,"credit",,9,7,2019-06-17 00:00:00.000,"Type 1"
