Store,2016-01-01 00:00:00.000,2016-02-01 00:00:00.000,2016-03-01 00:00:00.000,2016-04-01 00:00:00.000,2016-05-01 00:00:00.000,2016-06-01 00:00:00.000,2016-07-01 00:00:00.000,2016-08-01 00:00:00.000,2016-09-01 00:00:00.000,2016-10-01 00:00:00.000,2016-11-01 00:00:00.000,2016-12-01 00:00:00.000,2017-01-01 00:00:00.000,2017-02-01 00:00:00.000,2017-03-01 00:00:00.000,2017-04-01 00:00:00.000,2017-05-01 00:00:00.000,2017-06-01 00:00:00.000,2017-07-01 00:00:00.000,2017-08-01 00:00:00.000,2017-09-01 00:00:00.000,2017-10-01 00:00:00.000,2017-11-01 00:00:00.000,2017-12-01 00:00:00.000,2018-01-01 00:00:00.000,2018-02-01 00:00:00.000,2018-03-01 00:00:00.000,2018-04-01 00:00:00.000,2018-05-01 00:00:00.000,2018-06-01 00:00:00.000,2018-07-01 00:00:00.000,2018-08-01 00:00:00.000,2018-09-01 00:00:00.000,2018-10-01 00:00:00.000,2018-11-01 00:00:00.000,2018-12-01 00:00:00.000,2019-01-01 00:00:00.000,2019-02-01 00:00:00.000,2019-03-01 00:00:00.000,2019-04-01 00:00:00.000,2019-05-01 00:00:00.000,2019-06-01 00:00:00.000,2019-07-01 00:00:00.000,2019-08-01 00:00:00.000,2019-09-01 00:00:00.000,2019-10-01 00:00:00.000,2019-11-01 00:00:00.000,2019-12-01 00:00:00.000,2020-01-01 00:00:00.000,2020-02-01 00:00:00.000,2020-03-01 00:00:00.000,2020-04-01 00:00:00.000,2020-05-01 00:00:00.000,2020-06-01 00:00:00.000,2020-07-01 00:00:00.000,2020-08-01 00:00:00.000,2020-09-01 00:00:00.000,2020-10-01 00:00:00.000,2020-11-01 00:00:00.000,2020-12-01 00:00:00.000
1,18176000,121200,152800,168270,157880,199020,117180,141010,141750,180750,177480,144840,1051119,1077825,1043120,1068380,1061702,1008552,1049537,1080950,1046015,1020606,1033587,1052942,211940,282780,3315420,389000,307700,324250,393440,325660,323650,358710,382490,318560,16190290,1174713,11758125,1849310,1851550,1857705,1863112,18969641,18988508,18934903,20017163,20016188,12313400,15040800,17313000,16089000,13470100,11528000,17409600,13068600,13994800,12060600,14453600,16005600
10,189800,147950,217440,208620,277020,229400,150040,170940,181560,128040,266630,230040,943079,988588,957420,900048,938145,944995,856118,870396,983562,1000207,1000655,1050183,267120,241780,241500,263200,181770,285120,256200,182700,189240,202230,222950,151700,909850,925820,965955,984256,985416,986572,1040000,1075100,11034650,1212045,1215648,126018,5712880,5918720,6188265,6213150,6298190,6986700,6138720,6174283,6193200,6251283,6131320,6251116
11,151140,219120,177590,160580,200970,233600,177870,192340,145550,194220,151840,151200,803528,867475,801150,643640,836996,644995,636397,645755,808697,862440,834707,854836,301520,352250,323500,314000,327700,422780,438580,441510,446970,474960,509560,572040,323832,387267,410090,465300,232254,278224,233808,357076,374894,446966,467648,470310,6030980,5586880,6166953,6243004,6250239,6340883,6310147,6256211,6291706,6258566,6121660,6228780
12,206500,142500,216320,132840,225250,266600,176860,167250,264000,267190,162150,221250,803550,852250,892785,640220,625423,691841,626854,617453,885182,887207,845185,872040,166320,159570,196710,139390,117420,183570,169510,253330,143100,180960,207400,132060,209563,236100,271450,358900,415070,445020,486460,571063,610357,668292,757624,832060,6092350,5440450,6263476,6192253,6178347,6255528,6255909,6241716,6189207,6121633,6219970,6273310
2,23030000,12352000,17360000,17748000,14012000,17325000,14592000,11285000,17136000,20640000,13671000,15142000,10057360,14897600,29595650,24735000,21084500,25268500,23362560,27756160,33309580,35428760,37325800,33153480,21624000,23940000,31289000,35500000,37030000,33050000,34336000,33056000,58354000,51514000,69380000,65308000,30706080,3046000,30950330,31975000,32137900,33877000,33849280,4492160,44233820,45701660,47907200,59993320,32003520,36388800,36369050,51620000,50814200,56182000,55552800,55928320,51841260,57718000,65775400,70499480
3,12288000,25795000,14950000,18212000,18984000,22644000,18620000,18816000,19470000,11130000,18270000,10441000,78304640,62635840,67051320,66307200,64229080,68265300,82044160,67307110,60420000,84644800,83417720,82409300,29656000,25504000,34092000,34560000,32644000,38970000,35792000,34601000,33400000,46880000,45602000,43485000,49658000,51938080,57896840,61548800,64229080,66937400,7421120,81402870,83930000,85192000,85445980,93719850,14938560,22170720,17755920,17617600,20379600,19159700,8225280,22632920,23868000,21944000,12949660,18788000
4,17784000,17352000,21372000,14840000,23800000,16200000,21328000,15028000,12025000,18172000,18850000,23944000,22717100,25648740,28791180,22096800,23105680,26339050,26205280,25115870,31728840,37556000,33926120,38020880,27370000,26442000,31978000,38414000,35064000,32285000,35288000,39631000,44596000,43100000,41542000,42248000,26548900,32259240,32747220,28598140,26118480,21179350,26511040,28649450,36402080,26565000,21542000,28910800,27096300,21153600,33406560,17861580,11599280,14373450,15593760,28857570,30253080,24486000,15812540,26475120
5,15750000,16920000,14637000,23310000,15704000,15064000,15004000,17690000,16965000,18648000,13886000,20034000,38818590,38909670,30720000,31985760,35838060,22259520,22611160,24806530,31166820,32096000,48157970,43002720,22673000,20241000,24000000,26166000,29082000,26992000,25812000,27019000,23454000,25120000,25833000,22624000,46300680,42084380,37780000,35500780,32898400,28657920,29927400,39487290,48028360,48075200,48007950,48052800,26073950,12494020,16800000,13579440,22516760,23109120,17551320,23826600,11301360,15422400,34616220,18809760
6,232170,255020,246820,285420,216410,248070,277870,184440,187270,122850,191100,137020,1052649,1000625,1027711,1047784,1047820,972040,969728,904516,1021440,1082268,1018188,1053970,214110,236080,189300,182100,201480,126500,183200,187840,188000,276960,331320,385360,592699,515668,443440,446363,404234,488485,384416,568948,621440,663670,685161,690943,20707128,20709187,20711882,60712131,60712981,60719867,60711387,60711742,60711932,60712512,60711313,60712511
7,161170,147700,204600,143640,276360,259560,268320,125240,147420,188100,170850,190450,812226,858688,850423,827398,956164,902742,917872,931168,914561,1028459,1057945,1026920,628200,665300,665300,622940,588150,538380,556320,592640,641080,677100,706720,786000,480278,571912,652076,736316,786268,881168,933251,948332,949277,969192,973676,9804600,20710309,20705868,10711669,10712430,10712502,10713408,10713101,10712562,10712917,9804600,935300,932300
8,151840,218120,241980,281400,215670,229600,288150,187200,167440,180180,180420,176400,851449,821265,861013,890017,710774,787164,734404,726287,742241,787128,747860,709223,583540,548500,582970,523550,531620,543360,515050,471430,334190,355940,355780,388490,265186,3025720,312970,319676,352465,435836,519351,568000,603326,623192,724840,816763,710923,704404,712634,711922,711783,712555,712559,712417,711892,711216,712199,712733
9,229840,122200,266230,156750,193120,183230,176330,143480,219000,150080,177450,168800,953843,917646,999732,946896,985850,900776,834594,884625,929568,1014594,1075427,1043485,376280,448920,445790,437600,577000,529600,564140,589750,558010,323220,225760,204610,253843,293596,366200,413840,462840,507664,536361,593545,653269,845399,855108,935300,706746,704147,711326,713587,711575,711767,711444,711916,711564,711367,713318,712168
