Rank,Name,Private Score,Submitted,authorUrl,SubmittedDate,Pub. Rank,Public Score,authorId,DifRank,RankStatus
1,"Ion Kleopas",0.87713068,"18/07 10:00","https://gallery.cortanaintelligence.com/Home/Author?authorId=3DF82BE94C87FAC62B630C4C01092284B935B7079E9AE7803723FF58197EA7F4",2016-07-18 10:00:31.000,24,0.86512068,"3DF82BE94C87FAC62B630C4C01092284B935B7079E9AE7803723FF58197EA7F4",23,"Better"
2,"nailong zhang",0.87713068,"17/09 04:52","https://gallery.cortanaintelligence.com/Home/Author?authorId=25B559123F3E37D536533962B3DE48020727B6285DE5C9F417E954E78A740793",2016-09-17 04:52:48.000,1,0.87647893999999993,"25B559123F3E37D536533962B3DE48020727B6285DE5C9F417E954E78A740793",-1,"Worst"
3,"David Eduardo Millan Calero",0.87642044999999991,"23/08 06:11","https://gallery.cortanaintelligence.com/Home/Author?authorId=9BA00B3908ADBD9EDAB22D9453EDD46384005BD6CC246DD12D8841B1D8A185A6",2016-08-23 06:11:35.000,4,0.87363938000000008,"9BA00B3908ADBD9EDAB22D9453EDD46384005BD6CC246DD12D8841B1D8A185A6",1,"Better"
4,"domingos.drigo",0.87642044999999991,"29/09 11:30","https://gallery.cortanaintelligence.com/Home/Author?authorId=9E136A099C7D9CC58DC36B3501D9DFF7DE78123F50CEB0E421E51D98A1B2712A",2016-09-29 11:30:04.000,2,0.87647893999999993,"9E136A099C7D9CC58DC36B3501D9DFF7DE78123F50CEB0E421E51D98A1B2712A",-2,"Worst"
5,"sharad.h.gabhane",0.87642044999999991,"01/10 02:33","https://gallery.cortanaintelligence.com/Home/Author?authorId=49DD808B9DD8F260145CCF46D55662843A8B5ED151B4E8783A2A69B571637839",2016-10-01 02:33:26.000,11,0.87221958999999993,"49DD808B9DD8F260145CCF46D55662843A8B5ED151B4E8783A2A69B571637839",6,"Better"
6,"Tobias Rippel",0.87571022999999992,"09/08 11:42","https://gallery.cortanaintelligence.com/Home/Author?authorId=A5602DB8ABBC5EEC396F7C08DE45FCA29F80DC2266740B2D87ABE761B2AC08D5",2016-08-09 11:42:26.000,9,0.87269285,"A5602DB8ABBC5EEC396F7C08DE45FCA29F80DC2266740B2D87ABE761B2AC08D5",3,"Better"
7,"Sonny Laskar",0.87144886,"29/09 10:49","https://gallery.cortanaintelligence.com/Home/Author?authorId=116B911EB140C211CD28A813C0CEB914CAB6334B79B80AD77F4CB8AF1BD4D805",2016-09-29 10:49:18.000,7,0.87316611,"116B911EB140C211CD28A813C0CEB914CAB6334B79B80AD77F4CB8AF1BD4D805",0,"Same"
8,"Bruce Cragin",0.87073864,"06/08 21:27","https://gallery.cortanaintelligence.com/Home/Author?authorId=D048CDBE2096EF00B9D3F66C1D2B4D4797B65D33F8ADEF57706183307B29D7A3",2016-08-06 21:27:16.000,5,0.87363938000000008,"D048CDBE2096EF00B9D3F66C1D2B4D4797B65D33F8ADEF57706183307B29D7A3",-3,"Worst"
9,"Yorick Boheemen",0.87002841000000009,"14/07 11:53","https://gallery.cortanaintelligence.com/Home/Author?authorId=185C30C4785429E45260194397F137C2CE6AB16E235EF2B7A64D448F5BFEAD11",2016-07-14 11:53:50.000,22,0.86559394,"185C30C4785429E45260194397F137C2CE6AB16E235EF2B7A64D448F5BFEAD11",13,"Better"
10,"Sharathkumar Anbu",0.87002841000000009,"24/09 02:57","https://gallery.cortanaintelligence.com/Home/Author?authorId=0F8236B8A35E342BD20B9BB0C8F6B5977E8C78726982552DEE2B01A900A88156",2016-09-24 02:57:55.000,28,0.86417416,"0F8236B8A35E342BD20B9BB0C8F6B5977E8C78726982552DEE2B01A900A88156",18,"Better"
