"Country, Other",Active Cases
"USA",2369126
"Brazil",815986
"Russia",179183
"South Africa",137977
"Mexico",105515
"Peru",132932
"Colombia",161951
"Chile",17153
"Spain",
"Iran",23914
"UK",
"Saudi Arabia",33484
"Pakistan",17791
"Bangladesh",105831
"Italy",13263
"Argentina",133651
"Turkey",11201
"Germany",10120
"France",84761
"Iraq",36948
"Philippines",59970
"Indonesia",38721
"Canada",6742
"Qatar",3054
"Kazakhstan",25861
"Egypt",37805
"Ecuador",9985
"Bolivia",56551
"China",802
"Israel",24869
"Sweden",
"Oman",6376
"Ukraine",35080
"Dominican Republic",34679
"Panama",24105
"Belgium",46500
"Kuwait",7716
"Belarus",3328
"UAE",5600
"Romania",28949
"Netherlands",
"Guatemala",9796
"Singapore",6162
"Portugal",12401
"Poland",13293
"Honduras",39362
"Japan",13431
"Nigeria",12446
"Bahrain",2882
"Ghana",2458
"Armenia",7099
"Kyrgyzstan",6629
"Afghanistan",9782
"Switzerland",2317
"Algeria",9352
"Azerbaijan",2714
"Morocco",9392
"Uzbekistan",8373
"Serbia",13411
"Moldova",7515
"Ireland",1576
"Kenya",13055
"Venezuela",12226
"Costa Rica",15321
"Nepal",6544
"Ethiopia",12205
"Austria",1389
"Australia",9217
"El Salvador",10248
"Czechia",5178
"Cameroon",2327
"Ivory Coast",3684
"S. Korea",663
"Denmark",985
"Palestine",6166
"Bosnia and Herzegovina",5920
"Bulgaria",5177
"Madagascar",2122
"Sudan",4909
"North Macedonia",3648
"Senegal",3591
"Norway",525
"DRC",906
"Malaysia",174
"French Guiana",718
"Zambia",1152
"Guinea",982
"Gabon",2168
"Tajikistan",1199
"Haiti",2469
"Finland",273
"Luxembourg",1237
"Paraguay",1610
"Mauritania",839
"Lebanon",4312
"Albania",2870
"Greece",1607
"Croatia",586
"Libya",4631
"Djibouti",179
"Maldives",2218
"Equatorial Guinea",2556
"Hungary",595
"Malawi",2137
"Zimbabwe",3108
"CAR",2860
"Hong Kong",1181
"Nicaragua",866
"Congo",2017
"Montenegro",1102
"Thailand",133
"Eswatini",1571
"Somalia",1406
"Mayotte",194
"Cuba",414
"Namibia",2226
"Cabo Verde",740
"Sri Lanka",254
"Slovakia",701
"Mali",480
"South Sudan",1248
"Suriname",727
"Mozambique",1413
"Lithuania",501
"Slovenia",195
"Estonia",128
"Rwanda",787
"Guinea-Bissau",1079
"Iceland",114
"Benin",298
"Sierra Leone",403
"Yemen",376
"Tunisia",383
"Angola",1030
"New Zealand",21
"Uruguay",191
"Latvia",188
"Uganda",161
"Jordan",54
"Cyprus",353
"Liberia",435
"Gambia",991
"Georgia",208
"Syria",790
"Burkina Faso",147
"Niger",32
"Malta",396
"Togo",308
"Jamaica",264
"Andorra",64
"Chad",29
"Bahamas",779
"Sao Tome and Principe",63
"Vietnam",433
"Botswana",739
"Lesotho",544
"Diamond Princess",48
"San Marino",0
"Réunion",51
"Channel Islands",17
"Guyana",357
"Aruba",446
"Tanzania",305
"Taiwan",30
"Burundi",92
"Comoros",23
"Myanmar",42
"Mauritius",0
"Isle of Man",0
"Martinique",222
"Faeroe Islands",88
"Mongolia",30
"Guadeloupe",90
"Eritrea",40
"Trinidad and Tobago",136
"Cambodia",32
"Turks and Caicos",175
"Papua New Guinea",158
"Cayman Islands",0
"Gibraltar",15
"Sint Maarten",86
"Bermuda",5
"Belize",119
"Barbados",23
"Brunei",1
"Monaco",16
"Seychelles",1
"Bhutan",14
"Antigua and Barbuda",13
"Liechtenstein",3
"Saint Martin",31
"French Polynesia",7
"St. Vincent Grenadines",5
"Macao",0
"Curaçao",0
"Fiji",8
"Saint Lucia",1
"Timor-Leste",1
"Grenada",1
"New Caledonia",1
"Laos",1
"Dominica",0
"Saint Kitts and Nevis",1
"Greenland",0
"Montserrat",0
"Caribbean Netherlands",6
"Falkland Islands",0
"St. Barth",7
"Vatican City",0
"Western Sahara",1
"MS Zaandam",7
"British Virgin Islands",1
"Saint Pierre Miquelon",3
"Anguilla",0
