SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Product Standard Cost,Total Product Cost,Sales,Unit Price Discount Pct,Total Profit
46638001,203,-1,333,20180718,20180728,20180725,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46638002,203,-1,325,20180718,20180728,20180725,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46642010,4,-1,321,20180720,20180730,20180727,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46642011,4,-1,323,20180720,20180730,20180727,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46642012,4,-1,325,20180720,20180730,20180727,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46660022,166,-1,321,20180726,20180805,20180802,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46660029,166,-1,331,20180726,20180805,20180802,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46663009,292,-1,323,20180727,20180806,20180803,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46668005,221,-1,335,20180729,20180808,20180805,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46675001,41,-1,329,20180731,20180810,20180807,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46960019,259,-1,333,20180808,20180818,20180815,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46964003,328,-1,341,20180809,20180819,20180816,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46964025,328,-1,339,20180809,20180819,20180816,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46965003,77,-1,325,20180809,20180819,20180816,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46965018,77,-1,333,20180809,20180819,20180816,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46970002,258,-1,339,20180810,20180820,20180817,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46970008,258,-1,323,20180810,20180820,20180817,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46970034,258,-1,335,20180810,20180820,20180817,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46988047,78,-1,339,20180815,20180825,20180822,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46988049,78,-1,337,20180815,20180825,20180822,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46992024,97,-1,337,20180816,20180826,20180823,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
46992048,97,-1,343,20180816,20180826,20180823,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47016002,529,-1,341,20180821,20180831,20180828,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47016004,529,-1,337,20180821,20180831,20180828,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47018022,167,-1,323,20180822,20180901,20180829,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47034021,257,-1,337,20180825,20180904,20180901,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47056014,403,-1,337,20180829,20180908,20180905,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47056040,403,-1,321,20180829,20180908,20180905,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47056055,403,-1,323,20180829,20180908,20180905,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47355006,24,-1,329,20180902,20180912,20180909,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47355010,24,-1,341,20180902,20180912,20180909,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47355024,24,-1,331,20180902,20180912,20180909,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47369017,239,-1,337,20180905,20180915,20180912,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47372015,649,-1,329,20180907,20180917,20180914,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47404001,647,-1,341,20180915,20180925,20180922,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47422032,130,-1,325,20180920,20180930,20180927,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47423003,165,-1,325,20180922,20181002,20180929,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
47436004,5,-1,333,20180924,20181004,20181001,4,2,469.794,939.588,486.7066,973.4132,939.588,0,-33.8252
