DisqID,Term,Reason,disqinages
1,72.31,"IVRA",6
2,52.98,"BME",4
3,21.95,"ZTO",2
4,23.14,"VTN",2
5,56.51,"BRO",5
6,52.52,"BHACW",4
7,5.94,"PBFX",0
8,22.52,"INAP",2
9,86.68,"CWST",7
10,65.97,"PLYA",5
11,82.77,"OVID",7
12,78.04,"RXN",7
13,67.4,"EEP",6
14,61.15,"YRD",5
15,52.93,"ECT",4
16,76.61,"MTR",6
17,3.42,"JUNO",0
18,6.33,"ESES",1
19,33.7,"PFM",3
20,98.58,"SNFCA",8
21,69.17,"NDRA",6
22,46.68,"FONE",4
23,14.88,"KTP",1
24,58.42,"CS",5
25,89.99,"NRK",7
26,54.34,"NYMT",5
27,35.15,"PSA^W",3
28,68.86,"CSWC",6
29,25.99,"MFC",2
30,43.13,"ONDK",4
31,5.08,"WTW",0
32,74.04,"AXE",6
33,83.06,"VREX",7
34,69.57,"TNP",6
35,99.53,"QUMU",8
36,49.66,"FBR",4
37,91.16,"BWA",8
38,26.18,"HSON",2
39,51.54,"NOV",4
40,90.31,"MIRN",8
41,74.33,"FBK",6
42,94.28,"NKX",8
43,10.47,"MYGN",1
44,51.47,"CACG",4
45,46.77,"ADRU",4
46,48.36,"IFN",4
47,61.73,"JDD",5
48,65.94,"LUV",5
49,55.13,"JRI",5
50,25.88,"MRT",2
51,22.79,"BLPH",2
52,16.3,"ECOM",1
53,9.93,"CTRN",1
54,54.75,"OPK",5
55,25.34,"MITT^A",2
56,28.81,"VNO^G",2
57,36.62,"PFM",3
58,23.06,"SBAC",2
59,38.33,"HRMNW",3
60,25.31,"PINC",2
61,33.22,"JPM^H",3
62,80.12,"ECOM",7
63,68.44,"CHI",6
64,40.71,"STAR^F",3
65,33.51,"FFIN",3
66,84.26,"VGLT",7
67,26.28,"NPTN",2
68,96.62,"ALLE",8
69,81.25,"NOVN",7
70,75.44,"IPG",6
71,26.42,"SJM",2
72,69.59,"AFH",6
73,58.13,"GZT",5
74,18.56,"KMG",2
75,14.51,"PLYA",1
76,18.32,"EYES",2
77,69.43,"AXTI",6
78,25.2,"WRE",2
79,26.41,"BF.B",2
80,82.69,"ENSG",7
81,73.16,"KTOS",6
82,48.94,"RGLS",4
83,80.45,"MTCH",7
84,56.22,"PSCM",5
85,56.62,"GMED",5
86,99.88,"GSH",8
87,73.76,"FCNCA",6
88,70.58,"MIC",6
89,39.05,"CYRXW",3
90,17.77,"AMMA",1
91,12.04,"OKSB",1
92,84.31,"OSBCP",7
93,98.02,"GRID",8
94,39.51,"MGR",3
95,42.5,"MMD",4
96,70.05,"CENT",6
97,28.72,"UPLD",2
98,59.86,"SNR",5
99,70.21,"BHACU",6
100,13.15,"FSLR",1
101,43.73,"ASRVP",4
102,9.26,"DFFN",1
103,34.27,"PEZ",3
104,74.96,"AMH^D",6
105,95.22,"ELECU",8
106,98.46,"LE",8
107,26.26,"UBP^G",2
108,37.95,"AAXN",3
109,19.66,"DTV",2
110,74.82,"ONTXW",6
111,96.13,"PFI",8
112,15.59,"PACB",1
113,56.95,"GAINO",5
114,69.7,"AMMA",6
115,29.6,"WAL",2
116,14.3,"SSNI",1
117,9.23,"PSCH",1
118,80.97,"MTSI",7
119,56.46,"JSYNR",5
120,59.89,"XIN",5
121,44.83,"EDR",4
122,2.56,"RGA",0
123,60.66,"OVID",5
124,13.8,"GRC",1
125,58.33,"FH",5
126,56.69,"BAP",5
127,63.62,"INSG",5
128,73.93,"CATH",6
129,94.42,"LII",8
130,84.34,"DZSI",7
131,46.33,"ZNWAA",4
132,5.65,"MAC",0
133,99.04,"HL",8
134,64.7,"QUIK",5
135,55.16,"HYND",5
136,16.71,"MAYS",1
137,89.75,"NMR",7
138,73.89,"BGY",6
139,76.93,"PSCE",6
140,45.94,"PBA",4
141,90.85,"NATI",8
142,19.03,"ESES",2
143,35.87,"LXU",3
144,72.08,"CAPL",6
145,81.87,"PSA^D",7
146,6.48,"SNOA",1
147,86.32,"ENJ",7
148,25.33,"RDS.B",2
149,57.62,"AKTS",5
150,73.17,"CTRV",6
151,64.2,"SINA",5
152,14.13,"MNGA",1
153,68.8,"QTNA",6
154,98.23,"JW.B",8
155,41.42,"SGQI",3
156,52.72,"DVCR",4
157,52.72,"PNI",4
158,82.74,"ELS",7
159,91.05,"CACC",8
160,88.78,"JBLU",7
161,5.99,"GOOGL",0
162,24.41,"DIOD",2
163,37.59,"CAAS",3
164,21.14,"VTN",2
165,65.38,"GNMK",5
166,2.57,"FISV",0
167,4,"PVTBP",0
168,93.1,"SAIA",8
169,5.09,"CBPX",0
170,58.62,"LHO",5
171,77.85,"IP",6
172,73.92,"GSM",6
173,73.52,"SANM",6
174,43.02,"HFBL",4
175,36.13,"ENZL",3
176,20.34,"ETO",2
177,30.22,"KAACU",3
178,13.6,"SNHNI",1
179,17.23,"RMR",1
180,24.05,"APC",2
181,41.22,"OBAS",3
182,55.49,"PRSS",5
183,41.34,"FNX",3
184,10.36,"SIVBO",1
185,74.59,"AWI",6
186,49.84,"NSL",4
187,61.73,"WNRL",5
188,34.81,"JPM^E",3
189,3.86,"JMBA",0
190,64.01,"KEM",5
191,40.46,"NTG",3
192,7.39,"SHW",1
193,85.76,"LPCN",7
194,95.92,"ATW",8
195,34.18,"NXN",3
196,7.41,"DKS",1
197,51.23,"YGE",4
198,1.31,"CCXI",0
199,27.22,"KIN",2
200,45.76,"ADX",4
201,73.09,"TRNO",6
202,11.76,"ROSE",1
203,23.15,"ALLY",2
204,42.31,"BYFC",4
205,96.84,"GWB",8
206,15.49,"MELR",1
207,38.83,"NP",3
208,66.79,"CERC",6
209,49.12,"DL",4
210,42.46,"RYAM^A",4
211,34.62,"HOLI",3
212,28.77,"BUI",2
213,60.81,"WASH",5
214,31.79,"MYGN",3
215,29.75,"CNCR",2
216,20.11,"ASRV",2
217,69.77,"CUZ",6
218,21.48,"ARNA",2
219,87.54,"CPTA",7
220,12.07,"FDEF",1
221,58.82,"CNXN",5
222,31.27,"CBL^D",3
223,96.68,"LSXMK",8
224,75.9,"SWNC",6
225,20.38,"SITO",2
226,86.57,"MGEE",7
227,55,"TDE",5
228,23.41,"TOUR",2
229,87.73,"STN",7
230,70.01,"CGA",6
231,66.34,"COG",6
232,8.25,"INVA",1
233,60.49,"GDEN",5
234,99.96,"FAB",8
235,34.34,"AWI",3
236,12.34,"BBT",1
237,78.76,"NTRSP",7
238,68.47,"DUSA",6
239,67.92,"FITS",6
240,11.33,"PPBI",1
241,62.71,"CPS",5
242,12.03,"OIIM",1
243,33.31,"GCI",3
244,26.96,"INDY",2
245,14.1,"DQ",1
246,32.56,"ONEQ",3
247,9.73,"CGEN",1
248,78.47,"DRH",7
249,89.52,"MA",7
250,58.98,"KEQU",5
251,75.54,"KEP",6
252,91.3,"SFUN",8
253,88,"DCOM",7
254,40.75,"TISI",3
255,94.39,"LBTYA",8
256,56.81,"FENG",5
257,88.78,"UTL",7
258,91.59,"SMSI",8
259,52.76,"CUBI^D",4
260,54.54,"CDNS",5
261,33,"PENN",3
262,22.85,"DYN.WS",2
263,46.62,"MGNX",4
264,67.73,"EPR^C",6
265,10.85,"HVT.A",1
266,70.74,"SERV",6
267,18.39,"FNJN",2
268,19.95,"VER^F",2
269,65.97,"SHOP",5
270,29.1,"SHPG",2
271,64.28,"MXWL",5
272,81.22,"DTLA^",7
273,55.67,"BOE",5
274,39.11,"BFZ",3
275,22.19,"WATT",2
276,62.18,"AGC",5
277,87.05,"AXON",7
278,59.44,"CLNT",5
279,38.04,"NYCB^A",3
280,64.56,"RARX",5
281,47.46,"MILN",4
282,46.48,"MTB^",4
283,81.53,"FCEF",7
284,63.61,"WHR",5
285,21.06,"ACC",2
286,62.84,"IMDZ",5
287,84.49,"HSII",7
288,47.32,"FRBK",4
289,65.52,"CBOE",5
290,47.76,"SON",4
291,50.9,"MRDN",4
292,4.18,"AUDC",0
293,56.5,"VMI",5
294,14.47,"EHTH",1
295,43.24,"AAL",4
296,31.86,"CAMT",3
297,48.14,"NCV",4
298,83.25,"DAC",7
299,65.93,"NOM",5
300,93.42,"BCX",8
301,88.17,"ESGD",7
302,30.21,"CUBE",3
303,56.23,"APEN",5
304,69.88,"NCSM",6
305,20.65,"RUTH",2
306,18.28,"NWN",2
307,14.68,"EFX",1
308,16.35,"FNF",1
309,27.73,"ALB",2
310,88.38,"SEIC",7
311,98.31,"HSGX",8
312,94.97,"PKD",8
313,71.32,"LPX",6
314,26.02,"MQT",2
315,60.7,"ALOG",5
316,68.58,"RVEN",6
317,57.19,"AKAM",5
318,15.72,"ELY",1
319,4.08,"BCLI",0
320,52.88,"DGLY",4
321,25.73,"ATNI",2
322,44.13,"SPAR",4
323,27.26,"ITG",2
324,51.71,"FDC",4
325,38.19,"SCE^F",3
326,54.06,"CNDT",5
327,5.61,"SNDR",0
328,2.45,"WIA",0
329,33.6,"LMFAW",3
330,62.42,"DGRS",5
331,54.8,"MBSD",5
332,7.79,"TVPT",1
333,82.31,"NHI",7
334,99.07,"TCAP",8
335,62.47,"CME",5
336,43.39,"WSFSL",4
337,78.42,"CNDT",7
338,53.14,"ISBC",4
339,97.11,"DXLG",8
340,74.03,"RDC",6
341,78.55,"PSTG",7
342,20.67,"SON",2
343,4.86,"CTV",0
344,62.78,"DLTR",5
345,27.27,"LMRKP",2
346,96.38,"OXBRW",8
347,91.74,"FORR",8
348,48.94,"WOW",4
349,81.8,"GJV",7
350,22.96,"NYNY",2
351,44.47,"MTG",4
352,8.28,"FIVE",1
353,75.28,"CMP",6
354,73.44,"APPN",6
355,71.51,"IMDZ",6
356,72.36,"FTXL",6
357,63.53,"HNNA",5
358,82.47,"IPKW",7
359,28.72,"TBI",2
360,59.58,"FDT",5
361,58.7,"JSYNU",5
362,7.03,"MFC",1
363,85.87,"SBCF",7
364,59.72,"MXIM",5
365,99.93,"CTY",8
366,11.22,"KFN^",1
367,43.8,"BX",4
368,12.11,"ED",1
369,45.56,"NTNX",4
370,2.83,"XENT",0
371,32.26,"FPRX",3
372,50.94,"RRR",4
373,28.35,"ENZY",2
374,87.71,"SJR",7
375,20.98,"CLIR",2
376,89.99,"HMNY",7
377,73.91,"NRT",6
378,83.77,"MPWR",7
379,28.33,"RY",2
380,97.05,"AGNCB",8
381,26.47,"WIN",2
382,26.46,"LDP",2
383,46.67,"SSW^H",4
384,43.32,"OVID",4
385,37.79,"EAGL",3
386,13.17,"HIE",1
387,71.44,"WPXP",6
388,37.59,"ATEC",3
389,56.77,"VLRS",5
390,47.96,"JHS",4
391,98.19,"SCMP",8
392,20.01,"OC",2
393,86.23,"KONA",7
394,37.25,"IQI",3
395,78.57,"SLAB",7
396,38.81,"PAVMW",3
397,17.04,"PSCE",1
398,3.15,"ARDC",0
399,18.02,"LND",2
400,76.45,"TURN",6
401,72.37,"DATA",6
402,95.96,"RRTS",8
403,13.02,"MOG.B",1
404,60.93,"W",5
405,48.32,"ACGLP",4
406,84.99,"CIO",7
407,93.48,"LNC.WS",8
408,80.24,"NYMT",7
409,56.59,"SALM",5
410,58.65,"ARWR",5
411,12.37,"DDBI",1
412,64.86,"ERII",5
413,14.62,"SKOR",1
414,53.51,"VEEV",4
415,50.4,"MASI",4
416,48.39,"WFC^Y",4
417,42.11,"THFF",4
418,31.82,"INVH",3
419,24.28,"KYN^F",2
420,42.79,"SPAN",4
421,86.7,"WIA",7
422,15.67,"PDBC",1
423,36.95,"STLY",3
424,9.41,"BLK",1
425,86.75,"CRDS",7
426,95.77,"ALP^O",8
427,22.56,"AEE",2
428,77.61,"CXW",6
429,84.34,"TAP",7
430,91.12,"JWN",8
431,92.61,"BCO",8
432,53.12,"ZYME",4
433,55.29,"WFC^R",5
434,5.07,"EEI",0
435,20.53,"JDD",2
436,20.02,"INVH",2
437,21.21,"WDC",2
438,1.28,"AWR",0
439,43.66,"LKOR",4
440,35.83,"STON",3
