CompID,SponsID,Sum,PayDate
724467,533,3196.15,2021-05-26 00:00:00.000
594117,655,6791.76,2020-10-07 00:00:00.000
749247,478,5824.43,2021-06-13 00:00:00.000
501685,386,1632.7,2021-05-19 00:00:00.000
966180,14,4051.96,2021-08-03 00:00:00.000
37380,922,4365.6,2020-09-24 00:00:00.000
158319,247,2772.43,2021-05-21 00:00:00.000
547268,934,4876.05,2021-02-21 00:00:00.000
371907,611,5323.92,2021-05-29 00:00:00.000
66672,163,5706.99,2021-06-24 00:00:00.000
972074,205,8390.74,2020-11-01 00:00:00.000
207695,513,4744.93,2020-12-28 00:00:00.000
139051,367,5508.96,2020-09-24 00:00:00.000
291382,348,316.15,2021-06-05 00:00:00.000
83066,412,273.92,2021-08-19 00:00:00.000
454374,214,250.3,2020-12-31 00:00:00.000
660060,158,2117.41,2020-11-27 00:00:00.000
713205,129,8205.48,2021-04-13 00:00:00.000
348551,62,7170.26,2021-07-07 00:00:00.000
512484,138,1107.28,2021-01-16 00:00:00.000
530851,162,5109.03,2021-08-29 00:00:00.000
664751,247,8909.79,2021-01-21 00:00:00.000
909635,248,2787.79,2021-03-22 00:00:00.000
348892,358,2853.11,2021-06-05 00:00:00.000
427351,469,6600.84,2021-07-14 00:00:00.000
271864,638,1413.55,2021-03-20 00:00:00.000
616023,666,7570,2020-09-28 00:00:00.000
158226,250,3564.96,2021-04-16 00:00:00.000
361682,53,8330.64,2021-07-04 00:00:00.000
795726,491,9693.44,2021-03-30 00:00:00.000
291540,170,1115.93,2021-06-03 00:00:00.000
672208,435,7527.41,2021-06-01 00:00:00.000
58808,854,2210.38,2021-07-18 00:00:00.000
179002,291,2575.86,2021-09-10 00:00:00.000
824597,389,8726.33,2021-01-25 00:00:00.000
328788,682,8374.16,2021-07-21 00:00:00.000
515024,718,1980.99,2020-11-23 00:00:00.000
56936,647,172.14,2021-08-30 00:00:00.000
7707,412,2582.71,2020-10-12 00:00:00.000
322187,286,8783.36,2020-10-16 00:00:00.000
765079,615,3946.99,2021-07-13 00:00:00.000
767340,956,8137.91,2021-01-19 00:00:00.000
894832,117,8888.15,2021-08-16 00:00:00.000
542583,647,8653.79,2021-04-19 00:00:00.000
881196,62,3154.04,2020-09-28 00:00:00.000
235916,150,8371.07,2021-02-03 00:00:00.000
786822,942,7208.96,2020-10-15 00:00:00.000
725482,115,8021.53,2020-10-17 00:00:00.000
394968,78,7281.14,2021-08-14 00:00:00.000
219319,956,6065.79,2021-08-01 00:00:00.000
343443,61,8168.16,2020-11-26 00:00:00.000
89083,166,108.07,2021-03-22 00:00:00.000
585530,224,881.43,2021-08-28 00:00:00.000
694531,315,9912.51,2021-05-26 00:00:00.000
888183,147,919.32,2021-09-08 00:00:00.000
100209,942,2009.29,2021-07-03 00:00:00.000
799642,837,1041.47,2021-08-05 00:00:00.000
354274,634,3289.93,2021-08-30 00:00:00.000
416023,543,3049.01,2021-08-22 00:00:00.000
568874,123,8221.67,2021-05-21 00:00:00.000
106606,425,7056.81,2021-06-16 00:00:00.000
911197,219,3115.56,2021-05-30 00:00:00.000
33437,752,3575.56,2021-02-11 00:00:00.000
624133,596,2690.63,2021-07-03 00:00:00.000
353439,226,8953.66,2021-05-25 00:00:00.000
915072,146,5057.1,2020-12-07 00:00:00.000
843452,925,5868.77,2021-04-27 00:00:00.000
836657,640,8384.73,2020-10-21 00:00:00.000
700311,893,9865.26,2021-05-01 00:00:00.000
142060,704,9525.75,2021-02-16 00:00:00.000
884154,1000,4955.78,2021-06-16 00:00:00.000
305121,786,9764.13,2021-01-19 00:00:00.000
633938,609,4158.88,2020-12-14 00:00:00.000
551904,339,3206.83,2021-01-14 00:00:00.000
