recipe_id,product_id,cena produktu do przepisu,quantity
0,0,11,1
0,1,1.1,1.1
0,2,3.2,0.8
0,3,0.8,0.8
0,4,0.6,0.6
1,5,0.6,0.6
1,6,4.8,1.2
1,7,0.8,0.8
1,8,18,0.9
1,9,7,0.7
1,4,0.7,0.7
1,10,22,1.1
1,11,1.2,0.6
2,12,2.8,0.7
2,13,11.899999999999999,0.7
2,14,19.5,1.3
2,15,22,1.1
2,16,3.2,0.8
2,17,2.5,0.5
2,18,3.6,0.9
2,19,7,1.4
3,20,22.8,1.2
3,21,4.5,0.9
3,22,3.6,0.9
3,23,25.5,1.5
3,4,1.1,1.1
3,24,0.8,0.8
3,7,1.3,1.3
3,25,1.3,1.3
3,26,7.5,1.5
3,27,0.9,0.9
3,28,1,1
4,29,3,0.6
4,30,6,1.2
4,31,7,1.4
4,4,1.1,1.1
4,24,1,1
4,32,1.2,0.6
4,9,14,1.4
4,33,2.8,0.7
4,34,4.4,1.1
4,15,26,1.3
5,35,0.6,0.6
5,36,0.8,0.8
5,37,1.1,1.1
5,4,1.4,1.4
5,7,1.3,1.3
5,38,4.4,1.1
5,1,1.2,1.2
5,34,2.8,0.7
5,39,0.5,0.5
6,0,15.399999999999999,1.4
6,5,0.5,0.5
6,40,1,1
6,26,3,0.6
6,41,4.5,0.9
6,1,1.3,1.3
6,42,6.5,1.3
6,4,0.6,0.6
6,1,0.9,0.9
6,43,0.8,0.8
6,44,0.7,0.7
7,5,1.2,1.2
7,45,5.6,1.4
7,46,5.5,1.1
7,7,1.3,1.3
7,47,0.5,0.5
7,48,2.4,0.6
7,8,22,1.1
7,49,1.1,1.1
8,33,4.8,1.2
8,50,0.8,0.8
8,51,2.4,0.6
8,47,1.3,1.3
8,52,4.4,1.1
9,53,2.8,0.7
9,54,1.3,1.3
9,55,2.5,0.5
9,48,5.2,1.3
10,1,0.9,0.9
10,56,2,0.5
10,44,1.3,1.3
10,57,2.4,0.6
10,58,3.5,0.7
10,45,4.4,1.1
10,59,0.7,0.7
10,60,7,1.4
11,61,4.4,1.1
11,0,16.5,1.5
11,62,1.4,0.7
11,63,2.8,0.7
11,33,4.4,1.1
11,42,4,0.8
11,7,0.6,0.6
11,9,9,0.9
12,64,4.5,0.9
12,65,3.6,0.9
12,66,3,0.6
12,67,4.5,0.9
12,68,1.5,1.5
12,69,1.5,0.5
12,70,0.9,0.9
12,71,0.8,0.8
12,26,4,0.8
12,23,17,1
12,72,2.4,0.6
12,73,5.2,1.3
13,64,5,1
13,74,3,0.6
13,75,5.2,1.3
13,32,1.4,0.7
13,26,7,1.4
13,76,1,0.5
13,4,0.6,0.6
13,24,1.4,1.4
13,30,3.5,0.7
13,77,3.2,0.8
13,78,3.2,0.8
13,23,18.700000000000003,1.1
14,79,1.6,0.8
14,1,0.7,0.7
14,80,4,1
14,81,4.5,0.9
14,82,4.5,0.9
14,29,7,1.4
14,83,7,1.4
14,42,7,1.4
14,40,0.5,0.5
14,4,0.7,0.7
15,84,7,1.4
15,23,10.2,0.6
15,85,6,1.2
15,42,3,0.6
15,1,1.1,1.1
15,27,1.4,1.4
15,86,6.5,1.3
15,15,12,0.6
16,87,3.5,0.7
16,88,6.5,1.3
16,89,3.6,0.9
16,6,4,1
16,90,4,0.8
17,91,3.6,0.9
17,92,3.6,0.9
17,93,1.4,1.4
17,48,4.4,1.1
17,46,5,1
17,60,6,1.2
17,94,7,1.4
17,95,5,1
17,4,1.2,1.2
17,24,0.6,0.6
18,96,1.6,0.8
18,97,5.5,1.1
18,10,26,1.3
18,98,4.5,0.9
18,8,10,0.5
18,46,2.5,0.5
18,90,4.5,0.9
18,40,1.1,1.1
19,0,12.100000000000001,1.1
19,99,1.4,1.4
19,100,2.8,0.7
19,75,2.4,0.6
19,101,5.5,1.1
19,42,4,0.8
19,102,5.6,1.4
20,79,3,1.5
20,0,7.6999999999999993,0.7
20,76,2.2,1.1
20,1,0.5,0.5
20,103,3,0.6
20,26,5.5,1.1
20,104,6.5,1.3
20,14,19.5,1.3
20,86,4.5,0.9
20,105,4,1
21,106,2.8,0.7
21,107,3.5,0.7
21,42,5,1
22,0,14.3,1.3
22,108,7.5,1.5
22,109,6.5,1.3
22,1,1.3,1.3
22,110,2.4,0.6
23,0,6.6,0.6
23,111,4.4,1.1
23,14,16.5,1.1
23,1,1.4,1.4
23,110,2.8,0.7
24,0,14.3,1.3
24,82,3.5,0.7
24,26,4,0.8
24,112,4,0.8
24,1,1.3,1.3
24,110,3.2,0.8
25,97,7,1.4
25,1,0.8,0.8
25,113,7,1.4
25,110,2.4,0.6
26,114,6,1.2
26,72,4,1
26,115,7.5,1.5
26,105,6,1.5
26,116,4.8,1.2
26,32,1.4,0.7
27,29,7,1.4
27,1,1,1
27,117,7,1.4
27,42,6.5,1.3
27,118,2.4,0.6
27,23,22.1,1.3
27,40,0.8,0.8
27,42,3.5,0.7
27,116,3.6,0.9
28,119,2.4,0.6
28,1,1.2,1.2
28,120,5.5,1.1
28,121,6.5,1.3
28,42,6.5,1.3
28,60,6.5,1.3
28,122,5.2,1.3
29,5,1.3,1.3
29,45,3.2,0.8
29,4,0.5,0.5
30,79,2.4,1.2
30,97,4.5,0.9
30,113,7.5,1.5
30,123,2.4,0.6
30,23,8.5,0.5
30,124,4.5,0.9
30,32,2.4,1.2
30,33,3.2,0.8
30,93,1.1,1.1
30,77,4.8,1.2
31,79,1.6,0.8
31,1,1.1,1.1
31,23,22.1,1.3
31,40,1.5,1.5
31,97,5.5,1.1
31,26,4.5,0.9
31,28,1.1,1.1
31,86,7.5,1.5
32,10,12,0.6
32,125,2.8,1.4
32,60,4.5,0.9
32,33,3.6,0.9
32,126,3.5,0.7
32,77,2.4,0.6
32,8,14,0.7
32,127,2,0.5
33,128,0.8,0.8
33,129,5,1
33,130,4.5,0.9
33,23,22.1,1.3
33,26,3.5,0.7
33,33,3.6,0.9
33,32,2,1
33,68,1,1
33,4,0.6,0.6
33,24,0.9,0.9
34,131,6.5,1.3
34,33,4,1
34,128,0.6,0.6
34,132,5.5,1.1
34,9,14,1.4
34,4,1.4,1.4
34,24,0.5,0.5
34,30,5.5,1.1
35,57,2.8,0.7
35,133,5.2,1.3
35,74,6.5,1.3
35,9,8,0.8
35,8,24,1.2
35,134,4,0.8
35,123,4.8,1.2
35,32,2,1
36,21,3,0.6
36,32,1.8,0.9
36,133,4.4,1.1
36,74,7,1.4
36,15,28,1.4
36,135,5.5,1.1
36,123,5.2,1.3
36,78,4.4,1.1
36,136,6,1.2
37,137,3.5,0.7
37,138,4.4,1.1
37,20,19,1
37,115,7,1.4
37,23,15.3,0.9
37,139,3.5999999999999996,0.6
38,140,3.5,0.7
38,45,2,0.5
39,141,4.8,1.2
39,142,5,1
39,143,5.6,1.4
39,144,5.6,1.4
39,66,6,1.2
39,26,3.5,0.7
39,145,4.8,1.2
39,146,4,1
40,147,4,1
40,97,4.5,0.9
40,148,4,1
40,26,4.5,0.9
40,149,5.2,1.3
40,23,22.1,1.3
40,44,0.7,0.7
40,42,2.5,0.5
41,150,0.9,0.9
41,44,1.1,1.1
41,7,1.4,1.4
41,151,5,1
41,11,1.4,0.7
41,126,5,1
41,33,3.2,0.8
42,6,5.6,1.4
42,152,0.6,0.6
42,7,0.6,0.6
42,153,5.2,1.3
42,4,1.2,1.2
42,1,0.7,0.7
42,7,1.3,1.3
42,36,0.7,0.7
44,34,2.4,0.6
44,4,1.1,1.1
44,7,1,1
44,26,5,1
44,75,3.6,0.9
44,1,0.8,0.8
44,154,2.8,0.7
44,116,5.2,1.3
45,155,3.5,0.7
45,135,5.5,1.1
45,24,0.8,0.8
45,19,6,1.2
45,9,6,0.6
45,7,1.5,1.5
45,22,3.2,0.8
45,156,4,0.8
45,157,6,1.5
45,15,18,0.9
45,1,1.3,1.3
46,72,3.2,0.8
46,154,3.6,0.9
46,158,5.2,1.3
46,32,2,1
46,159,5.2,1.3
46,160,6,1.2
46,161,3.2,0.8
46,4,0.9,0.9
46,24,0.7,0.7
47,34,3.2,0.8
47,162,6.5,1.3
47,26,3.5,0.7
47,22,4,1
47,18,5.2,1.3
47,19,4,0.8
47,4,0.6,0.6
47,24,1.2,1.2
47,135,4,0.8
48,21,6.5,1.3
48,26,6,1.2
48,158,4,1
48,8,30,1.5
48,0,11,1
48,4,1.4,1.4
48,24,0.7,0.7
48,163,5.5,1.1
49,164,3,0.6
49,158,4.4,1.1
49,32,2.8,1.4
49,4,0.9,0.9
50,165,2.8,0.7
50,32,2.2,1.1
50,26,7,1.4
50,23,22.1,1.3
50,1,0.7,0.7
50,72,2.8,0.7
50,166,7,1.4
50,74,6.5,1.3
50,126,5,1
50,28,1.5,1.5
51,86,5.5,1.1
51,32,1.2,0.6
51,165,4.4,1.1
51,23,13.600000000000001,0.8
51,9,9,0.9
51,28,0.6,0.6
52,158,4,1
52,33,4.4,1.1
52,17,6.5,1.3
52,26,5.5,1.1
52,167,4,1
52,15,12,0.6
53,131,6,1.2
53,138,4.8,1.2
53,168,3.6,0.9
53,165,3.6,0.9
53,169,4.4,1.1
53,4,1.3,1.3
53,24,0.5,0.5
53,7,0.6,0.6
54,170,2.8,0.7
54,97,7.5,1.5
54,32,1.2,0.6
54,32,2.8,1.4
54,23,20.4,1.2
54,135,7,1.4
54,139,7.8000000000000007,1.3
54,4,0.8,0.8
54,24,1.2,1.2
55,165,4,1
55,68,0.6,0.6
55,26,3,0.6
55,23,22.1,1.3
55,4,1.3,1.3
55,37,0.5,0.5
55,44,1,1
55,1,0.8,0.8
56,171,3.6,0.9
56,32,1.8,0.9
56,23,18.700000000000003,1.1
56,74,7,1.4
56,9,15,1.5
56,133,3.6,0.9
56,8,18,0.9
56,136,4.5,0.9
57,120,3,0.6
57,37,1.1,1.1
57,158,2.4,0.6
57,28,1.1,1.1
57,172,4,0.8
57,18,2.4,0.6
57,81,7,1.4
57,20,13.299999999999999,0.7
57,26,7,1.4
57,116,3.2,0.8
58,171,5.6,1.4
58,57,5.6,1.4
58,109,5,1
