Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1997,104087400000,25744800000,132418000000,59865600000,1070523600000,136675300000,138648800000,32967700000,52451900000,401723000000,242596200000,37654900000,29439000000,415770700000,170545300000,82572200000,74664600000,104584000000,116494700000,30630600000,159335800000,237316400000,299843200000,155921900000,58339900000,163151900000,19307100000,49886000000,60593400000,38214900000,307895700000,52511100000,718322500000,233924300000,15730300000,343467200000,79096000000,100888600000,356146100000,28929900000,97393000000,19000000000,154412900000,610256500000,57699700000,15415000000,217251900000,193897600000,38839700000,153240700000,14724300000
1998,109404300000,24170400000,143392400000,62442500000,1147841600000,150381700000,145495400000,36783200000,54879800000,430064200000,264894900000,37624400000,30983900000,436166700000,184582100000,84546900000,78478800000,109656200000,120429300000,32166600000,169980100000,249154200000,312611000000,166292700000,60992300000,169368700000,20444900000,51829300000,65315000000,40557800000,319946200000,50682300000,745223700000,245907300000,16792700000,361629100000,81209100000,105111500000,372738500000,30719900000,103642600000,20184700000,167308400000,645696900000,62291400000,16073100000,233095500000,210205000000,40086100000,162523000000,14928200000
1999,115030900000,24732600000,155344500000,66816700000,1247093000000,164226800000,152338100000,40363600000,58832100000,458318600000,288994300000,39250400000,34138200000,459322100000,193100600000,87662300000,81853000000,115258500000,125989900000,34382100000,180207000000,264779400000,337561200000,174650000000,63827200000,177360500000,20829900000,53689300000,71534900000,41880000000,336649900000,53092800000,793721100000,264063500000,16983700000,376034800000,84062900000,107546300000,389715700000,32295500000,110251800000,21050800000,175819800000,681335400000,66022600000,17159300000,249798300000,230554900000,41831000000,172258100000,15710900000
2000,119242400000,26778300000,164611600000,68770000000,1366561000000,180605500000,165898700000,43389400000,61095500000,489488100000,307611600000,41500200000,37992800000,487212700000,203052900000,93028600000,85853200000,114293200000,132809900000,36841000000,192106300000,289926500000,351572700000,189964800000,65645900000,187296800000,21885200000,56503700000,76627100000,45225500000,362006900000,55232900000,838660300000,275694200000,17976100000,391137800000,90792700000,117258300000,407652800000,34516400000,115246800000,22690700000,181629500000,738871000000,70291800000,18311900000,266886400000,237831800000,42606900000,180539000000,17205400000
2001,122449300000,28420400000,171474200000,70601400000,1384111200000,187571900000,173127200000,46448300000,65565900000,516689600000,318753000000,42894300000,37384100000,502260300000,204581100000,94770800000,88380400000,117430800000,137845100000,38500800000,205449800000,296834100000,348529000000,194646500000,67028600000,191199000000,22851700000,59467000000,80426600000,46629700000,373755600000,55986200000,877149300000,288683500000,18919600000,395622500000,96767000000,117274700000,424965200000,35992100000,119301400000,23512800000,185774700000,773006700000,73226000000,19274100000,284001900000,239425700000,43977600000,187939300000,18660700000
2002,127792300000,29605300000,179413300000,73950400000,1436430900000,190962800000,176208200000,45757900000,70054700000,548540300000,326929600000,45447100000,38715300000,514063800000,212430300000,98976100000,90949300000,122193100000,139537900000,40183700000,218299300000,303967100000,362271100000,202766000000,68865800000,196597600000,23880500000,61604400000,84733500000,48678500000,388337700000,58055500000,886792700000,298110000000,20209000000,411967000000,99163000000,121229500000,436985500000,38132100000,124160100000,26337500000,195289200000,787257800000,75998800000,20163300000,293275900000,248189100000,45433700000,194813100000,19115600000
2003,133739200000,31799700000,192751200000,78218800000,1527294000000,196483700000,181339700000,47761600000,74090300000,583725700000,340410600000,48929100000,40341800000,529455400000,223495300000,105073500000,94603500000,126970600000,154361600000,41838500000,228690000000,315299800000,373839300000,215155900000,73332200000,204009500000,25637600000,66415600000,90778800000,51378400000,405198500000,62895900000,905280600000,309318200000,22077400000,424915500000,105243300000,127211600000,455106800000,40272800000,130337400000,27445000000,203833700000,829764400000,79149100000,21130100000,309981200000,258262800000,46667900000,203134700000,21027500000
2004,146524700000,34970700000,205420800000,84624500000,1632216900000,203980200000,198662400000,51449400000,80471300000,635525500000,364255200000,53761800000,43739000000,558748400000,236935800000,116652500000,97676400000,134194100000,169873200000,44526300000,246762000000,330669900000,381228900000,230282000000,77214400000,214218100000,27939200000,70288800000,104420600000,54126700000,422889100000,69740700000,955192000000,328037600000,23167800000,445541100000,113148700000,136238500000,481738900000,43245600000,135160100000,29628900000,218020600000,906321000000,85701900000,22666000000,332250600000,270115200000,49271700000,215138900000,23186700000
2005,155970400000,39774800000,228231200000,89610000000,1753866200000,219907900000,208766200000,52154100000,85304900000,696741100000,386785000000,58667900000,47962900000,586693900000,243738300000,122224000000,103936600000,142649000000,197566500000,45874800000,265929500000,345586000000,394229000000,242862700000,80995700000,223497100000,30529700000,73959000000,117856100000,56352100000,440773800000,73684200000,1015046300000,352394500000,24417300000,465809300000,124563300000,143662600000,505584600000,45162400000,142616600000,30659400000,228099400000,986401300000,94194900000,23509300000,360299800000,296100700000,53259000000,225697900000,27177600000
2006,163853600000,44435300000,248230700000,94384500000,1874737300000,231205900000,222889100000,55067400000,88517200000,744464200000,402144600000,62365000000,50976300000,621859900000,255054600000,126884200000,112650300000,151006800000,205799500000,47921100000,279468300000,361266000000,395451000000,249735000000,85869000000,231771500000,32933300000,78150000000,127575700000,59411600000,464458900000,77426100000,1071393100000,383522300000,26120000000,477180400000,137083600000,155153300000,526396300000,47711800000,150659100000,31898600000,240193900000,1085294900000,106124200000,24309800000,379129400000,317167200000,56530000000,235708600000,32405100000
2007,169678400000,48972600000,262322000000,96948200000,1955856000000,246043500000,237542700000,56278500000,93970000000,768661000000,415131900000,65233500000,53852100000,647862100000,269053600000,136977000000,122453300000,154531700000,206641100000,49148600000,287872800000,379877200000,403735800000,258827200000,91057600000,240158800000,36074100000,83122800000,131599800000,60732700000,480539000000,80572800000,1108896000000,396347600000,28679700000,490965000000,144893300000,161512000000,560753400000,47845600000,159362500000,34701600000,244252400000,1178583100000,114652700000,24696800000,392917300000,346442800000,58635800000,243766700000,36602500000
2008,172686800000,54752400000,259366700000,98955300000,1990678200000,255566800000,240910900000,54787500000,99478500000,750501600000,412911900000,66864700000,55546000000,646366600000,272845600000,136553600000,127682400000,158099000000,215068900000,49973800000,296435400000,388583200000,386053900000,264688000000,96843600000,250581100000,36862500000,85200600000,129372400000,60918700000,495121800000,83724200000,1099234400000,413363300000,31722100000,495742600000,159660000000,165189100000,582240200000,47107800000,161804700000,36668500000,251609000000,1237394900000,115985400000,25678000000,399032100000,355677800000,62066700000,244759900000,42540400000
2009,168348000000,49585900000,243929400000,97058900000,1920061800000,248593600000,236393200000,56871200000,100894600000,724582200000,407024500000,65692000000,53775000000,644690100000,261238300000,136251200000,124340700000,155779700000,206884900000,50556500000,302507300000,391265100000,365591700000,259958700000,93205600000,251780000000,35983900000,86830300000,121109500000,61937400000,486512800000,82017400000,1152812100000,406477400000,32002500000,480322000000,145736400000,160640700000,577379800000,47901400000,159835600000,36193100000,250544400000,1163401300000,113332900000,25867800000,408918700000,353632000000,62957800000,245539000000,36042200000
2010,174753000000,52882500000,248210000000,101690000000,1974614500000,255140500000,237653400000,57447400000,106120300000,737791100000,416883800000,68196900000,55170700000,662637800000,280120700000,141482000000,127744800000,164605500000,225677000000,51710700000,316451500000,409762500000,386625900000,271821200000,95208400000,258544100000,38054600000,91812800000,123598100000,64151600000,495149000000,83989200000,1213946900000,415206400000,35426300000,497208200000,152911400000,163827600000,599312800000,49571800000,163856800000,37484400000,255935800000,1237196800000,117960500000,27108400000,422902000000,365551900000,65274100000,254354100000,37401200000
2011,181349800000,56259900000,257947800000,106085400000,2050056800000,264431600000,236523700000,60357400000,110076200000,746787500000,429574000000,70482600000,56488100000,688288900000,288749100000,147227000000,135315300000,169940700000,228987500000,51866700000,328058400000,425593200000,401105400000,283807300000,96371600000,260093500000,40579300000,99613400000,126657100000,65430500000,499114900000,86625000000,1236061400000,427205600000,41179200000,525388400000,165035600000,170621300000,618987700000,50175900000,170087200000,41541500000,267659100000,1331220600000,124539400000,28135100000,432392700000,379539000000,68524900000,263881600000,39370700000
2012,186299000000,57670100000,268288800000,108745200000,2144497300000,273519500000,243801000000,61975800000,112736500000,769309100000,444132200000,73582700000,57764400000,720702300000,297552700000,157250800000,140477800000,176302300000,233623100000,52874000000,334821600000,444329800000,418857400000,294296600000,99614600000,268761500000,42005800000,102269000000,128043000000,67689200000,519745800000,87601600000,1322447900000,439571000000,51345100000,540819300000,173483700000,174493100000,641317300000,51642000000,175374800000,43444600000,283721800000,1411378700000,128721000000,28887400000,444950000000,400863300000,69399000000,274343900000,38431700000
2013,191481000000,56622800000,275199100000,114251500000,2262771200000,288305200000,246632000000,60666100000,114891000000,800704100000,460585100000,75788300000,61017700000,739627900000,308681700000,160299800000,143220700000,182359200000,228967400000,53719000000,341255300000,454345700000,432717600000,306153000000,101638100000,277851100000,43141000000,107604300000,130621400000,70181900000,533686700000,88411200000,1355581400000,455521600000,53881700000,561045500000,182618400000,179382700000,663900800000,53209900000,183014900000,44814900000,292803900000,1502249800000,134252100000,29098800000,455070000000,419345000000,71037600000,282384600000,38922500000
2014,194211000000,55523400000,284430000000,117336700000,2395162300000,306571100000,248865200000,66891000000,119841000000,839484100000,485816700000,77854300000,63521800000,765347700000,324934500000,171561000000,148225600000,186523000000,238679500000,55795400000,352046700000,473279000000,449127700000,319778700000,104146000000,284712500000,44495700000,111161700000,135153200000,72340100000,546686500000,92480700000,1427495200000,475994600000,58650000000,593355100000,195023200000,188880200000,691187500000,54427300000,191938200000,46046500000,303809000000,1572818400000,141259700000,29701300000,463477600000,442201300000,71919200000,293884600000,39436100000
2015,200402700000,50641600000,297141200000,118761200000,2553772200000,318554900000,260072600000,70969400000,125211900000,895146200000,513565600000,82710000000,66004300000,792999400000,330032200000,178472600000,152374100000,191923300000,234299100000,57525700000,367096500000,502858000000,474301400000,329493200000,105883400000,294794600000,46152900000,115328000000,144232400000,76033300000,569679500000,90969000000,1487754100000,503628800000,55012200000,610772300000,185936700000,203158900000,711205400000,56759400000,203920900000,47752300000,322663600000,1568457000000,149371600000,30729600000,484216600000,470329300000,70281000000,305816500000,37721500000
2016,203829800000,49363400000,311091000000,120374800000,2657797600000,329368300000,263696400000,69549700000,129826100000,938774200000,539525100000,85843800000,69029400000,806315500000,338126100000,179546600000,156857400000,195342200000,227226700000,59753900000,384889100000,519407600000,491774200000,339100100000,107096600000,297582600000,45457900000,116193800000,151215100000,78477900000,582427500000,91043600000,1539555200000,519122100000,50833100000,622835200000,178913200000,215050400000,726163900000,57693900000,212987400000,48606100000,335025700000,1565632200000,157883300000,31659000000,493877900000,491358200000,69721400000,313532400000,35740300000
