ProductID,Product,Segment,Category,ManufacturerID,MSRP,Currency
131,"Abbas UR-02","Regular","Urban",1,329.78,"USD"
134,"Abbas UR-05","Regular","Urban",1,329.78,"USD"
137,"Abbas UR-08","Regular","Urban",1,329.78,"USD"
138,"Abbas UR-09","Regular","Urban",1,329.78,"USD"
147,"Abbas UR-18","Regular","Urban",1,329.78,"USD"
154,"Abbas UR-25","Regular","Urban",1,329.78,"USD"
156,"Abbas UR-27","Regular","Urban",1,329.78,"USD"
855,"Natura UR-01","Regular","Urban",8,329.78,"USD"
856,"Natura UR-02","Regular","Urban",8,329.78,"USD"
857,"Natura UR-03","Regular","Urban",8,329.78,"USD"
858,"Natura UR-04","Regular","Urban",8,329.78,"USD"
859,"Natura UR-05","Regular","Urban",8,329.78,"USD"
861,"Natura UR-07","Regular","Urban",8,329.78,"USD"
864,"Natura UR-10","Regular","Urban",8,329.78,"USD"
868,"Natura UR-14","Regular","Urban",8,329.78,"USD"
869,"Natura UR-15","Regular","Urban",8,329.78,"USD"
870,"Natura UR-16","Regular","Urban",8,329.78,"USD"
871,"Natura UR-17","Regular","Urban",8,329.78,"USD"
880,"Natura UR-26","Regular","Urban",8,329.78,"USD"
886,"Natura UR-32","Regular","Urban",8,329.78,"USD"
887,"Natura UR-33","Regular","Urban",8,329.78,"USD"
888,"Natura UR-34","Regular","Urban",8,329.78,"USD"
889,"Natura UR-35","Regular","Urban",8,329.78,"USD"
891,"Natura UR-37","Regular","Urban",8,329.78,"USD"
1160,"Pirum UR-17","Regular","Urban",10,329.78,"USD"
1163,"Pirum UR-20","Regular","Urban",10,329.78,"USD"
1998,"Currus UR-01","Regular","Urban",4,329.78,"USD"
2000,"Currus UR-03","Regular","Urban",4,329.78,"USD"
2001,"Currus UR-04","Regular","Urban",4,329.78,"USD"
2002,"Currus UR-05","Regular","Urban",4,329.78,"USD"
2003,"Currus UR-06","Regular","Urban",4,329.78,"USD"
2006,"Currus UR-09","Regular","Urban",4,329.78,"USD"
2007,"Currus UR-10","Regular","Urban",4,329.78,"USD"
2008,"Currus UR-11","Regular","Urban",4,329.78,"USD"
2009,"Currus UR-12","Regular","Urban",4,329.78,"USD"
2010,"Currus UR-13","Regular","Urban",4,329.78,"USD"
2011,"Currus UR-14","Regular","Urban",4,329.78,"USD"
2017,"Currus UR-20","Regular","Urban",4,329.78,"USD"
2018,"Currus UR-21","Regular","Urban",4,329.78,"USD"
2020,"Currus UR-23","Regular","Urban",4,329.78,"USD"
2021,"Currus UR-24","Regular","Urban",4,329.78,"USD"
2023,"Currus UR-26","Regular","Urban",4,329.78,"USD"
2024,"Currus UR-27","Regular","Urban",4,329.78,"USD"
2025,"Currus UR-28","Regular","Urban",4,329.78,"USD"
2027,"Currus UR-30","Regular","Urban",4,329.78,"USD"
2030,"Currus UR-33","Regular","Urban",4,329.78,"USD"
