EquipmentID,EquipmentName,Inactive,EquipmentGroupID,IsAtacUsed
1,"ALTUS MAX",0,1,
2,"ALTUS LFW",0,1,
3,"WN MAX",0,1,
4,"C3 ICE",0,2,
5,"MACHI STD",0,3,
6,"MACHI INT",0,3,
7,"MACHIV-SFEM",0,3,
8,"MACHIV-EFEM",0,3,
9,"MACHIV Control Works(사용불가)",1,4,
10,"WTS EFEM",0,3,
11,"WTS SFEM",0,3,
12,"MACH IQ EFEM(with 4W)",0,3,
13,"MACH IQ SFEM",0,3,
15,"PC MAX",0,2,
16,"Argos",0,2,
17,"MACHIV Consolidation",1,4,
18,"Argos_ATAC",1,4,
19,"ALTUS EFX",0,2,
20,"ALTUS LRW Intel",0,1,
21,"CFEM",1,4,
22,"WTS VTM",1,4,
23,"MACH VTM",1,4,
24,"CORONUS STD",0,4,
25,"CORONUS HP",0,4,
26,"CORONUS D",0,4,
27,"ALTUS GL",0,4,
28,"UPGRADE_Flex",0,4,
29,"UPGRADE_Kiyo",0,4,
30,"ALTUS Upgrade",0,4,
31,"Strata GXE",0,4,
32,"Mach 1T",0,4,
33,"WTS CEFEM FE",0,4,
34,"WTS CEFEM BE",0,4,
35,"MACH IV CEFEM FE",0,4,
36,"MACH IV CEFEM BE",0,4,
37,"MACH I CEFEM",0,3,
38,"ALD",0,4,
39,"MACH I CEFEM FE",0,3,
40,"MACH I CEFEM BE",0,3,
41,"MACH IV 4W CEFEM FE",0,3,
42,"MACH IV 4W CEFEM BE",0,3,
43,"MACH IQ CEFEM 4W FE",0,3,
44,"MACH IQ CEFEM FE",0,3,
45,"Vector DTE",0,4,
46,"Flex FSE",0,4,
47,"Inflection GS",0,1,
48,"Flex FS",0,4,
49,"ALTUS IFM",0,1,
50,"WTS Refurb",0,3,
51,"Flex FL",0,4,
52,"Selis",0,4,
