Study,Study No,COUNT,Study (clusters),Study (clusters) 2
"Architecture","S1",155,"Cluster1","Cluster1"
"Art","S2",20,"Cluster1","Cluster1"
"Carpenter","S3",24,"Cluster1","Cluster1"
"Defence","S4",11,"Cluster1","Cluster1"
"Farming","S5",14,"Cluster1","Cluster1"
"Finans","S6",3,"Cluster1","Cluster1"
"Geology","S7",44,"Cluster1","Cluster1"
"IT-Management","S8",201,"Cluster1","Cluster1"
"Journalism","S9",31,"Cluster1","Cluster1"
"Law","S10",29,"Cluster1","Cluster1"
"Linguistics","S11",3,"Cluster1","Cluster1"
"Marine Biology","S12",45,"Cluster1","Cluster1"
"Mathematics","S13",97,"Cluster1","Cluster1"
"Medicine","S14",14,"Cluster1","Cluster1"
"Neural Science","S15",13,"Cluster1","Cluster1"
"Rocket Science","S16",96,"Cluster1","Cluster1"
"Supply Chain Management","S17",17,"Cluster1","Cluster1"
"Teaching","S18",26,"Cluster1","Cluster1"
