jira_proj_key_cd,sprint_name,sprint_start_dt,sprint_end_dt,DayByDay,Issues,Story Points,Burndown_SP,Burndown_Issues,Graph_SP,Graph_Issues,Graph_Today_SP,Graph_Today_Issues,Added_SP,Added_Issues
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-05 00:00:00.000,17,87,,,,,87,17,0,1
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-06 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-07 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-08 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-09 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-10 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-11 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-12 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-13 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-14 00:00:00.000,17,87,,,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-15 00:00:00.000,17,87,0,0,,,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-01 00:00:00.000,18,96,96,18,96,18,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-02 00:00:00.000,17,95,,,95,17,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-03 00:00:00.000,17,95,,,95,17,,,,
"CF","CF Sprint 21",2018-11-01 00:00:00.000,2018-11-15 00:00:00.000,2018-11-04 00:00:00.000,17,95,,,95,17,87,16,,
