sprint_id,DW Unique Issue ID,JIRA Unique Issue ID,Issue Key,story_points,resolution_dt,Status
1453,102092,126383,"CF-132",,2018-02-02 12:51:32.040,"Done"
1453,102635,126998,"CF-142",,2018-01-31 13:33:31.720,"Done"
1533,103360,128234,"CF-164",,2018-03-02 15:07:16.690,"Done"
1510,103590,128541,"CF-180",,2018-02-14 15:01:25.103,"Done"
1533,103756,128724,"CF-210",,2018-03-30 16:10:13.830,"Done"
1533,103759,128723,"CF-209",,2018-03-12 09:44:17.410,"Done"
1533,103803,128676,"CF-214",,2018-03-19 14:17:01.916,"Done"
1510,103889,128766,"CF-241",,2018-02-05 09:46:38.143,"Done"
1453,103912,128774,"CF-259",,2018-02-05 15:57:50.783,"Done"
1533,104048,129101,"CF-270",,2018-03-30 09:43:26.520,"Done"
1510,104049,129021,"CF-271",,2018-02-05 16:18:42.036,"Done"
1533,104085,128946,"CF-275",,2018-03-08 15:05:04.783,"Done"
1453,104631,129564,"CF-318",,2018-04-30 13:31:10.273,"Done"
1510,104900,130149,"CF-327",,2018-02-19 09:58:47.100,"Done"
1510,105503,130673,"CF-336",,2018-02-14 09:55:08.336,"Done"
1510,106542,131771,"CF-354",,2018-02-19 15:15:38.506,"Done"
1533,106545,131773,"CF-356",,2018-02-26 11:38:32.106,"Done"
1533,106553,131778,"CF-361",,2018-03-12 15:28:07.433,"Done"
1453,106634,131807,"CF-372",,2018-01-22 16:55:25.950,"Done"
1453,107063,132139,"CF-379",,2018-02-02 12:45:56.103,"Done"
1510,108591,133777,"CF-390",,2018-02-15 10:48:09.700,"Done"
1510,108602,133782,"CF-394",,2018-02-15 10:48:14.606,"Done"
1533,108672,134018,"CF-399",,2018-03-08 15:05:40.253,"Done"
1510,109353,134640,"CF-407",,2018-02-10 09:34:41.236,"Done"
1533,111438,136905,"CF-438",,2018-02-21 09:43:57.696,"Done"
1533,112214,137466,"CF-445",,2018-03-16 13:16:13.366,"Done"
1533,112702,138121,"CF-453",,2018-02-19 16:18:08.393,"Done"
1534,117067,142932,"CF-489",,2018-03-12 10:27:24.636,"Done"
1534,117613,144006,"CF-501",,2018-04-30 13:39:14.836,"Done"
1621,117613,144006,"CF-501",,2018-04-30 13:39:14.836,"Done"
1721,117613,144006,"CF-501",,2018-04-30 13:39:14.836,"Done"
1819,125258,151997,"CF-607",,2018-06-27 10:03:05.650,"Done"
1818,127828,154900,"CF-675",,2018-05-21 09:51:16.306,"Done"
1721,131498,158572,"CF-717",,2018-05-09 09:38:26.853,"Done"
1721,133299,160905,"CF-747",,2018-05-08 15:54:56.690,"Done"
2321,152314,181862,"CF-986",,2018-10-10 14:32:35.556,"Done"
2321,157028,188684,"CF-1027",,2018-10-03 09:14:24.553,"Done"
1453,102922,127578,"CF-153",,2018-02-02 13:38:05.066,"Done"
1453,103512,128416,"CF-171",,2018-01-22 11:41:02.610,"Done"
1453,103515,128417,"CF-172",,2018-01-22 11:41:09.813,"Done"
1510,103580,128545,"CF-182",,2018-02-14 15:09:22.510,"Done"
1453,103660,128439,"CF-196",,2018-02-05 15:57:54.300,"Done"
1621,103803,128676,"CF-214",,2018-03-19 14:17:01.916,"Done"
1510,103912,128774,"CF-259",,2018-02-05 15:57:50.783,"Done"
1510,104183,129141,"CF-301",,2018-02-05 09:32:26.030,"Done"
1453,104210,129159,"CF-303",,2018-02-02 12:40:50.113,"Done"
