Date,Year,Quarter,Month,Day,Date Sort,Month Name,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName
2012-07-01 00:00:00.000,"2012",3,"7",1,20120701,"July","Jul 2012","Q3 2012",6,"Sunday"
2012-07-02 00:00:00.000,"2012",3,"7",2,20120702,"July","Jul 2012","Q3 2012",0,"Monday"
2012-07-03 00:00:00.000,"2012",3,"7",3,20120703,"July","Jul 2012","Q3 2012",1,"Tuesday"
2012-07-04 00:00:00.000,"2012",3,"7",4,20120704,"July","Jul 2012","Q3 2012",2,"Wednesday"
2012-07-05 00:00:00.000,"2012",3,"7",5,20120705,"July","Jul 2012","Q3 2012",3,"Thursday"
2012-07-06 00:00:00.000,"2012",3,"7",6,20120706,"July","Jul 2012","Q3 2012",4,"Friday"
2012-07-07 00:00:00.000,"2012",3,"7",7,20120707,"July","Jul 2012","Q3 2012",5,"Saturday"
2012-07-08 00:00:00.000,"2012",3,"7",8,20120708,"July","Jul 2012","Q3 2012",6,"Sunday"
2012-07-09 00:00:00.000,"2012",3,"7",9,20120709,"July","Jul 2012","Q3 2012",0,"Monday"
2012-07-10 00:00:00.000,"2012",3,"7",10,20120710,"July","Jul 2012","Q3 2012",1,"Tuesday"
2012-07-11 00:00:00.000,"2012",3,"7",11,20120711,"July","Jul 2012","Q3 2012",2,"Wednesday"
2012-07-12 00:00:00.000,"2012",3,"7",12,20120712,"July","Jul 2012","Q3 2012",3,"Thursday"
2012-07-13 00:00:00.000,"2012",3,"7",13,20120713,"July","Jul 2012","Q3 2012",4,"Friday"
2012-07-14 00:00:00.000,"2012",3,"7",14,20120714,"July","Jul 2012","Q3 2012",5,"Saturday"
2012-07-15 00:00:00.000,"2012",3,"7",15,20120715,"July","Jul 2012","Q3 2012",6,"Sunday"
2012-07-16 00:00:00.000,"2012",3,"7",16,20120716,"July","Jul 2012","Q3 2012",0,"Monday"
2012-07-17 00:00:00.000,"2012",3,"7",17,20120717,"July","Jul 2012","Q3 2012",1,"Tuesday"
2012-07-18 00:00:00.000,"2012",3,"7",18,20120718,"July","Jul 2012","Q3 2012",2,"Wednesday"
2012-07-19 00:00:00.000,"2012",3,"7",19,20120719,"July","Jul 2012","Q3 2012",3,"Thursday"
2012-07-20 00:00:00.000,"2012",3,"7",20,20120720,"July","Jul 2012","Q3 2012",4,"Friday"
2012-07-21 00:00:00.000,"2012",3,"7",21,20120721,"July","Jul 2012","Q3 2012",5,"Saturday"
2012-07-22 00:00:00.000,"2012",3,"7",22,20120722,"July","Jul 2012","Q3 2012",6,"Sunday"
2012-07-23 00:00:00.000,"2012",3,"7",23,20120723,"July","Jul 2012","Q3 2012",0,"Monday"
2012-07-24 00:00:00.000,"2012",3,"7",24,20120724,"July","Jul 2012","Q3 2012",1,"Tuesday"
2012-07-25 00:00:00.000,"2012",3,"7",25,20120725,"July","Jul 2012","Q3 2012",2,"Wednesday"
2012-07-26 00:00:00.000,"2012",3,"7",26,20120726,"July","Jul 2012","Q3 2012",3,"Thursday"
2012-07-27 00:00:00.000,"2012",3,"7",27,20120727,"July","Jul 2012","Q3 2012",4,"Friday"
2012-07-28 00:00:00.000,"2012",3,"7",28,20120728,"July","Jul 2012","Q3 2012",5,"Saturday"
2012-07-29 00:00:00.000,"2012",3,"7",29,20120729,"July","Jul 2012","Q3 2012",6,"Sunday"
2012-07-30 00:00:00.000,"2012",3,"7",30,20120730,"July","Jul 2012","Q3 2012",0,"Monday"
2012-07-31 00:00:00.000,"2012",3,"7",31,20120731,"July","Jul 2012","Q3 2012",1,"Tuesday"
2012-08-01 00:00:00.000,"2012",3,"8",1,20120801,"August","Aug 2012","Q3 2012",2,"Wednesday"
2012-08-02 00:00:00.000,"2012",3,"8",2,20120802,"August","Aug 2012","Q3 2012",3,"Thursday"
2012-08-03 00:00:00.000,"2012",3,"8",3,20120803,"August","Aug 2012","Q3 2012",4,"Friday"
2012-08-04 00:00:00.000,"2012",3,"8",4,20120804,"August","Aug 2012","Q3 2012",5,"Saturday"
2012-08-05 00:00:00.000,"2012",3,"8",5,20120805,"August","Aug 2012","Q3 2012",6,"Sunday"
2012-08-06 00:00:00.000,"2012",3,"8",6,20120806,"August","Aug 2012","Q3 2012",0,"Monday"
2012-08-07 00:00:00.000,"2012",3,"8",7,20120807,"August","Aug 2012","Q3 2012",1,"Tuesday"
2012-08-08 00:00:00.000,"2012",3,"8",8,20120808,"August","Aug 2012","Q3 2012",2,"Wednesday"
2012-08-09 00:00:00.000,"2012",3,"8",9,20120809,"August","Aug 2012","Q3 2012",3,"Thursday"
2012-08-10 00:00:00.000,"2012",3,"8",10,20120810,"August","Aug 2012","Q3 2012",4,"Friday"
