Delivery Region Index,Territory,City,Country,Full
1,"New South Wales","Sydney","Australia","Sydney, New South Wales, Australia"
2,"New South Wales","Albury","Australia","Albury, New South Wales, Australia"
3,"New South Wales","Armidale","Australia","Armidale, New South Wales, Australia"
4,"New South Wales","Bathurst","Australia","Bathurst, New South Wales, Australia"
5,"New South Wales","Broken Hill","Australia","Broken Hill, New South Wales, Australia"
6,"New South Wales","Cessnock","Australia","Cessnock, New South Wales, Australia"
7,"New South Wales","Coffs Harbour","Australia","Coffs Harbour, New South Wales, Australia"
8,"New South Wales","Dubbo","Australia","Dubbo, New South Wales, Australia"
9,"New South Wales","Gosford","Australia","Gosford, New South Wales, Australia"
10,"New South Wales","Goulburn","Australia","Goulburn, New South Wales, Australia"
11,"New South Wales","Grafton","Australia","Grafton, New South Wales, Australia"
12,"New South Wales","Griffith","Australia","Griffith, New South Wales, Australia"
13,"New South Wales","Lake Macquarie","Australia","Lake Macquarie, New South Wales, Australia"
14,"New South Wales","Lismore","Australia","Lismore, New South Wales, Australia"
15,"New South Wales","Maitland","Australia","Maitland, New South Wales, Australia"
16,"New South Wales","Newcastle","Australia","Newcastle, New South Wales, Australia"
17,"New South Wales","Nowra","Australia","Nowra, New South Wales, Australia"
18,"New South Wales","Orange","Australia","Orange, New South Wales, Australia"
19,"New South Wales","Port Macquarie","Australia","Port Macquarie, New South Wales, Australia"
20,"New South Wales","Queanbeyan","Australia","Queanbeyan, New South Wales, Australia"
21,"New South Wales","Tamworth","Australia","Tamworth, New South Wales, Australia"
22,"New South Wales","Tweed Heads","Australia","Tweed Heads, New South Wales, Australia"
23,"New South Wales","Wagga Wagga","Australia","Wagga Wagga, New South Wales, Australia"
24,"New South Wales","Wollongong","Australia","Wollongong, New South Wales, Australia"
25,"New South Wales","Wyong","Australia","Wyong, New South Wales, Australia"
26,"Queensland","Brisbane","Australia","Brisbane, Queensland, Australia"
27,"Queensland","Bundaberg","Australia","Bundaberg, Queensland, Australia"
28,"Queensland","Cairns","Australia","Cairns, Queensland, Australia"
29,"Queensland","Charters Towers","Australia","Charters Towers, Queensland, Australia"
30,"Queensland","Gladstone","Australia","Gladstone, Queensland, Australia"
31,"Queensland","Gold Coast","Australia","Gold Coast, Queensland, Australia"
32,"Queensland","Gympie","Australia","Gympie, Queensland, Australia"
33,"Queensland","Hervey Bay","Australia","Hervey Bay, Queensland, Australia"
34,"Queensland","Ipswich","Australia","Ipswich, Queensland, Australia"
35,"Queensland","Logan City","Australia","Logan City, Queensland, Australia"
36,"Queensland","Mackay","Australia","Mackay, Queensland, Australia"
37,"Queensland","Maryborough","Australia","Maryborough, Queensland, Australia"
38,"Queensland","Mount Isa","Australia","Mount Isa, Queensland, Australia"
39,"Queensland","Nambour","Australia","Nambour, Queensland, Australia"
40,"Queensland","Redcliffe","Australia","Redcliffe, Queensland, Australia"
41,"Queensland","Rockhampton","Australia","Rockhampton, Queensland, Australia"
42,"Queensland","Sunshine Coast","Australia","Sunshine Coast, Queensland, Australia"
43,"Queensland","Thuringowa","Australia","Thuringowa, Queensland, Australia"
44,"Queensland","Toowoomba","Australia","Toowoomba, Queensland, Australia"
45,"Queensland","Townsville","Australia","Townsville, Queensland, Australia"
46,"South Australia","Adelaide","Australia","Adelaide, South Australia, Australia"
47,"Victoria","Melbourne","Australia","Melbourne, Victoria, Australia"
48,"Victoria","Benalla","Australia","Benalla, Victoria, Australia"
49,"Victoria","Ballarat","Australia","Ballarat, Victoria, Australia"
50,"Victoria","Bendigo","Australia","Bendigo, Victoria, Australia"
51,"Victoria","Geelong","Australia","Geelong, Victoria, Australia"
52,"Victoria","Latrobe City","Australia","Latrobe City, Victoria, Australia"
53,"Victoria","Mildura","Australia","Mildura, Victoria, Australia"
54,"Victoria","Shepparton","Australia","Shepparton, Victoria, Australia"
55,"Victoria","Swan Hill","Australia","Swan Hill, Victoria, Australia"
56,"Victoria","Wangaratta","Australia","Wangaratta, Victoria, Australia"
57,"Victoria","Warrnambool","Australia","Warrnambool, Victoria, Australia"
58,"Victoria","Wodonga","Australia","Wodonga, Victoria, Australia"
