OrderNumber,OrderDate,Customer Name Index,Channel Index,Currency Index,Warehouse Index,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,D_RANK,Cummulative Sales %
"SO - 000136",2012-01-09 00:00:00.000,5,3,1,1,14,2,5,253.11,1265.56,121.49,2821,0.72303664006934121
"SO - 000854",2012-06-14 00:00:00.000,5,3,1,1,14,2,5,196.53,982.67,115.95,3495,0.79777127596183961
"SO - 0001015",2012-07-23 00:00:00.000,5,3,1,1,14,2,2,424.33,848.67,280.06,3963,0.8399306134095349
"SO - 0001027",2012-07-25 00:00:00.000,5,3,1,1,14,2,7,295.54,2068.81,239.39,1603,0.52621755366038392
"SO - 0001039",2012-07-27 00:00:00.000,5,3,1,1,14,2,1,377.43,377.43,237.78,6022,0.963638510068979
"SO - 0001119",2012-08-18 00:00:00.000,5,3,1,1,14,2,3,648.41,1945.23,525.21,1766,0.55876343766677117
"SO - 0001159",2012-08-26 00:00:00.000,5,3,1,1,14,2,5,99.01,495.06,61.39,5477,0.94004315209564071
"SO - 0001168",2012-08-28 00:00:00.000,5,3,1,1,14,2,8,123.58,988.62,80.33,3477,0.7963026795227961
"SO - 0001270",2012-09-22 00:00:00.000,5,3,1,1,14,2,7,120.6,844.2,53.06,3983,0.84203220139874169
"SO - 0001508",2012-11-11 00:00:00.000,5,3,1,1,14,2,7,439.97,3079.77,294.78,768,0.31769246309864158
"SO - 0001741",2013-01-05 00:00:00.000,5,3,1,1,14,2,7,250.88,1756.14,178.12,2000,0.60115012305046733
"SO - 0001812",2013-01-20 00:00:00.000,5,3,1,1,14,2,9,308.94,2780.5,154.47,948,0.369145236639575
"SO - 0001853",2013-01-27 00:00:00.000,5,3,1,1,14,2,2,262.79,525.58,197.09,5349,0.93336895830469879
"SO - 0001867",2013-01-29 00:00:00.000,5,3,1,1,14,2,1,285.12,285.12,188.18,6363,0.9748089296391953
"SO - 0001879",2013-01-31 00:00:00.000,5,3,1,1,14,2,6,270.23,1621.4,113.5,2232,0.64046665055254359
"SO - 0001907",2013-02-06 00:00:00.000,5,3,1,1,14,2,9,125.81,1132.3,106.94,3072,0.75282726885295514
"SO - 0001910",2013-02-07 00:00:00.000,5,3,1,1,14,2,3,361.8,1085.4,293.06,3189,0.76618299014292768
"SO - 0001912",2013-02-08 00:00:00.000,5,3,1,1,14,2,9,428.06,3852.5,329.6,402,0.19281392950464044
"SO - 0001943",2013-02-14 00:00:00.000,5,3,1,1,14,2,1,108.69,108.69,69.56,7535,0.99683740654910713
"SO - 0002043",2013-03-10 00:00:00.000,5,3,1,1,14,2,3,112.41,337.23,59.58,6202,0.9700960947811389
"SO - 0002054",2013-03-12 00:00:00.000,5,3,1,1,14,2,4,95.29,381.16,55.27,5996,0.96269638530901958
"SO - 0002164",2013-04-05 00:00:00.000,5,3,1,1,14,2,9,419.12,3772.1,343.68,438,0.20459919641425975
"SO - 0002208",2013-04-15 00:00:00.000,5,3,1,1,14,2,9,280.66,2525.9,129.1,1205,0.43640608066734238
"SO - 0002232",2013-04-20 00:00:00.000,5,3,1,1,14,2,2,428.06,856.11,286.8,3921,0.83560787709267281
"SO - 0002452",2013-06-08 00:00:00.000,5,3,1,1,14,2,4,125.81,503.24,96.87,5425,0.93766064925403247
"SO - 0002619",2013-07-20 00:00:00.000,5,3,1,1,14,2,4,425.08,1700.31,242.29,2137,0.62504978712126147
"SO - 0002693",2013-08-06 00:00:00.000,5,3,1,1,14,2,5,115.39,576.94,56.54,5135,0.92213727192212569
"SO - 0002703",2013-08-09 00:00:00.000,5,3,1,1,14,2,4,317.13,1268.53,158.57,2813,0.72215474226760634
"SO - 0002774",2013-08-23 00:00:00.000,5,3,1,1,14,2,6,431.78,2590.67,220.21,1120,0.41651217950198083
"SO - 0002823",2013-09-06 00:00:00.000,5,3,1,1,14,2,1,116.88,116.88,73.63,7414,0.9955420736902868
"SO - 0002967",2013-10-04 00:00:00.000,5,3,1,1,14,2,8,725.09,5800.71,355.29,45,0.028239664951475865
"SO - 0002976",2013-10-06 00:00:00.000,5,3,1,1,14,2,2,99.01,198.02,81.19,6905,0.98787945028562185
"SO - 0003078",2013-10-30 00:00:00.000,5,3,1,1,14,2,7,88.59,620.12,71.76,4887,0.90687811008181152
"SO - 0003371",2014-01-10 00:00:00.000,5,3,1,1,14,2,1,433.27,433.27,368.28,5752,0.9528866322844658
"SO - 0003413",2014-01-19 00:00:00.000,5,3,1,1,14,2,3,591.83,1775.5,278.16,1940,0.59113397937974677
"SO - 0003568",2014-02-21 00:00:00.000,5,3,1,1,14,2,3,273.96,821.87,191.77,4097,0.85088533041495407
"SO - 0003886",2014-05-07 00:00:00.000,5,3,1,1,14,2,6,119.11,714.67,69.08,4505,0.8819844628796768
"SO - 0003951",2014-05-20 00:00:00.000,5,3,1,1,14,2,6,29.03,174.2,19.74,7036,0.99039032585629461
"SO - 0003955",2014-05-21 00:00:00.000,5,3,1,1,14,2,2,116.88,233.76,95.84,6675,0.98281941360577729
"SO - 0004126",2014-06-24 00:00:00.000,5,3,1,1,14,2,3,337.98,1013.93,226.45,3395,0.78724133091123438
"SO - 0004237",2014-07-23 00:00:00.000,5,3,1,1,14,2,7,293.31,2053.18,234.65,1627,0.53093438772777735
"SO - 0004254",2014-07-26 00:00:00.000,5,3,1,1,14,2,7,427.31,2991.18,316.21,846,0.3415343451122661
"SO - 0004277",2014-07-31 00:00:00.000,5,3,1,1,14,2,2,711.69,1423.38,320.26,2462,0.67547392003844586
"SO - 0004363",2014-08-21 00:00:00.000,5,3,1,1,14,2,6,131.02,786.13,89.1,4248,0.86273407220996279
"SO - 0004554",2014-10-04 00:00:00.000,5,3,1,1,14,2,4,192.07,768.27,161.34,4303,0.86698281171072467
"SO - 0004617",2014-10-16 00:00:00.000,5,3,1,1,14,2,7,442.94,3100.61,367.64,744,0.31001303087483928
"SO - 0004698",2014-11-01 00:00:00.000,5,3,1,1,14,2,7,439.22,3074.56,202.04,775,0.31952818874593142
"SO - 0004699",2014-11-01 00:00:00.000,5,3,1,1,14,2,3,137.72,413.17,78.5,5861,0.95719647739531688
"SO - 0004729",2014-11-08 00:00:00.000,5,3,1,1,14,2,9,122.09,1098.8,52.5,3161,0.7631432039625704
"SO - 0004864",2014-12-08 00:00:00.000,5,3,1,1,14,2,5,112.41,562.06,46.09,5234,0.92745036332423736
"SO - 0004920",2014-12-20 00:00:00.000,5,3,1,1,14,2,3,443.69,1331.07,350.51,2603,0.69507610579949242
"SO - 0004924",2014-12-21 00:00:00.000,5,3,1,1,14,2,3,654.37,1963.1,543.12,1746,0.55507028576079176
"SO - 0005039",2015-01-15 00:00:00.000,5,3,1,1,14,2,9,431.03,3879.3,172.41,384,0.18512842632384308
"SO - 0005079",2015-01-24 00:00:00.000,5,3,1,1,14,2,1,425.08,425.08,348.56,5820,0.95544683276372522
"SO - 0005088",2015-01-26 00:00:00.000,5,3,1,1,14,2,7,125.07,875.47,66.29,3795,0.826758169146801
"SO - 0005130",2015-02-06 00:00:00.000,5,3,1,1,14,2,6,189.09,1134.53,104,3066,0.75248925158010427
