id_city,id_state,label
"91",9,"Saharanpur"
"910",9,"Gautam buddha naga"
"911",9,"Bulandshahr"
"912",9,"Aligarh"
"913",9,"Hathra"
"914",9,"Mathura"
"915",9,"Agra"
"916",9,"Firozabad"
"917",9,"Etah"
"918",9,"Mainpuri"
"919",9,"Budaun"
"92",9,"Muzaffarnagar"
"920",9,"Bareilly"
"921",9,"Pilibhit"
"922",9,"Shahjahanpur"
"923",9,"Kheri"
"924",9,"Sitapur"
"925",9,"Hardoi"
"926",9,"Unnao"
"927",9,"Lucknow"
"928",9,"Rae bareli"
"929",9,"Farrukhabad"
"93",9,"Bijnor"
"930",9,"Kannau"
"931",9,"Etawah"
"932",9,"Auraiy"
"933",9,"Kanpur dehat"
"934",9,"Kanpur nagar"
"935",9,"Jalaun"
"936",9,"Jhansi"
"937",9,"Lalitpur"
"938",9,"Hamirpur"
"939",9,"Mahob"
"94",9,"Moradabad"
"940",9,"Banda"
"941",9,"Chitrakoo"
"942",9,"Fatehpur"
"943",9,"Pratapgarh"
"944",9,"Kaushamb"
"945",9,"Allahabad"
"946",9,"Barabanki"
"947",9,"Faizabad"
"948",9,"Ambedkar naga"
"949",9,"Sultanpur"
"95",9,"Rampur"
"950",9,"Bahraich"
"951",9,"Shrawast"
"952",9,"Balrampu"
"953",9,"Gonda"
"954",9,"Siddharthnagar"
"955",9,"Basti"
"956",9,"Sant kabir naga"
"957",9,"Maharajganj"
"958",9,"Gorakhpur"
"959",9,"Kushinaga"
"96",9,"Jyotiba phule naga"
"960",9,"Deoria"
"961",9,"Azamgarh"
"962",9,"Mau"
"963",9,"Ballia"
"964",9,"Jaunpur"
"965",9,"Ghazipur"
"966",9,"Chandaul"
"967",9,"Varanasi"
"968",9,"Sant ravidas naga"
"969",9,"Mirzapur"
"97",9,"Meerut"
"970",9,"Sonbhadra"
"971",9,"Kanshiram nagar"
"98",9,"Baghpa"
"99",9,"Ghaziabad"
"101",10,"Pashchim champaran"
"1010",10,"Katihar"
"1011",10,"Madhepura"
"1012",10,"Saharsa"
"1013",10,"Darbhanga"
"1014",10,"Muzaffarpur"
"1015",10,"Gopalganj"
"1016",10,"Siwan"
"1017",10,"Saran"
"1018",10,"Vaishali"
"1019",10,"Samastipur"
"102",10,"Purba champaran"
"1020",10,"Begusarai"
"1021",10,"Khagaria"
"1022",10,"Bhagalpur"
"1023",10,"Bank"
"1024",10,"Munger"
"1025",10,"Lakhisara"
"1026",10,"Sheikhpur"
"1027",10,"Nalanda"
"1028",10,"Patna"
"1029",10,"Bhojpur"
"103",10,"Sheoha"
"1030",10,"Buxa"
"1031",10,"Kaimur (bhabua"
"1032",10,"Rohtas"
"1033",10,"Jehanabad"
"1034",10,"Aurangabad"
"1035",10,"Gaya"
"1036",10,"Nawada"
"1037",10,"Jamu"
"1038",10,"Arwal"
"104",10,"Sitamarhi"
"105",10,"Madhubani"
"106",10,"Supau"
"107",10,"Araria"
"108",10,"Kishanganj"
"109",10,"Purnia"
"11",1,"Kupwara"
"110",1,"Udhampur"
"111",1,"Punch"
"112",1,"Rajauri"
"113",1,"Jammu"
"114",1,"Kathua"
"115",1,"Kulgam"
"117",1,"Ramban"
"118",1,"Kishtwar"
"12",1,"Baramula"
"120",1,"Reasi"
"121",12,"Tawang"
"1210",12,"Dibang valley"
"1211",12,"Lohit"
"1212",12,"Changlang"
"1213",12,"Tirap"
"1214",12,"Lower dibang valley"
"1216",12,"Anjaw"
"122",12,"West kameng"
"123",12,"East kameng"
"124",12,"Papum par"
"125",12,"Lower subansiri"
"126",12,"Upper subansiri"
"127",12,"West siang"
"128",12,"East siang"
"129",12,"Upper sian"
"13",1,"Srinagar"
"131",13,"Mon"
"1311",13,"Peren"
"132",13,"Tuensang"
"133",13,"Mokokchung"
"134",13,"Zunheboto"
"135",13,"Wokha"
"136",13,"Dimapu"
"137",13,"Kohima"
"138",13,"Phek"
"139",13,"Kiphire"
"14",1,"Badgam"
"141",14,"Senapati"
"142",14,"Tamenglong"
"143",14,"Churachandpur"
"144",14,"Bishnupur"
"145",14,"Thoubal"
