Country/Region,Province/State,date,total_infections_base,total_deaths_base,total_recovered_base,infections_base,deaths_base,recovered_base,continent,Lat,Long,infection_rate,newinfection_rate,days2x
"Malawi","",2020-01-22 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-23 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-24 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-25 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-26 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-27 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-28 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-29 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-30 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-01-31 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-01 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-02 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-03 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-04 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-05 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-06 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-07 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-08 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-09 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-10 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-11 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-12 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-13 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-14 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-15 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-16 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-17 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-18 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
"Malawi","",2020-02-19 00:00:00.000,0,0,0,0,0,0,"Africa",,,0,0,
