RuleID,LeftItemSetId,RightItemSetId,Probability,Importance,Support
491291,13,10,0.602,1.388,124
498201,13,15,0.587,1.363,121
534683,13,7,0.476,1.334,98
526257,13,16,0.505,1.305,104
489215,13,6,0.607,1.274,125
426416,13,22,0.709,1.268,146
476365,13,2,0.63,0.523,29
498360,13,20,0.587,0.452,27
507921,13,14,0.563,0.441,116
436035,13,9,0.696,0.386,32
456902,13,12,0.666,0.32,994
470499,13,4,0.641,0.303,132
388912,13,23,0.757,0.292,156
548256,13,24,0.421,0.262,628
302878,13,18,0.891,0.214,41
517364,13,19,0.535,0.185,799
433604,13,3,0.699,0.183,144
255005,13,17,0.978,0.168,45
247153,13,21,0.985,0.142,203
293512,13,11,0.913,0.135,188
493738,13,1,0.597,0.135,123
330900,13,8,0.836,0.082,1248
329206,13,5,0.839,0.067,1253
543906,15,8,0.438,2.02,705
526784,15,2,0.501,1.233,807
502597,15,13,0.577,1.026,75
502611,15,7,0.577,0.831,75
552846,15,24,0.4,0.579,52
552844,15,22,0.4,0.577,52
552843,15,6,0.4,0.572,52
492993,15,12,0.599,0.391,434
439167,15,23,0.691,0.351,500
298722,15,16,0.9,0.345,117
415468,15,18,0.723,0.259,94
513091,15,10,0.548,0.224,883
255441,15,9,0.978,0.214,708
478809,15,19,0.626,0.203,453
296173,15,5,0.907,0.187,1461
495871,15,14,0.592,0.18,77
432850,15,3,0.7,0.176,91
256469,15,11,0.977,0.16,127
268968,15,21,0.962,0.124,125
516668,15,1,0.537,0.111,389
360587,15,17,0.792,0.083,103
346468,15,4,0.812,0.027,588
396364,7,23,0.749,0.78,292
427368,7,4,0.708,0.679,276
245209,7,2,0.987,0.678,385
349844,7,12,0.808,0.649,315
401525,7,9,0.741,0.548,289
525037,7,15,0.51,0.499,199
320927,7,13,0.854,0.495,333
528950,7,20,0.5,0.491,195
417558,7,14,0.721,0.377,281
440250,7,16,0.689,0.374,614
401524,7,18,0.741,0.32,289
507634,7,24,0.564,0.273,220
519244,7,6,0.529,0.26,471
267372,7,11,0.964,0.253,859
352366,7,10,0.804,0.238,716
391132,7,3,0.754,0.23,672
301987,7,17,0.893,0.225,796
458612,7,1,0.662,0.205,258
273850,7,21,0.953,0.192,849
272241,7,5,0.956,0.099,373
434562,7,22,0.697,0.084,272
232770,7,19,0.997,0.042,389
350133,7,8,0.807,0.026,719
538030,2,7,0.462,2.125,385
440051,2,12,0.689,0.95,575
516492,2,23,0.538,0.916,449
519679,2,15,0.527,0.823,614
538449,2,4,0.46,0.571,384
517507,2,9,0.535,0.491,446
468359,2,13,0.645,0.459,538
488420,2,16,0.609,0.336,709
531932,2,6,0.485,0.238,565
549050,2,14,0.417,0.233,486
504065,2,18,0.573,0.233,478
307656,2,11,0.881,0.225,1026
289380,2,21,0.922,0.208,1074
337386,2,17,0.826,0.203,962
493917,2,3,0.597,0.199,695
457997,2,10,0.663,0.187,772
504362,2,1,0.572,0.165,477
546932,2,24,0.426,0.152,355
306340,2,5,0.884,0.074,737
273545,2,19,0.954,0.031,1111
483744,2,22,0.618,0.027,515
366464,2,8,0.785,0.007,655
457988,16,22,0.663,0.051,112
233921,16,5,0.994,0.106,168
262081,16,11,0.971,0.201,1069
438253,16,1,0.692,0.202,117
329652,16,17,0.838,0.206,923
533530,16,6,0.48,0.213,528
277836,16,21,0.945,0.22,1040
514603,16,15,0.544,0.221,92
428060,16,10,0.707,0.238,778
465831,16,3,0.649,0.272,715
301941,16,19,0.893,0.319,151
343099,16,18,0.817,0.325,138
545480,16,8,0.432,0.348,73
521926,16,9,0.521,0.435,88
467880,16,14,0.646,0.475,711
379280,16,12,0.769,0.501,130
438145,16,4,0.692,0.536,117
234021,16,2,0.994,0.55,168
326552,16,13,0.844,0.581,929
383852,16,23,0.763,0.624,129
315591,16,24,0.864,0.707,146
301945,16,20,0.893,0.83,151
339405,16,7,0.822,0.891,139
282977,6,12,0.934,1.527,197
