Date,Month,MonthSort,Week,Empty
2019-01-01 00:00:00.000,"Jan",1,1,""
2019-01-06 00:00:00.000,"Jan",1,2,""
2019-01-13 00:00:00.000,"Jan",1,3,""
2019-01-20 00:00:00.000,"Jan",1,4,""
2019-01-27 00:00:00.000,"Jan",1,5,""
2019-02-03 00:00:00.000,"Feb",2,6,""
2019-02-10 00:00:00.000,"Feb",2,7,""
2019-02-17 00:00:00.000,"Feb",2,8,""
2019-02-24 00:00:00.000,"Feb",2,9,""
2019-03-03 00:00:00.000,"Mar",3,10,""
2019-03-10 00:00:00.000,"Mar",3,11,""
2019-03-17 00:00:00.000,"Mar",3,12,""
2019-03-24 00:00:00.000,"Mar",3,13,""
2019-03-31 00:00:00.000,"Mar",3,14,""
2019-04-07 00:00:00.000,"Apr",4,15,""
2019-04-14 00:00:00.000,"Apr",4,16,""
2019-04-21 00:00:00.000,"Apr",4,17,""
2019-04-28 00:00:00.000,"Apr",4,18,""
2019-05-05 00:00:00.000,"May",5,19,""
2019-05-12 00:00:00.000,"May",5,20,""
2019-05-19 00:00:00.000,"May",5,21,""
2019-05-26 00:00:00.000,"May",5,22,""
2019-06-02 00:00:00.000,"Jun",6,23,""
2019-06-09 00:00:00.000,"Jun",6,24,""
2019-06-16 00:00:00.000,"Jun",6,25,""
2019-06-23 00:00:00.000,"Jun",6,26,""
2019-06-30 00:00:00.000,"Jun",6,27,""
