Source.Name,sbType,sbDesc,linesCount,totalDebit,totalCredit
"ExactOnline_V32_2016.xaf","CU","A/R",14,104122.37,408342.46
"ExactOnline_V32_2016.xaf","SU","A/P",12,2500,62900
"Multivers_V32_2017.xaf","SU","",28,0,24769.86
"Multivers_V32_2017.xaf","CU","",38,50742.35,5372.01
"Twinfield_V31_2016.xaf","CU","A/R",1,0,2653
"Twinfield_V31_2016.xaf","SU","A/P",1,0,12000
"Twinfield_V31_2016.xaf","SU","A/P",2,0,16000
"Twinfield_V31_2016.xaf","SU","A/P",1,0,10000
"Twinfield_V31_2016.xaf","SU","A/P",1,0,20000
"Twinfield_V31_2016.xaf","SU","A/P",1,0,15000
"Twinfield_V31_2016.xaf","SU","A/P",1,0,1699
"Twinfield_V31_2016.xaf","SU","A/P",1,0,1800
"Twinfield_V31_2016.xaf","SU","A/P",1,0,20000
"Twinfield_V31_2016.xaf","SU","A/P",2,0,15000
"Twinfield_V31_2016.xaf","SU","A/P",1,0,3750
"Twinfield_V31_2016.xaf","SU","A/P",1,0,23176.19
"Twinfield_V31_2016.xaf","SU","A/P",1,0,11221.88
"Twinfield_V31_2016.xaf","SU","A/P",1,0,30410.71
"Twinfield_V31_2016.xaf","SU","A/P",1,0,45992.64
"Twinfield_V31_2016.xaf","SU","A/P",1,0,48291.41
"Twinfield_V31_2016.xaf","SU","A/P",1,0,153730.79
"Twinfield_V31_2016.xaf","SU","A/P",1,0,41035.38
"Twinfield_V31_2016.xaf","SU","A/P",1,0,37941.18
"Twinfield_V31_2016.xaf","SU","A/P",1,0,9664.74
"Twinfield_V31_2016.xaf","SU","A/P",1,0,8647.08
"Twinfield_V31_2016.xaf","SU","A/P",1,0,12477.58
"Twinfield_V31_2016.xaf","SU","A/P",1,0,9595.52
"Twinfield_V31_2016.xaf","SU","A/P",1,0,18766.14
"Twinfield_V31_2016.xaf","SU","A/P",1,0,13798.85
"Twinfield_V31_2016.xaf","SU","A/P",1,0,34395.76
"Twinfield_V31_2016.xaf","SU","A/P",1,0,4008.13
"Twinfield_V31_2016.xaf","SU","A/P",1,0,18086.37
"Twinfield_V31_2016.xaf","SU","A/P",1,0,256.55
"Twinfield_V31_2016.xaf","SU","A/P",1,0,6075.27
"Twinfield_V31_2016.xaf","SU","A/P",1,0,11424.6
"Twinfield_V31_2016.xaf","SU","A/P",1,0,12255.87
"Twinfield_V31_2016.xaf","SU","A/P",1,0,4941.07
"Twinfield_V31_2016.xaf","SU","A/P",1,0,18871.43
"Twinfield_V31_2016.xaf","SU","A/P",1,0,8762.09
"Twinfield_V31_2016.xaf","SU","A/P",1,0,931.34
"Twinfield_V31_2016.xaf","SU","A/P",1,0,1219.15
"Twinfield_V31_2016.xaf","SU","A/P",1,0,8028.71
"Twinfield_V31_2016.xaf","SU","A/P",1,0,1452
"Twinfield_V31_2016.xaf","SU","A/P",1,0,7000
"Twinfield_V31_2016.xaf","SU","A/P",1,0,211.23
"Twinfield_V31_2016.xaf","SU","A/P",1,0,71.12
"Twinfield_V31_2016.xaf","SU","A/P",1,0,3869.43
"Twinfield_V31_2016.xaf","SU","A/P",1,0,12100
"Twinfield_V31_2016.xaf","SU","A/P",1,0,2420
"Twinfield_V31_2016.xaf","SU","A/P",1,0,146.42
"Twinfield_V31_2016.xaf","SU","A/P",1,0,1542.75
"Twinfield_V31_2016.xaf","SU","A/P",1,0,2400
"Twinfield_V31_2016.xaf","SU","A/P",1,0,121
"Twinfield_V31_2016.xaf","SU","A/P",1,0,121
"Twinfield_V31_2016.xaf","CU","A/R",1,21663,0
"Twinfield_V31_2016.xaf","CU","A/R",1,55880,0
"Twinfield_V31_2016.xaf","CU","A/R",1,76778.15,0
"Twinfield_V31_2016.xaf","CU","A/R",1,44550,0
"Twinfield_V31_2016.xaf","CU","A/R",1,57229,0
"Twinfield_V31_2016.xaf","CU","A/R",1,49546,0
"Twinfield_V31_2016.xaf","CU","A/R",1,52140,0
"Twinfield_V31_2016.xaf","CU","A/R",1,54393,0
"Twinfield_V31_2016.xaf","CU","A/R",1,50002,0
"Twinfield_V31_2016.xaf","CU","A/R",1,46077,0
"Twinfield_V31_2016.xaf","CU","A/R",1,67906,0
"Twinfield_V31_2016.xaf","CU","A/R",1,26179,0
"Twinfield_V31_2016.xaf","CU","A/R",1,111858.3,0
"Twinfield_V31_2016.xaf","CU","A/R",1,35083.75,0
"Twinfield_V31_2016.xaf","CU","A/R",1,40895,0
"Twinfield_V31_2016.xaf","CU","A/R",1,19108,0
"Twinfield_V31_2016.xaf","CU","A/R",1,28099,0
"Twinfield_V31_2016.xaf","CU","A/R",1,6546.1,0
"Twinfield_V31_2016.xaf","CU","A/R",1,14364,0
"Twinfield_V31_2016.xaf","CU","A/R",1,0,395
"Twinfield_V31_2016.xaf","CU","A/R",1,15524,0
"Twinfield_V31_2016.xaf","CU","A/R",1,11657.29,0
"Twinfield_V31_2016.xaf","CU","A/R",1,0,5000
"Twinfield_V31_2016.xaf","CU","A/R",1,0,2000
"Twinfield_V31_2016.xaf","SU","A/P",1,10000,0
"Twinfield_V31_2016.xaf","CU","A/R",1,16000,0
"Twinfield_V31_2016.xaf","CU","A/R",2,1612,0
"XmlAuditfileFinancieel3.2_test.xaf","CS","String",1,3.14,3.14
