Name,Value.usd
"nem",0.10012
"cardano",0.880682
"chainlink",14.36
"neo",22.76
"bitcoin",41279
"dogecoin",0.127403
"maidsafecoin",0.316959
"peercoin",0.585496
"digixdao",4.46945E-07
"bitshares",0.021112
"monero",168.76
"ethereum-classic",29.11
"bitconnect",0.00424866
"emercoin",0.04819828
"ethereum",2718.8
"polkadot",17.17
"litecoin",107.18
"uniswap",9.25
"bitcoin-cash",304.67
"bytecoin",0.0001684
"stellar",0.182845
"ripple",0.736803
"dash",94.67
"tron",0.058996
"eos",2.09
"paycoin",0.00534188
"nxt",0.00905743
"dao-maker",2.28
"iota",0.749459
"factom",0.797152
"bitcoin-gold",31.01
"steem",0.318625
"lisk",2.07
