Gender,Metric,Title,Average Salary
"Male","Avg Total Compensation","Business Analyst",112364
"Male","Avg Total Compensation","Data Scientist",224333
"Male","Avg Total Compensation","Hardware Engineer",192065
"Male","Avg Total Compensation","Human Resources",212500
"Male","Avg Total Compensation","Management Consultant",147560
"Male","Avg Total Compensation","Marketing",192870
"Male","Avg Total Compensation","Mechanical Engineer",112941
"Male","Avg Total Compensation","Product Designer",249600
"Male","Avg Total Compensation","Product Manager",298588
"Male","Avg Total Compensation","Recruiter",133444
"Male","Avg Total Compensation","Sales",358444
"Male","Avg Total Compensation","Software Engineer",226739
"Male","Avg Total Compensation","Software Engineering Manager",335014
"Male","Avg Total Compensation","Solution Architect",212500
"Male","Avg Total Compensation","Technical Program Manager",250629
"Male","Max Total Compensation","Business Analyst",190000
"Male","Max Total Compensation","Data Scientist",420000
"Male","Max Total Compensation","Hardware Engineer",400000
"Male","Max Total Compensation","Human Resources",360000
"Male","Max Total Compensation","Management Consultant",345000
"Male","Max Total Compensation","Marketing",525000
"Male","Max Total Compensation","Mechanical Engineer",215000
"Male","Max Total Compensation","Product Designer",452000
"Male","Max Total Compensation","Product Manager",1600000
"Male","Max Total Compensation","Recruiter",240000
"Male","Max Total Compensation","Sales",802000
"Male","Max Total Compensation","Software Engineer",650000
"Male","Max Total Compensation","Software Engineering Manager",1733000
"Male","Max Total Compensation","Solution Architect",235000
"Male","Max Total Compensation","Technical Program Manager",500000
"Female","Avg Total Compensation","Business Analyst",124261
"Female","Avg Total Compensation","Data Scientist",190889
"Female","Avg Total Compensation","Hardware Engineer",189779
"Female","Avg Total Compensation","Human Resources",173882
"Female","Avg Total Compensation","Management Consultant",146075
"Female","Avg Total Compensation","Marketing",174316
"Female","Avg Total Compensation","Mechanical Engineer",153344
"Female","Avg Total Compensation","Product Designer",192390
"Female","Avg Total Compensation","Product Manager",238366
"Female","Avg Total Compensation","Recruiter",158156
"Female","Avg Total Compensation","Sales",204649
"Female","Avg Total Compensation","Software Engineer",191685
"Female","Avg Total Compensation","Software Engineering Manager",358598
"Female","Avg Total Compensation","Solution Architect",203354
"Female","Avg Total Compensation","Technical Program Manager",217135
"Female","Max Total Compensation","Business Analyst",405000
"Female","Max Total Compensation","Data Scientist",500000
"Female","Max Total Compensation","Hardware Engineer",677000
"Female","Max Total Compensation","Human Resources",450000
"Female","Max Total Compensation","Management Consultant",310000
"Female","Max Total Compensation","Marketing",456000
"Female","Max Total Compensation","Mechanical Engineer",320000
"Female","Max Total Compensation","Product Designer",550000
"Female","Max Total Compensation","Product Manager",1300000
"Female","Max Total Compensation","Recruiter",358000
"Female","Max Total Compensation","Sales",440000
"Female","Max Total Compensation","Software Engineer",825000
"Female","Max Total Compensation","Software Engineering Manager",1355000
"Female","Max Total Compensation","Solution Architect",360000
"Female","Max Total Compensation","Technical Program Manager",694000
