Title,Date,variable,value
Software Engineer,2020-01-01 00:00:00.000,Salary,230830
Hardware Engineer,2020-01-01 00:00:00.000,Salary,256667
Data Scientist,2020-01-01 00:00:00.000,Salary,221568
Product Manager,2020-01-01 00:00:00.000,Salary,290048
Software Engineering Manager,2020-01-01 00:00:00.000,Salary,350333
Product Designer,2020-01-01 00:00:00.000,Salary,234625
Solution Architect,2020-01-01 00:00:00.000,Salary,270455
Marketing,2020-01-01 00:00:00.000,Salary,275000
Software Engineer,2020-02-01 00:00:00.000,Salary,221148
Product Manager,2020-02-01 00:00:00.000,Salary,284127
Software Engineering Manager,2020-02-01 00:00:00.000,Salary,358476
Data Scientist,2020-02-01 00:00:00.000,Salary,221028
Hardware Engineer,2020-02-01 00:00:00.000,Salary,228294
Solution Architect,2020-02-01 00:00:00.000,Salary,192889
Product Designer,2020-02-01 00:00:00.000,Salary,215300
Business Analyst,2020-02-01 00:00:00.000,Salary,204000
Sales,2020-02-01 00:00:00.000,Salary,260000
Software Engineer,2020-03-01 00:00:00.000,Salary,217994
Product Manager,2020-03-01 00:00:00.000,Salary,255326
Product Designer,2020-03-01 00:00:00.000,Salary,211500
Hardware Engineer,2020-03-01 00:00:00.000,Salary,207867
Solution Architect,2020-03-01 00:00:00.000,Salary,191600
Software Engineering Manager,2020-03-01 00:00:00.000,Salary,439429
Data Scientist,2020-03-01 00:00:00.000,Salary,206086
Technical Program Manager,2020-03-01 00:00:00.000,Salary,215941
Management Consultant,2020-03-01 00:00:00.000,Salary,138167
Mechanical Engineer,2020-03-01 00:00:00.000,Salary,120000
Software Engineer,2020-04-01 00:00:00.000,Salary,217394
Hardware Engineer,2020-04-01 00:00:00.000,Salary,237440
Data Scientist,2020-04-01 00:00:00.000,Salary,218125
Product Manager,2020-04-01 00:00:00.000,Salary,273870
Software Engineering Manager,2020-04-01 00:00:00.000,Salary,381034
Technical Program Manager,2020-04-01 00:00:00.000,Salary,205000
Management Consultant,2020-04-01 00:00:00.000,Salary,181353
Product Designer,2020-04-01 00:00:00.000,Salary,278571
Solution Architect,2020-04-01 00:00:00.000,Salary,182714
Hardware Engineer,2020-05-01 00:00:00.000,Salary,207897
Product Manager,2020-05-01 00:00:00.000,Salary,259475
Software Engineer,2020-05-01 00:00:00.000,Salary,230114
Management Consultant,2020-05-01 00:00:00.000,Salary,174188
Data Scientist,2020-05-01 00:00:00.000,Salary,191511
Software Engineering Manager,2020-05-01 00:00:00.000,Salary,340162
Solution Architect,2020-05-01 00:00:00.000,Salary,209000
Technical Program Manager,2020-05-01 00:00:00.000,Salary,246579
Product Designer,2020-05-01 00:00:00.000,Salary,192182
Business Analyst,2020-05-01 00:00:00.000,Salary,130500
Mechanical Engineer,2020-05-01 00:00:00.000,Salary,205000
Sales,2020-05-01 00:00:00.000,Salary,120000
Recruiter,2020-05-01 00:00:00.000,Salary,150000
Software Engineer,2020-06-01 00:00:00.000,Salary,224473
Data Scientist,2020-06-01 00:00:00.000,Salary,196944
Hardware Engineer,2020-06-01 00:00:00.000,Salary,244588
Technical Program Manager,2020-06-01 00:00:00.000,Salary,258478
Solution Architect,2020-06-01 00:00:00.000,Salary,173846
Management Consultant,2020-06-01 00:00:00.000,Salary,171167
Product Manager,2020-06-01 00:00:00.000,Salary,230774
Software Engineering Manager,2020-06-01 00:00:00.000,Salary,324032
Product Designer,2020-06-01 00:00:00.000,Salary,206000
Business Analyst,2020-06-01 00:00:00.000,Salary,137500
Recruiter,2020-06-01 00:00:00.000,Salary,194000
Software Engineer,2020-07-01 00:00:00.000,Salary,198223
Technical Program Manager,2020-07-01 00:00:00.000,Salary,217146
