Company,Title,Date,Avg Total Compensation
"Airbnb","Software Engineer",2020-04-01 00:00:00.000,430000
"Airbnb","Software Engineer",2020-05-01 00:00:00.000,448000
"Airbnb","Software Engineer",2020-06-01 00:00:00.000,282500
"Amazon","Software Engineer",2020-04-01 00:00:00.000,228538
"Amazon","Software Engineer",2020-05-01 00:00:00.000,217955
"Amazon","Software Engineer",2020-06-01 00:00:00.000,217698
"Apple","Software Engineer",2020-04-01 00:00:00.000,266750
"Apple","Software Engineer",2020-05-01 00:00:00.000,295300
"Apple","Software Engineer",2020-06-01 00:00:00.000,326000
"Bloomberg","Software Engineer",2020-04-01 00:00:00.000,204286
"Bloomberg","Software Engineer",2020-05-01 00:00:00.000,140500
"Bloomberg","Software Engineer",2020-06-01 00:00:00.000,197143
"Cisco","Software Engineer",2020-04-01 00:00:00.000,164786
"Cisco","Software Engineer",2020-05-01 00:00:00.000,189800
"Cisco","Software Engineer",2020-06-01 00:00:00.000,197385
"Ebay","Software Engineer",2020-04-01 00:00:00.000,188500
"Ebay","Software Engineer",2020-05-01 00:00:00.000,219000
"Ebay","Software Engineer",2020-06-01 00:00:00.000,188667
"Expedia","Software Engineer",2020-04-01 00:00:00.000,95000
"Expedia","Software Engineer",2020-05-01 00:00:00.000,168000
"Expedia","Software Engineer",2020-06-01 00:00:00.000,200000
"Facebook","Software Engineer",2020-04-01 00:00:00.000,391765
"Facebook","Software Engineer",2020-05-01 00:00:00.000,332065
"Facebook","Software Engineer",2020-06-01 00:00:00.000,345273
"Godaddy","Software Engineer",2020-04-01 00:00:00.000,153000
"Godaddy","Software Engineer",2020-05-01 00:00:00.000,160000
"Godaddy","Software Engineer",2020-06-01 00:00:00.000,146000
"Goldman Sachs","Software Engineer",2020-04-01 00:00:00.000,205000
"Goldman Sachs","Software Engineer",2020-05-01 00:00:00.000,238000
"Goldman Sachs","Software Engineer",2020-06-01 00:00:00.000,306667
"Google","Software Engineer",2020-04-01 00:00:00.000,237316
"Google","Software Engineer",2020-05-01 00:00:00.000,294971
"Google","Software Engineer",2020-06-01 00:00:00.000,280789
