ModYearReg,AB UnitSold
"M1Y1AB",5321
"M2Y1AB",4146
"M3Y1AB",3546
"M4Y1AB",2021
"M5Y1AB",1453
"M6Y1AB",3121
"M7Y1AB",3145
"M8Y1AB",1935
"M1Y2AB",5463
"M2Y2AB",4279
"M3Y2AB",3647
"M4Y2AB",2145
"M5Y2AB",1531
"M6Y2AB",3247
"M7Y2AB",3334
"M8Y2AB",2075
"M1Y3AB",5536
"M2Y3AB",4374
"M3Y3AB",3762
"M4Y3AB",2231
"M5Y3AB",1649
"M6Y3AB",3346
"M7Y3AB",3479
"M8Y3AB",2141
"M1Y4AB",5748
"M2Y4AB",4483
"M3Y4AB",3831
"M4Y4AB",2321
"M5Y4AB",1762
"M6Y4AB",3456
"M7Y4AB",3591
"M8Y4AB",2165
"M1Y5AB",5831
"M2Y5AB",4592
"M3Y5AB",3946
"M4Y5AB",2409
"M5Y5AB",1863
"M6Y5AB",3519
"M7Y5AB",3684
"M8Y5AB",2156
