ModYearReg,BC UnitSold
"M1Y1BC",4756
"M2Y1BC",5147
"M3Y1BC",6845
"M4Y1BC",2145
"M5Y1BC",1247
"M6Y1BC",4756
"M7Y1BC",1921
"M8Y1BC",1352
"M1Y2BC",4932
"M2Y2BC",5471
"M3Y2BC",6971
"M4Y2BC",2457
"M5Y2BC",1347
"M6Y2BC",4985
"M7Y2BC",2147
"M8Y2BC",1038
"M1Y3BC",5021
"M2Y3BC",5647
"M3Y3BC",7124
"M4Y3BC",2456
"M5Y3BC",1651
"M6Y3BC",5052
"M7Y3BC",2305
"M8Y3BC",1002
"M1Y4BC",5143
"M2Y4BC",5731
"M3Y4BC",7214
"M4Y4BC",2654
"M5Y4BC",1791
"M6Y4BC",5121
"M7Y4BC",2631
"M8Y4BC",929
"M1Y5BC",5211
"M2Y5BC",5792
"M3Y5BC",7248
"M4Y5BC",2764
"M5Y5BC",1811
"M6Y5BC",5211
"M7Y5BC",2851
"M8Y5BC",1060
