ModYearReg,NU UnitSold
"M1Y1NU",29
"M2Y1NU",26
"M3Y1NU",9
"M4Y1NU",3
"M5Y1NU",15
"M6Y1NU",1
"M7Y1NU",36
"M8Y1NU",99
"M1Y2NU",30
"M2Y2NU",27
"M3Y2NU",9
"M4Y2NU",4
"M5Y2NU",16
"M6Y2NU",2
"M7Y2NU",38
"M8Y2NU",101
"M1Y3NU",33
"M2Y3NU",29
"M3Y3NU",11
"M4Y3NU",6
"M5Y3NU",16
"M6Y3NU",1
"M7Y3NU",39
"M8Y3NU",98
"M1Y4NU",34
"M2Y4NU",31
"M3Y4NU",13
"M4Y4NU",6
"M5Y4NU",18
"M6Y4NU",2
"M7Y4NU",38
"M8Y4NU",96
"M1Y5NU",34
"M2Y5NU",33
"M3Y5NU",12
"M4Y5NU",5
"M5Y5NU",17
"M6Y5NU",1
"M7Y5NU",43
"M8Y5NU",101
