Revenue Category,Revenue Item
"Taxation Revenue","Personal Income Tax"
"Taxation Revenue","Sales Taxes"
"Taxation Revenue","Corporations Tax"
"Taxation Revenue","Employer Health Tax"
"Taxation Revenue","Ontario Health Premium"
"Taxation Revenue","Gasoline Tax"
"Taxation Revenue","Land Transfer Tax"
"Taxation Revenue","Tobacco Tax"
"Taxation Revenue","Fuel Tax"
"Taxation Revenue","Beer, Wine and Spirits Taxes"
"Taxation Revenue","Electricity Payments in Lieu of Taxes"
"Taxation Revenue","Other Taxes"
"Government of Canada","Canada Health Transfer"
"Government of Canada","Canada Social Transfer"
"Government of Canada","Equalization"
"Government of Canada","Infrastructure Programs"
"Government of Canada","Labour Market Programs"
"Government of Canada","Other Federal Payments"
"Other Non-Tax Revenue","Vehicle and Driver Registration Fees"
"Other Non-Tax Revenue","Miscellaneous Other Non-Tax Revenue"
"Other Non-Tax Revenue","Other Fees and Licences"
"Other Non-Tax Revenue","Reimbursements"
"Other Non-Tax Revenue","Royalties"
"Other Non-Tax Revenue","Power Supply Contract Recoveries"
"Other Non-Tax Revenue","Carbon Allowance Proceeds"
"Other Non-Tax Revenue","Electricity Debt Retirement Charge"
"Other Non-Tax Revenue","Sales and Rentals"
"Taxation Revenue","Education Property Tax"
"Other Non-Tax Revenue","Net Reduction of Power Purchase Contracts"
"Government of Canada","Social Housing Agreement"
"Income from Government Business Enterprises","Liquor Control Board of Ontario"
"Income from Government Business Enterprises","Ontario Lottery and Gaming Corporation"
"Taxation Revenue","Ontario Portion of the Federal Cannabis Excise  Duty"
"Government of Canada","Direct Transfers to Broader Public-Sector  Organizations"
"Other Non-Tax Revenue","Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges"
"Income from Government Business Enterprises","Ontario Power Generation Inc./Hydro One Ltd."
"Income from Government Business Enterprises","Ontario Cannabis Store"
