Item,2013–14,Actual 2014–15,Interim 2015–16,Plan 2016–17
"Other Non-Tax Revenue — Reimbursements",962,985,979,983
"Other Non-Tax Revenue — Vehicle and Driver Registration    Fees",1248,1433,1592,1751
"Other Non-Tax Revenue — Electricity Debt Retirement    Charge",954,956,868,625
"Other Non-Tax Revenue — Power Supply Contract Recoveries",1296,950,784,643
"Other Non-Tax Revenue — Sales and Rentals",1160,2336,2174,2421
"Other Non-Tax Revenue — Cap-and-Trade Proceeds",0,0,0,478
"Other Non-Tax Revenue — Other Fees and Licences",759,693,940,987
"Other Non-Tax Revenue — Net Reduction of Power Purchase    Contract Liability",243,217,172,129
"Other Non-Tax Revenue — Royalties",242,275,271,287
"Other Non-Tax Revenue — Miscellaneous Other Non-Tax    Revenue3",1467,1196,781,795
"Total Other Non-Tax Revenue",8331,9041,8561,9099
