Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths,7 Day Rolling Average deaths
"Wales","W92000004","Nation",2020-08-03 00:00:00.000,0,1565,2.2857142857142856
"Scotland","S92000003","Nation",2020-08-03 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-08-03 00:00:00.000,0,556,0
"Scotland","S92000003","Nation",2020-08-02 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-08-02 00:00:00.000,0,556,0
"Scotland","S92000003","Nation",2020-08-01 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-08-01 00:00:00.000,0,556,0
"Scotland","S92000003","Nation",2020-07-31 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-31 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-30 00:00:00.000,0,1554,0.8571428571428571
"Scotland","S92000003","Nation",2020-07-30 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-30 00:00:00.000,0,556,0
"Scotland","S92000003","Nation",2020-07-29 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-29 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-28 00:00:00.000,0,1549,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-28 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-28 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-27 00:00:00.000,0,1549,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-27 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-27 00:00:00.000,0,556,0
"Scotland","S92000003","Nation",2020-07-26 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-26 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-25 00:00:00.000,0,1548,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-25 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-25 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-24 00:00:00.000,0,1548,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-24 00:00:00.000,0,2491,0
"Northern Ireland","N92000002","Nation",2020-07-24 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-23 00:00:00.000,0,1548,0.42857142857142855
"Scotland","S92000003","Nation",2020-07-23 00:00:00.000,0,2491,0.14285714285714285
"Northern Ireland","N92000002","Nation",2020-07-23 00:00:00.000,0,556,0
"Scotland","S92000003","Nation",2020-07-22 00:00:00.000,0,2491,0.14285714285714285
"Northern Ireland","N92000002","Nation",2020-07-22 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-21 00:00:00.000,0,1547,0.5714285714285714
"Scotland","S92000003","Nation",2020-07-21 00:00:00.000,0,2491,0.14285714285714285
"Northern Ireland","N92000002","Nation",2020-07-21 00:00:00.000,0,556,0
"Wales","W92000004","Nation",2020-07-20 00:00:00.000,0,1547,0.8571428571428571
"Scotland","S92000003","Nation",2020-07-20 00:00:00.000,0,2491,0.14285714285714285
"Northern Ireland","N92000002","Nation",2020-07-20 00:00:00.000,0,556,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-19 00:00:00.000,0,2491,0.14285714285714285
"Northern Ireland","N92000002","Nation",2020-07-19 00:00:00.000,0,556,1.7142857142857142
"Wales","W92000004","Nation",2020-07-18 00:00:00.000,0,1546,0.7142857142857143
"Scotland","S92000003","Nation",2020-07-18 00:00:00.000,0,2491,0.14285714285714285
"Northern Ireland","N92000002","Nation",2020-07-18 00:00:00.000,0,556,0.2857142857142857
"Northern Ireland","N92000002","Nation",2020-07-17 00:00:00.000,0,556,0.2857142857142857
"Wales","W92000004","Nation",2020-07-16 00:00:00.000,0,1545,0.7142857142857143
"Scotland","S92000003","Nation",2020-07-16 00:00:00.000,0,2490,0
"Northern Ireland","N92000002","Nation",2020-07-16 00:00:00.000,0,556,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-15 00:00:00.000,0,2490,0.14285714285714285
"Northern Ireland","N92000002","Nation",2020-07-15 00:00:00.000,0,556,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-14 00:00:00.000,0,2490,0.2857142857142857
"Wales","W92000004","Nation",2020-07-13 00:00:00.000,0,1541,1.4285714285714286
"Scotland","S92000003","Nation",2020-07-13 00:00:00.000,0,2490,0.2857142857142857
"Wales","W92000004","Nation",2020-07-12 00:00:00.000,0,1541,1.4285714285714286
"Scotland","S92000003","Nation",2020-07-12 00:00:00.000,0,2490,0.2857142857142857
"Scotland","S92000003","Nation",2020-07-11 00:00:00.000,0,2490,0.2857142857142857
"Northern Ireland","N92000002","Nation",2020-07-11 00:00:00.000,0,554,0
"Wales","W92000004","Nation",2020-07-10 00:00:00.000,0,1540,2.1428571428571428
"Scotland","S92000003","Nation",2020-07-10 00:00:00.000,0,2490,0.42857142857142855
"Northern Ireland","N92000002","Nation",2020-07-10 00:00:00.000,0,554,0.2857142857142857
"Northern Ireland","N92000002","Nation",2020-07-09 00:00:00.000,0,554,0.42857142857142855
"Northern Ireland","N92000002","Nation",2020-07-08 00:00:00.000,0,554,0.42857142857142855
"Scotland","S92000003","Nation",2020-07-07 00:00:00.000,0,2488,0.8571428571428571
"Northern Ireland","N92000002","Nation",2020-07-07 00:00:00.000,0,554,0.42857142857142855
"Wales","W92000004","Nation",2020-07-06 00:00:00.000,0,1531,3.4285714285714284
"Scotland","S92000003","Nation",2020-07-06 00:00:00.000,0,2488,0.8571428571428571
"Northern Ireland","N92000002","Nation",2020-07-06 00:00:00.000,0,554,0.5714285714285714
"Scotland","S92000003","Nation",2020-07-05 00:00:00.000,0,2488,0.8571428571428571
"Northern Ireland","N92000002","Nation",2020-07-05 00:00:00.000,0,554,0.7142857142857143
"Northern Ireland","N92000002","Nation",2020-07-02 00:00:00.000,0,551,0.5714285714285714
"Northern Ireland","N92000002","Nation",2020-07-01 00:00:00.000,0,551,0.7142857142857143
"Scotland","S92000003","Nation",2020-06-30 00:00:00.000,0,2482,1.4285714285714286
"Scotland","S92000003","Nation",2020-06-29 00:00:00.000,0,2482,1.4285714285714286
"Scotland","S92000003","Nation",2020-06-28 00:00:00.000,0,2482,1.4285714285714286
"Scotland","S92000003","Nation",2020-06-27 00:00:00.000,0,2482,1.7142857142857142
"Wales","W92000004","Nation",2020-06-26 00:00:00.000,0,1497,3.1428571428571428
"Northern Ireland","N92000002","Nation",2020-06-26 00:00:00.000,0,547,0.5714285714285714
"Scotland","S92000003","Nation",2020-06-23 00:00:00.000,0,2472,3.4285714285714284
"Northern Ireland","N92000002","Nation",2020-06-23 00:00:00.000,0,545,0.5714285714285714
"Scotland","S92000003","Nation",2020-06-22 00:00:00.000,0,2472,3.4285714285714284
