Stock Date,Open,High,Low,Close,Volume,Change Percent,Month,Previous Month,Previous Month Name,Previous Month with Year,Current Month Name,Current Month with Year,Stock Date - Copy,Merged,Percentage Change
2020-01-02 16:00:00.000,84.9,86.14,84.34,86.05,9558386,0.029633933759442153,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.029633933759442153
2020-01-03 16:00:00.000,88.1,90.8,87.38,88.6,17794697,0.019300225733634404,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.019300225733634404
2020-01-06 16:00:00.000,88.09,90.31,88,90.31,10157499,0.038755398073303068,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.038755398073303068
2020-01-07 16:00:00.000,92.28,94.33,90.67,93.81,18209138,0.049248480972177856,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.049248480972177856
2020-01-08 16:00:00.000,94.74,99.7,93.65,98.43,31199393,-0.021944529106979686,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.021944529106979686
2020-01-09 16:00:00.000,99.42,99.76,94.57,96.27,28463186,-0.00664796925314221,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.00664796925314221
2020-01-10 16:00:00.000,96.36,96.99,94.74,95.63,12976832,0.0976680957858413,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.0976680957858413
2020-01-13 16:00:00.000,98.7,105.13,98.4,104.97,26634547,0.024864246927693623,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.024864246927693623
2020-01-14 16:00:00.000,108.85,109.48,104.98,107.58,29061377,-0.036066183305447065,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.036066183305447065
2020-01-15 16:00:00.000,105.95,107.57,103.36,103.7,17368831,-0.009643201542912247,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.009643201542912247
2020-01-16 16:00:00.000,98.75,102.89,98.43,102.7,21736653,-0.0058422590068160519,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.0058422590068160519
2020-01-17 16:00:00.000,101.52,103.13,100.63,102.1,13629073,0.071890303623898172,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.071890303623898172
2020-01-21 16:00:00.000,106.05,109.72,105.68,109.44,17803471,0.040844298245614023,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.040844298245614023
2020-01-22 16:00:00.000,114.38,118.9,111.82,113.91,31369028,0.0046527960670705044,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.0046527960670705044
2020-01-23 16:00:00.000,112.85,116.4,111.12,114.44,19651042,-0.012932541069556134,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.012932541069556134
2020-01-24 16:00:00.000,114.13,114.77,110.85,112.96,14353600,-0.012039660056657219,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.012039660056657219
2020-01-27 16:00:00.000,108.4,112.89,107.86,111.6,13608068,0.015949820788530477,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.015949820788530477
2020-01-28 16:00:00.000,113.7,115.36,111.62,113.38,11788493,0.024872111483506858,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.024872111483506858
2020-01-29 16:00:00.000,115.14,117.96,113.49,116.2,18216672,0.10292598967297757,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.10292598967297757
2020-01-30 16:00:00.000,126.48,130.18,123.6,128.16,29005676,0.01521535580524358,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.01521535580524358
2020-01-31 16:00:00.000,128,130.6,126.5,130.11,15719266,0.19898547382983617,1,12,"Dec","Dec-2020","Jan","Jan-2020",2020,"1	2020",0.19898547382983617
2020-02-03 16:00:00.000,134.74,157.23,134.7,156,47233495,0.13724358974358972,2,1,"Jan","Jan-2020","Feb","Feb-2020",2020,"2	2020",0.13724358974358972
2020-02-04 16:00:00.000,176.59,193.8,166.78,177.41,60938758,-0.17174905585930894,2,1,"Jan","Jan-2020","Feb","Feb-2020",2020,"2	2020",0.17174905585930894
2020-02-05 16:00:00.000,164.65,169.2,140.82,146.94,48423837,0.019395671702735772,2,1,"Jan","Jan-2020","Feb","Feb-2020",2020,"2	2020",0.019395671702735772
2020-02-06 16:00:00.000,139.98,159.17,137.4,149.79,39880752,-0.0012016823552972722,2,1,"Jan","Jan-2020","Feb","Feb-2020",2020,"2	2020",0.0012016823552972722
