Date,MIndex,Month,Qtr,Year,Weekday,FormattedDate,Dates,Sort Order for Dates
2016-01-01 00:00:00.000,1,"Jan","Q1",2016,"Fri","01-Jan","1 Jan 16",1
2016-01-02 00:00:00.000,1,"Jan","Q1",2016,"Sat","02-Jan","2 Jan 16",2
2016-01-03 00:00:00.000,1,"Jan","Q1",2016,"Sun","03-Jan","3 Jan 16",3
2016-01-04 00:00:00.000,1,"Jan","Q1",2016,"Mon","04-Jan","4 Jan 16",4
2016-01-05 00:00:00.000,1,"Jan","Q1",2016,"Tue","05-Jan","5 Jan 16",5
2016-01-06 00:00:00.000,1,"Jan","Q1",2016,"Wed","06-Jan","6 Jan 16",6
2016-01-07 00:00:00.000,1,"Jan","Q1",2016,"Thu","07-Jan","7 Jan 16",7
2016-01-08 00:00:00.000,1,"Jan","Q1",2016,"Fri","08-Jan","8 Jan 16",8
2016-01-09 00:00:00.000,1,"Jan","Q1",2016,"Sat","09-Jan","9 Jan 16",9
2016-01-10 00:00:00.000,1,"Jan","Q1",2016,"Sun","10-Jan","10 Jan 16",10
2016-01-11 00:00:00.000,1,"Jan","Q1",2016,"Mon","11-Jan","11 Jan 16",11
2016-01-12 00:00:00.000,1,"Jan","Q1",2016,"Tue","12-Jan","12 Jan 16",12
2016-01-13 00:00:00.000,1,"Jan","Q1",2016,"Wed","13-Jan","13 Jan 16",13
2016-01-14 00:00:00.000,1,"Jan","Q1",2016,"Thu","14-Jan","14 Jan 16",14
2016-01-15 00:00:00.000,1,"Jan","Q1",2016,"Fri","15-Jan","15 Jan 16",15
2016-01-16 00:00:00.000,1,"Jan","Q1",2016,"Sat","16-Jan","16 Jan 16",16
2016-01-17 00:00:00.000,1,"Jan","Q1",2016,"Sun","17-Jan","17 Jan 16",17
2016-01-18 00:00:00.000,1,"Jan","Q1",2016,"Mon","18-Jan","18 Jan 16",18
2016-01-19 00:00:00.000,1,"Jan","Q1",2016,"Tue","19-Jan","19 Jan 16",19
2016-01-20 00:00:00.000,1,"Jan","Q1",2016,"Wed","20-Jan","20 Jan 16",20
2016-01-21 00:00:00.000,1,"Jan","Q1",2016,"Thu","21-Jan","21 Jan 16",21
2016-01-22 00:00:00.000,1,"Jan","Q1",2016,"Fri","22-Jan","22 Jan 16",22
2016-01-23 00:00:00.000,1,"Jan","Q1",2016,"Sat","23-Jan","23 Jan 16",23
2016-01-24 00:00:00.000,1,"Jan","Q1",2016,"Sun","24-Jan","24 Jan 16",24
2016-01-25 00:00:00.000,1,"Jan","Q1",2016,"Mon","25-Jan","25 Jan 16",25
2016-01-26 00:00:00.000,1,"Jan","Q1",2016,"Tue","26-Jan","26 Jan 16",26
2016-01-27 00:00:00.000,1,"Jan","Q1",2016,"Wed","27-Jan","27 Jan 16",27
2016-01-28 00:00:00.000,1,"Jan","Q1",2016,"Thu","28-Jan","28 Jan 16",28
2016-01-29 00:00:00.000,1,"Jan","Q1",2016,"Fri","29-Jan","29 Jan 16",29
2016-01-30 00:00:00.000,1,"Jan","Q1",2016,"Sat","30-Jan","30 Jan 16",30
2016-01-31 00:00:00.000,1,"Jan","Q1",2016,"Sun","31-Jan","31 Jan 16",31
2016-02-01 00:00:00.000,2,"Feb","Q1",2016,"Mon","01-Feb","1 Feb 16",32
2016-02-02 00:00:00.000,2,"Feb","Q1",2016,"Tue","02-Feb","2 Feb 16",33
2016-02-03 00:00:00.000,2,"Feb","Q1",2016,"Wed","03-Feb","3 Feb 16",34
2016-02-04 00:00:00.000,2,"Feb","Q1",2016,"Thu","04-Feb","4 Feb 16",35
2016-02-05 00:00:00.000,2,"Feb","Q1",2016,"Fri","05-Feb","5 Feb 16",36
2016-02-06 00:00:00.000,2,"Feb","Q1",2016,"Sat","06-Feb","6 Feb 16",37
2016-02-07 00:00:00.000,2,"Feb","Q1",2016,"Sun","07-Feb","7 Feb 16",38
2016-02-08 00:00:00.000,2,"Feb","Q1",2016,"Mon","08-Feb","8 Feb 16",39
2016-02-09 00:00:00.000,2,"Feb","Q1",2016,"Tue","09-Feb","9 Feb 16",40
2016-02-10 00:00:00.000,2,"Feb","Q1",2016,"Wed","10-Feb","10 Feb 16",41
2016-02-11 00:00:00.000,2,"Feb","Q1",2016,"Thu","11-Feb","11 Feb 16",42
2016-02-12 00:00:00.000,2,"Feb","Q1",2016,"Fri","12-Feb","12 Feb 16",43
2016-02-13 00:00:00.000,2,"Feb","Q1",2016,"Sat","13-Feb","13 Feb 16",44
2016-02-14 00:00:00.000,2,"Feb","Q1",2016,"Sun","14-Feb","14 Feb 16",45
2016-02-15 00:00:00.000,2,"Feb","Q1",2016,"Mon","15-Feb","15 Feb 16",46
2016-02-16 00:00:00.000,2,"Feb","Q1",2016,"Tue","16-Feb","16 Feb 16",47
2016-02-17 00:00:00.000,2,"Feb","Q1",2016,"Wed","17-Feb","17 Feb 16",48
2016-02-18 00:00:00.000,2,"Feb","Q1",2016,"Thu","18-Feb","18 Feb 16",49
2016-02-19 00:00:00.000,2,"Feb","Q1",2016,"Fri","19-Feb","19 Feb 16",50
2016-02-20 00:00:00.000,2,"Feb","Q1",2016,"Sat","20-Feb","20 Feb 16",51
2016-02-21 00:00:00.000,2,"Feb","Q1",2016,"Sun","21-Feb","21 Feb 16",52
2016-02-22 00:00:00.000,2,"Feb","Q1",2016,"Mon","22-Feb","22 Feb 16",53
2016-02-23 00:00:00.000,2,"Feb","Q1",2016,"Tue","23-Feb","23 Feb 16",54
2016-02-24 00:00:00.000,2,"Feb","Q1",2016,"Wed","24-Feb","24 Feb 16",55
2016-02-25 00:00:00.000,2,"Feb","Q1",2016,"Thu","25-Feb","25 Feb 16",56
2016-02-26 00:00:00.000,2,"Feb","Q1",2016,"Fri","26-Feb","26 Feb 16",57
2016-02-27 00:00:00.000,2,"Feb","Q1",2016,"Sat","27-Feb","27 Feb 16",58
2016-02-28 00:00:00.000,2,"Feb","Q1",2016,"Sun","28-Feb","28 Feb 16",59
2016-02-29 00:00:00.000,2,"Feb","Q1",2016,"Mon","29-Feb","29 Feb 16",60
2016-03-01 00:00:00.000,3,"Mar","Q1",2016,"Tue","01-Mar","1 Mar 16",61
2016-03-02 00:00:00.000,3,"Mar","Q1",2016,"Wed","02-Mar","2 Mar 16",62
2016-03-03 00:00:00.000,3,"Mar","Q1",2016,"Thu","03-Mar","3 Mar 16",63
2016-03-04 00:00:00.000,3,"Mar","Q1",2016,"Fri","04-Mar","4 Mar 16",64
2016-03-05 00:00:00.000,3,"Mar","Q1",2016,"Sat","05-Mar","5 Mar 16",65
2016-03-06 00:00:00.000,3,"Mar","Q1",2016,"Sun","06-Mar","6 Mar 16",66
2016-03-07 00:00:00.000,3,"Mar","Q1",2016,"Mon","07-Mar","7 Mar 16",67
2016-03-08 00:00:00.000,3,"Mar","Q1",2016,"Tue","08-Mar","8 Mar 16",68
2016-03-09 00:00:00.000,3,"Mar","Q1",2016,"Wed","09-Mar","9 Mar 16",69
2016-03-10 00:00:00.000,3,"Mar","Q1",2016,"Thu","10-Mar","10 Mar 16",70
2016-03-11 00:00:00.000,3,"Mar","Q1",2016,"Fri","11-Mar","11 Mar 16",71
2016-03-12 00:00:00.000,3,"Mar","Q1",2016,"Sat","12-Mar","12 Mar 16",72
2016-03-13 00:00:00.000,3,"Mar","Q1",2016,"Sun","13-Mar","13 Mar 16",73
2016-03-14 00:00:00.000,3,"Mar","Q1",2016,"Mon","14-Mar","14 Mar 16",74
2016-03-15 00:00:00.000,3,"Mar","Q1",2016,"Tue","15-Mar","15 Mar 16",75
2016-03-16 00:00:00.000,3,"Mar","Q1",2016,"Wed","16-Mar","16 Mar 16",76
2016-03-17 00:00:00.000,3,"Mar","Q1",2016,"Thu","17-Mar","17 Mar 16",77
2016-03-18 00:00:00.000,3,"Mar","Q1",2016,"Fri","18-Mar","18 Mar 16",78
2016-03-19 00:00:00.000,3,"Mar","Q1",2016,"Sat","19-Mar","19 Mar 16",79
2016-03-20 00:00:00.000,3,"Mar","Q1",2016,"Sun","20-Mar","20 Mar 16",80
2016-03-21 00:00:00.000,3,"Mar","Q1",2016,"Mon","21-Mar","21 Mar 16",81
2016-03-22 00:00:00.000,3,"Mar","Q1",2016,"Tue","22-Mar","22 Mar 16",82
2016-03-23 00:00:00.000,3,"Mar","Q1",2016,"Wed","23-Mar","23 Mar 16",83
2016-03-24 00:00:00.000,3,"Mar","Q1",2016,"Thu","24-Mar","24 Mar 16",84
