Station Name,Ticket type,Passengers
Addlestone,Full,135142
Addlestone,Reduced,115898
Addlestone,Sesason,178904
Adisham,Full,7226
Adisham,Reduced,9300
Adisham,Sesason,9058
Aldermaston,Full,20308
Aldermaston,Reduced,33032
Aldermaston,Sesason,29822
Aldershot,Full,395520
Aldershot,Reduced,554136
Aldershot,Sesason,445130
Aldrington,Full,49344
Aldrington,Reduced,79212
Aldrington,Sesason,65400
Alton,Full,162724
Alton,Reduced,249268
Alton,Sesason,298330
Amberley,Full,11008
Amberley,Reduced,27180
Amberley,Sesason,15516
Amersham,Full,858950
Amersham,Reduced,899574
Amersham,Sesason,181846
Andover,Full,238462
Andover,Reduced,523526
Andover,Sesason,436552
Angmering,Full,150452
Angmering,Reduced,389992
Angmering,Sesason,260566
Appledore,Full,6294
Appledore,Reduced,15292
Appledore,Sesason,18082
Appleford,Full,1724
Appleford,Reduced,2968
Appleford,Sesason,1870
Arundel,Full,43326
Arundel,Reduced,159590
Arundel,Sesason,99802
Ascot,Full,398654
Ascot,Reduced,583726
Ascot,Sesason,230302
Ascott-Under-Wychwood,Full,1464
Ascott-Under-Wychwood,Reduced,168
Ascott-Under-Wychwood,Sesason,1680
Ash,Full,65690
Ash,Reduced,92446
Ash,Sesason,103140
Ash Vale,Full,108950
Ash Vale,Reduced,131788
Ash Vale,Sesason,226044
Ashford (Middlesex),Full,265062
Ashford (Middlesex),Reduced,259926
Ashford (Middlesex),Sesason,507958
Ashford International,Full,618048
Ashford International,Reduced,1591790
Ashford International,Sesason,1691060
Ashtead,Full,321440
Ashtead,Reduced,349178
Ashtead,Sesason,594262
Ashurst,Full,5726
Ashurst,Reduced,9488
Ashurst,Sesason,10486
Ashurst New Forest,Full,28908
Ashurst New Forest,Reduced,48762
Ashurst New Forest,Sesason,66938
Aylesbury,Full,327730
Aylesbury,Reduced,393580
Aylesbury,Sesason,457180
Aylesbury Vale Parkway,Full,37946
Aylesbury Vale Parkway,Reduced,35948
Aylesbury Vale Parkway,Sesason,111854
Aylesford,Full,45968
Aylesford,Reduced,41930
Aylesford,Sesason,56894
Aylesham,Full,28688
Aylesham,Reduced,40204
Aylesham,Sesason,40158
Bagshot,Full,56322
Bagshot,Reduced,52856
Bagshot,Sesason,48302
Balcombe,Full,23624
Balcombe,Reduced,40768
Balcombe,Sesason,67726
Banbury,Full,653208
Banbury,Reduced,1279640
Banbury,Sesason,685794
Banstead,Full,46694
Banstead,Reduced,35152
Banstead,Sesason,44532
Barming,Full,39248
Barming,Reduced,40228
Barming,Sesason,62862
Barnham,Full,180374
Barnham,Reduced,337598
Barnham,Sesason,436778
Basingstoke,Full,1233260
Basingstoke,Reduced,2274760
Basingstoke,Sesason,2286604
Bat & Ball,Full,39564
Bat & Ball,Reduced,34976
Bat & Ball,Sesason,54368
Battle,Full,85790
Battle,Reduced,237982
Battle,Sesason,215702
Beaconsfield,Full,405130
Beaconsfield,Reduced,474704
Beaconsfield,Sesason,746078
Bearsted,Full,62216
Bearsted,Reduced,129132
Bearsted,Sesason,195016
Beaulieu Road,Full,2060
Beaulieu Road,Reduced,5088
Beaulieu Road,Sesason,1886
Bedhampton,Full,38304
Bedhampton,Reduced,35556
Bedhampton,Sesason,44746
Bekesbourne,Full,11066
Bekesbourne,Reduced,11058
Bekesbourne,Sesason,9452
Beltring,Full,4986
Beltring,Reduced,3470
Beltring,Sesason,6618
Bentley,Full,31886
Bentley,Reduced,28406
Bentley,Sesason,85380
