region,state_name,employee_type,percentage
USA West Region,Alaska,Civilian,0.09209920399973687
USA West Region,Alaska,Officer,0.16741648307240797
USA South Region,Alabama,Civilian,0.06012723296343142
USA South Region,Alabama,Officer,0.10835752961188339
USA South Region,Arkansas,Civilian,0.11765301593826047
USA South Region,Arkansas,Officer,0.19774311398905944
USA West Region,Arizona,Civilian,0.14051204761494016
USA West Region,Arizona,Officer,0.18277366064152106
USA West Region,California,Civilian,0.10309743793147218
USA West Region,California,Officer,0.1982681775772792
USA West Region,Colorado,Civilian,0.10677327626512202
USA West Region,Colorado,Officer,0.21854520218831341
USA Northeast Region,Connecticut,Civilian,0.039558654896000786
USA Northeast Region,Connecticut,Officer,0.20094809092455326
USA South Region,District of Columbia,Civilian,0.10043632884323864
USA South Region,District of Columbia,Officer,0.6092464825670201
USA South Region,Delaware,Civilian,0.07090524749915966
USA South Region,Delaware,Officer,0.23314953140213596
USA South Region,Florida,Civilian,0.13412305406103156
USA South Region,Florida,Officer,0.21735016508089197
USA South Region,Georgia,Civilian,0.07452187766469454
USA South Region,Georgia,Officer,0.22685444367011426
U.S. Territories,Guam,Civilian,inf
U.S. Territories,Guam,Officer,inf
,,Civilian,0.05449942488396106
,,Officer,0.2067195409158986
USA Midwest Region,Iowa,Civilian,0.09087617656967441
USA Midwest Region,Iowa,Officer,0.16467178412677244
USA West Region,Idaho,Civilian,0.09298745371696979
USA West Region,Idaho,Officer,0.1601856377927981
USA Midwest Region,Illinois,Civilian,0.07842605734024448
USA Midwest Region,Illinois,Officer,0.19577083264757647
USA Midwest Region,Indiana,Civilian,0.02202642841987254
USA Midwest Region,Indiana,Officer,0.10914387270730859
USA Midwest Region,Kansas,Civilian,0.09109076451391154
USA Midwest Region,Kansas,Officer,0.22857496330927857
USA South Region,Kentucky,Civilian,0.04788544164640473
USA South Region,Kentucky,Officer,0.1702469860765068
USA South Region,Louisiana,Civilian,0.09704783273327741
USA South Region,Louisiana,Officer,0.3189070218682361
USA Northeast Region,Massachusetts,Civilian,0.0524881141414941
USA Northeast Region,Massachusetts,Officer,0.24016186187724387
USA South Region,Maryland,Civilian,0.08325632563256326
USA South Region,Maryland,Officer,0.27145114511451146
USA Northeast Region,Maine,Civilian,0.04184903714857055
USA Northeast Region,Maine,Officer,0.1670366207837275
USA Midwest Region,Michigan,Civilian,0.0651865725275132
USA Midwest Region,Michigan,Officer,0.16446629935923907
USA Midwest Region,Minnesota,Civilian,0.08754266220289574
USA Midwest Region,Minnesota,Officer,0.1644648386424169
USA Midwest Region,Missouri,Civilian,0.09517269569562933
USA Midwest Region,Missouri,Officer,0.23672191683616278
USA South Region,Mississippi,Civilian,0.03801833052969081
USA South Region,Mississippi,Officer,0.07312248065754628
USA West Region,Montana,Civilian,0.10075198685263241
USA West Region,Montana,Officer,0.17291097475066816
USA Midwest Region,Nebraska,Civilian,0.07580585853027179
USA Midwest Region,Nebraska,Officer,0.16826184259041746
USA South Region,North Carolina,Civilian,0.10617682532211567
USA South Region,North Carolina,Officer,0.23454172394058842
USA Midwest Region,North Dakota,Civilian,0.08563989257249947
USA Midwest Region,North Dakota,Officer,0.2237646221475771
USA Northeast Region,New Hampshire,Civilian,0.06255721363324869
USA Northeast Region,New Hampshire,Officer,0.201290033157508
USA Northeast Region,New Jersey,Civilian,0.10068227462524311
USA Northeast Region,New Jersey,Officer,0.34569272228634357
USA West Region,New Mexico,Civilian,0.06090064167781985
USA West Region,New Mexico,Officer,0.14009535846356516
USA West Region,Nevada,Civilian,0.10158562783046782
USA West Region,Nevada,Officer,0.22693670070384328
USA Northeast Region,New York,Civilian,0.09731793424996642
USA Northeast Region,New York,Officer,0.2864616025001486
USA Midwest Region,Ohio,Civilian,0.03816026546419468
USA Midwest Region,Ohio,Officer,0.11431928045499891
USA South Region,Oklahoma,Civilian,0.10416195262198641
USA South Region,Oklahoma,Officer,0.22331614745388495
USA West Region,Oregon,Civilian,0.0932672923396558
USA West Region,Oregon,Officer,0.15925807904679556
USA Northeast Region,Pennsylvania,Civilian,0.03616545570974449
USA Northeast Region,Pennsylvania,Officer,0.19003410053908443
USA Northeast Region,Rhode Island,Civilian,0.06058849625167299
USA Northeast Region,Rhode Island,Officer,0.23550729734976913
USA South Region,South Carolina,Civilian,0.07055086510161496
USA South Region,South Carolina,Officer,0.1801365864748367
USA Midwest Region,South Dakota,Civilian,0.13096115149049406
USA Midwest Region,South Dakota,Officer,0.19550707586070398
USA South Region,Tennessee,Civilian,0.1489508549787985
USA South Region,Tennessee,Officer,0.24851375824196711
USA South Region,Texas,Civilian,0.09618151651202683
USA South Region,Texas,Officer,0.15379206694289754
USA West Region,Utah,Civilian,0.0666122315127698
USA West Region,Utah,Officer,0.1503447107627583
USA South Region,Virginia,Civilian,0.05884418416236324
USA South Region,Virginia,Officer,0.22452553411800896
USA Northeast Region,Vermont,Civilian,0.046974393456891174
USA Northeast Region,Vermont,Officer,0.18664073386885188
USA West Region,Washington,Civilian,0.06262296986918683
USA West Region,Washington,Officer,0.14383021513345054
USA Midwest Region,Wisconsin,Civilian,0.09377302122594051
USA Midwest Region,Wisconsin,Officer,0.2180590829265915
USA South Region,West Virginia,Civilian,0.05632046893625398
USA South Region,West Virginia,Officer,0.20062116556030665
USA West Region,Wyoming,Civilian,0.039734761973493175
USA West Region,Wyoming,Officer,0.06469634321325171
