Date,Δ from yesterday
2020-05-01 00:00:00,2393
2020-05-02 00:00:00,2447
2020-05-03 00:00:00,2798
2020-05-04 00:00:00,3932
2020-05-05 00:00:00,2965
2020-05-06 00:00:00,3587
2020-05-07 00:00:00,3510
2020-05-08 00:00:00,3197
2020-05-09 00:00:00,3114
2020-05-10 00:00:00,4351
2020-05-11 00:00:00,3611
2020-05-12 00:00:00,3511
2020-05-13 00:00:00,3774
2020-05-14 00:00:00,3941
2020-05-15 00:00:00,3797
2020-05-16 00:00:00,4727
2020-05-17 00:00:00,5176
2020-05-18 00:00:00,4715
2020-05-19 00:00:00,6008
2020-05-20 00:00:00,5584
2020-05-21 00:00:00,6222
2020-05-22 00:00:00,6528
2020-05-23 00:00:00,6669
2020-05-24 00:00:00,7130
2020-05-25 00:00:00,6448
2020-05-26 00:00:00,5921
2020-05-27 00:00:00,7223
2020-05-28 00:00:00,7218
2020-05-29 00:00:00,8129
2020-05-30 00:00:00,9527
2020-05-31 00:00:00,7517
2020-06-01 00:00:00,7838
2020-06-02 00:00:00,8810
2020-06-03 00:00:00,9606
2020-06-04 00:00:00,9924
2020-06-05 00:00:00,9379
2020-06-06 00:00:00,10533
2020-06-07 00:00:00,10767
2020-06-08 00:00:00,8539
2020-06-09 00:00:00,10217
2020-06-10 00:00:00,11009
2020-06-11 00:00:00,11129
2020-06-12 00:00:00,11319
2020-06-13 00:00:00,12023
2020-06-14 00:00:00,11394
2020-06-15 00:00:00,10021
2020-06-16 00:00:00,11106
2020-06-17 00:00:00,13118
2020-06-18 00:00:00,13826
2020-06-19 00:00:00,14722
2020-06-20 00:00:00,15526
2020-06-21 00:00:00,15573
2020-06-22 00:00:00,13537
2020-06-23 00:00:00,15664
2020-06-24 00:00:00,16859
2020-06-25 00:00:00,8743
2020-06-26 00:00:00,27749
2020-06-27 00:00:00,20113
2020-06-28 00:00:00,19292
2020-06-29 00:00:00,18364
2020-06-30 00:00:00,17433
2020-07-01 00:00:00,20143
2020-07-02 00:00:00,20436
2020-07-03 00:00:00,24642
2020-07-04 00:00:00,24017
2020-07-05 00:00:00,23165
2020-07-06 00:00:00,23166
2020-07-07 00:00:00,23246
2020-07-08 00:00:00,24863
2020-07-09 00:00:00,26497
2020-07-10 00:00:00,26650
2020-07-11 00:00:00,28865
2020-07-12 00:00:00,29090
2020-07-13 00:00:00,28166
2020-07-14 00:00:00,29948
2020-07-15 00:00:00,32607
2020-07-16 00:00:00,35468
2020-07-17 00:00:00,34820
2020-07-18 00:00:00,37368
2020-07-19 00:00:00,40283
2020-07-20 00:00:00,36809
2020-07-21 00:00:00,39168
2020-07-22 00:00:00,45599
2020-07-23 00:00:00,48446
2020-07-24 00:00:00,48892
2020-07-25 00:00:00,50065
2020-07-26 00:00:00,48807
2020-07-27 00:00:00,46608
2020-07-28 00:00:00,49633
2020-07-29 00:00:00,52084
2020-07-30 00:00:00,55131
2020-07-31 00:00:00,57431
2020-08-01 00:00:00,55138
2020-08-02 00:00:00,52783
2020-08-03 00:00:00,50616
2020-08-04 00:00:00,51202
2020-08-05 00:00:00,52948
2020-08-06 00:00:00,65941
2020-08-07 00:00:00,61455
2020-08-08 00:00:00,65042
2020-08-09 00:00:00,62231
2020-08-10 00:00:00,53016
2020-08-11 00:00:00,61163
2020-08-12 00:00:00,67155
2020-08-13 00:00:00,64142
2020-08-14 00:00:00,66149
2020-08-15 00:00:00,62491
2020-08-16 00:00:00,58187
2020-08-17 00:00:00,55133
2020-08-18 00:00:00,65053
2020-08-19 00:00:00,69197
2020-08-20 00:00:00,68507
2020-08-21 00:00:00,69040
2020-08-22 00:00:00,70067
2020-08-23 00:00:00,61749
2020-08-24 00:00:00,59696
2020-08-25 00:00:00,66873
2020-08-26 00:00:00,75995
2020-08-27 00:00:00,76828
2020-08-28 00:00:00,76665
2020-08-29 00:00:00,78116
2020-08-30 00:00:00,79811
2020-08-31 00:00:00,68770
2020-09-01 00:00:00,78169
2020-09-02 00:00:00,82859
2020-09-03 00:00:00,84156
2020-09-04 00:00:00,87115
2020-09-05 00:00:00,90600
2020-09-06 00:00:00,91055
2020-09-07 00:00:00,75690
2020-09-08 00:00:00,89828
2020-09-09 00:00:00,95553
2020-09-10 00:00:00,96760
2020-09-11 00:00:00,97654
2020-09-12 00:00:00,94409
2020-09-13 00:00:00,93215
2020-09-14 00:00:00,81911
2020-09-15 00:00:00,90466
2020-09-16 00:00:00,98513
2020-09-17 00:00:00,96753
2020-09-18 00:00:00,92983
2020-09-19 00:00:00,92601
2020-09-20 00:00:00,87382
2020-09-21 00:00:00,74493
2020-09-22 00:00:00,83376
2020-09-23 00:00:00,86703
2020-09-24 00:00:00,85919
2020-09-25 00:00:00,85723
2020-09-26 00:00:00,88755
2020-09-27 00:00:00,82767
2020-09-28 00:00:00,69671
2020-09-29 00:00:00,80500
2020-09-30 00:00:00,86748
2020-10-01 00:00:00,81784
2020-10-02 00:00:00,79883
2020-10-03 00:00:00,75612
2020-10-04 00:00:00,74500
2020-10-05 00:00:00,60262
2020-10-06 00:00:00,71871
2020-10-07 00:00:00,78809
2020-10-08 00:00:00,70691
2020-10-09 00:00:00,73414
2020-10-10 00:00:00,74450
2020-10-11 00:00:00,67757
2020-10-12 00:00:00,54265
2020-10-13 00:00:00,63711
2020-10-14 00:00:00,64954
2020-10-15 00:00:00,63482
2020-10-16 00:00:00,65124
2020-10-17 00:00:00,61959
2020-10-18 00:00:00,55440
2020-10-19 00:00:00,46391
2020-10-20 00:00:00,51998
2020-10-21 00:00:00,58798
2020-10-22 00:00:00,54268
2020-10-23 00:00:00,53977
2020-10-24 00:00:00,50365
2020-10-25 00:00:00,45923
2020-10-26 00:00:00,36066
2020-10-27 00:00:00,43034
2020-10-28 00:00:00,49664
2020-10-29 00:00:00,49327
2020-10-30 00:00:00,48120
2020-10-31 00:00:00,46715
2020-11-01 00:00:00,46441
2020-11-02 00:00:00,37592
2020-11-03 00:00:00,46033
2020-11-04 00:00:00,50465
2020-11-05 00:00:00,47622
2020-11-06 00:00:00,50017
2020-11-07 00:00:00,46152
2020-11-08 00:00:00,46708
2020-11-09 00:00:00,37119
2020-11-10 00:00:00,44724
2020-11-11 00:00:00,48285
2020-11-12 00:00:00,44586
2020-11-13 00:00:00,44619
2020-11-14 00:00:00,41692
2020-11-15 00:00:00,30681
2020-11-16 00:00:00,28609
2020-11-17 00:00:00,38548
2020-11-18 00:00:00,45365
2020-11-19 00:00:00,46186
2020-11-20 00:00:00,46282
2020-11-21 00:00:00,45301
2020-11-22 00:00:00,44403
2020-11-23 00:00:00,37441
2020-11-24 00:00:00,44945
2020-11-25 00:00:00,43999
2020-11-26 00:00:00,43174
2020-11-27 00:00:00,41353
2020-11-28 00:00:00,41816
2020-11-29 00:00:00,39034
2020-11-30 00:00:00,31180
2020-12-01 00:00:00,36475
2020-12-02 00:00:00,35506
2020-12-03 00:00:00,36574
2020-12-04 00:00:00,36711
2020-12-05 00:00:00,36010
2020-12-06 00:00:00,33178
2020-12-07 00:00:00,26227
2020-12-08 00:00:00,32083
2020-12-09 00:00:00,31637
2020-12-10 00:00:00,29411
2020-12-11 00:00:00,29961
2020-12-12 00:00:00,30354
2020-12-13 00:00:00,27336
2020-12-14 00:00:00,21941
2020-12-15 00:00:00,26251
2020-12-16 00:00:00,18172
2020-12-17 00:00:00,26754
2020-12-18 00:00:00,26991
2020-12-19 00:00:00,26834
2020-12-20 00:00:00,24622
2020-12-21 00:00:00,19147
2020-12-22 00:00:00,23880
2020-12-23 00:00:00,24716
2020-12-24 00:00:00,23444
2020-12-25 00:00:00,22350
2020-12-26 00:00:00,18574
2020-12-27 00:00:00,20333
2020-12-28 00:00:00,16072
2020-12-29 00:00:00,20542
2020-12-30 00:00:00,21944
2020-12-31 00:00:00,19046
2021-01-01 00:00:00,20159
2021-01-02 00:00:00,18144
2021-01-03 00:00:00,16659
2021-01-04 00:00:00,16278
2021-01-05 00:00:00,17909
2021-01-06 00:00:00,20472
2021-01-07 00:00:00,18123
2021-01-08 00:00:00,18455
2021-01-09 00:00:00,18820
2021-01-10 00:00:00,16086
2021-01-11 00:00:00,12481
2021-01-12 00:00:00,15187
2021-01-13 00:00:00,17015
2021-01-14 00:00:00,15677
2021-01-15 00:00:00,15155
2021-01-16 00:00:00,15050
2021-01-17 00:00:00,13962
2021-01-18 00:00:00,9987
2021-01-19 00:00:00,13787
2021-01-20 00:00:00,15279
2021-01-21 00:00:00,14495
2021-01-22 00:00:00,14323
2021-01-23 00:00:00,14896
2021-01-24 00:00:00,13232
2021-01-25 00:00:00,9098
2021-01-26 00:00:00,12733
2021-01-27 00:00:00,11556
2021-01-28 00:00:00,18912
2021-01-29 00:00:00,13054
2021-01-30 00:00:00,13073
2021-01-31 00:00:00,11527
2021-02-01 00:00:00,8579
2021-02-02 00:00:00,11001
2021-02-03 00:00:00,12925
2021-02-04 00:00:00,12401
2021-02-05 00:00:00,11711
2021-02-06 00:00:00,12069
2021-02-07 00:00:00,11786
2021-02-08 00:00:00,8715
2021-02-09 00:00:00,10731
2021-02-10 00:00:00,12539
2021-02-11 00:00:00,9353
2021-02-12 00:00:00,12137
2021-02-13 00:00:00,12198
2021-02-14 00:00:00,11706
2021-02-15 00:00:00,9086
2021-02-16 00:00:00,11592
2021-02-17 00:00:00,12862
2021-02-18 00:00:00,13237
2021-02-19 00:00:00,13916
2021-02-20 00:00:00,13919
2021-02-21 00:00:00,14278
2021-02-22 00:00:00,10494
2021-02-23 00:00:00,13682
2021-02-24 00:00:00,16930
2021-02-25 00:00:00,16599
2021-02-26 00:00:00,16562
2021-02-27 00:00:00,16805
2021-02-28 00:00:00,15614
2021-03-01 00:00:00,12270
2021-03-02 00:00:00,14998
2021-03-03 00:00:00,17425
2021-03-04 00:00:00,16824
2021-03-05 00:00:00,18324
2021-03-06 00:00:00,18724
2021-03-07 00:00:00,18650
2021-03-08 00:00:00,15353
2021-03-09 00:00:00,17873
2021-03-10 00:00:00,22851
2021-03-11 00:00:00,23298
2021-03-12 00:00:00,24845
2021-03-13 00:00:00,25154
2021-03-14 00:00:00,26513
2021-03-15 00:00:00,24437
2021-03-16 00:00:00,28869
2021-03-17 00:00:00,35838
2021-03-18 00:00:00,39687
2021-03-19 00:00:00,40906
2021-03-20 00:00:00,43815
2021-03-21 00:00:00,47009
2021-03-22 00:00:00,40636
2021-03-23 00:00:00,47239
2021-03-24 00:00:00,53419
2021-03-25 00:00:00,59083
2021-03-26 00:00:00,62276
2021-03-27 00:00:00,62632
