YearlyIncome,SalesAmount
10000,5059632.8
20000,6691717.28
30000,7319628.15
40000,10569893.28
50000,1616963.55
60000,10517812.88
70000,9933384.35
80000,7244337.84
90000,6010895.54
100000,4590717.8
110000,3858087.86
120000,2314825.16
130000,1918286.52
150000,83459.20999999999
160000,158540.37
170000,81952.61
10000000,28364.76
50000000,380784.01
150000000,2356775.48
230000000,140789.71
240000000,596.87
270000000,672003.78
290000000,825496.92
360000000,78652.67
370000000,15771.09
380000000,596.87
520000000,383813.78
540000000,2411.36
570000000,1319783.8800000001
610000000,431385.65
630000000,3864.3
670000000,1026594.67
680000000,45345.93
710000000,119090.75
730000000,74804.52
750000000,72663.42
940000000,34341.87
980000000,79450.0
1000000000,6762438.15
1030000000,596.87
1080000000,5278113.0200000005
1210000000,860124.2
1220000000,82640.94
1320000000,53853.78
1340000000,850719.26
1460000000,1873419.26
1500000000,30923.46
1510000000,46414.8
1550000000,75935.45999999999
1570000000,943612.9
1610000000,1035633.27
1660000000,19051.17
1690000000,596.87
1730000000,596.87
1750000000,1132152.42
1760000000,404256.05
1900000000,27353.48
1960000000,52649.34
1970000000,66945.06
2030000000,54589.979999999996
2050000000,100017.88
2140000000,596.87
2150000130,569447.7
2160000000,87687.97
2220000000,47797.68
2300000000,596.87
2310000130,63162.6
2400000000,2166462.92
2449999870,132185.62
