Month,Day,Daily_Total_Cases,Daily_Total_Deaths,Daily_Total_Recovered
01,22,555,17,28
01,23,654,18,30
01,24,941,26,36
01,25,1434,42,39
01,26,2118,56,52
01,27,2927,82,61
01,28,5578,131,107
01,29,6166,133,126
01,30,8234,171,143
01,31,9927,213,222
02,1,12038,259,284
02,2,16787,362,472
02,3,19887,426,623
02,4,23898,492,852
02,5,27642,564,1124
02,6,30801,634,1487
02,7,34397,719,2011
02,8,37130,806,2616
02,9,40161,906,3244
02,10,42768,1013,3946
02,11,44809,1113,4683
02,12,45228,1118,5150
02,13,60376,1371,6295
02,14,66894,1523,8058
02,15,69039,1666,9395
02,16,71233,1770,10865
02,17,73268,1868,12583
02,18,75146,2007,14352
02,19,75650,2122,16121
02,20,76210,2247,18177
02,21,76833,2251,18890
02,22,78586,2458,22886
02,23,78977,2469,23394
02,24,79542,2629,25227
02,25,80393,2708,27905
02,26,81370,2770,30384
02,27,82733,2814,33277
02,28,84106,2872,36711
02,29,86005,2941,39782
03,1,88383,2996,42716
03,2,90356,3085,45602
03,3,92933,3160,48228
03,4,95235,3254,51170
03,5,98023,3347,53796
03,6,101971,3459,55865
03,7,106004,3558,58359
03,8,109963,3801,60694
03,9,113844,3987,62493
03,10,118880,4263,64404
03,11,126546,4611,67002
03,12,132240,4913,68323
03,13,146672,5411,70250
03,14,157773,5830,72621
03,15,168954,6469,76031
03,16,183593,7148,78085
03,17,199419,7954,80837
03,18,218989,8849,83320
03,19,246905,9954,84957
03,20,276475,11435,87402
03,21,308790,13141,91666
03,22,342252,14841,97881
03,23,384404,16758,98346
03,24,425535,19028,107985
03,25,476369,21803,113768
03,26,539307,24810,122133
03,27,603674,28324,130902
03,28,671309,32003,139396
03,29,730880,35471,148863
03,30,795425,39633,164300
03,31,871674,44477,177786
04,1,947840,50027,192876
04,2,1029275,56334,209917
04,3,1112215,62314,225364
04,4,1192742,68163,245777
04,5,1264109,73178,259616
04,6,1337062,79015,276249
04,7,1413812,86922,299637
04,8,1497403,93651,328353
04,9,1583844,101266,353689
04,10,1671729,108531,375508
04,11,1748223,114586,401755
04,12,1845226,120317,421158
04,13,1915142,126070,448324
04,14,1984840,132972,473417
04,15,2065566,141271,510084
04,16,2162241,148568,540912
04,17,2250566,157457,567032
04,18,2323831,163928,590955
04,19,2404673,168506,622609
04,20,2477668,173929,644611
04,21,2552783,181080,679438
04,22,2629660,187837,709867
04,23,2719097,194706,738658
04,24,2806113,201387,788691
04,25,2890304,206961,816470
04,26,2963242,210840,845073
04,27,3032503,215478,872876
04,28,3107085,221931,906142
04,29,3183962,228695,948310
04,30,3267740,234652,1013281
05,1,3354731,239824,1051512
05,2,3435281,245142,1092429
05,3,3513023,248584,1124752
05,4,3589133,252739,1158816
05,5,3669172,258618,1195421
05,6,3759093,265272,1241339
05,7,3848305,270689,1280836
05,8,3939833,276252,1317358
05,9,4023441,280515,1370907
05,10,4099732,284085,1404501
05,11,4176006,287547,1451495
05,12,4259403,293090,1488530
05,13,4344421,298321,1544372
05,14,4441499,303592,1584107
05,15,4537879,308805,1632096
05,16,4629672,312958,1688687
05,17,4708205,316297,1729573
05,18,4796476,319584,1782471
05,19,4892934,324375,1834636
05,20,4995742,329236,1893549
05,21,5102278,334028,1944814
05,22,5209244,339314,2053465
05,23,5308225,343305,2108436
05,24,5403524,346127,2163876
05,25,5490497,347309,2227599
05,26,5583031,351520,2282813
05,27,5685633,356707,2346206
05,28,5803599,361392,2413063
05,29,5924709,366076,2490390
05,30,6053134,370211,2560862
05,31,6160243,373078,2637170
06,1,6256493,376608,2692065
06,2,6369046,381307,2796188
06,3,6496381,387013,2875330
06,4,6623083,392161,2945359
06,5,6755724,396983,3014515
06,6,6881530,400801,3086717
06,7,6993970,403550,3141810
06,8,7097409,407306,3293408
06,9,7220392,412161,3375668
06,10,7354172,417366,3454807
06,11,7492360,422150,3540696
06,12,7621346,426445,3620412
06,13,7755445,430695,3706353
06,14,7888575,434041,3777131
06,15,8010360,437545,3857338
06,16,8149939,444334,3955169
06,17,8325831,449605,4073955
06,18,8464706,454614,4155099
06,19,8645640,460883,4250107
06,20,8803904,465151,4365932
06,21,8934807,469208,4434628
06,22,9072666,472779,4526333
06,23,9238013,478203,4630391
06,24,9405649,483377,4746118
06,25,9583608,489928,4838921
06,26,9774609,494773,4945557
06,27,9952423,499291,5051864
06,28,10117641,502450,5140899
06,29,10273510,506076,5235813
06,30,10447879,511268,5353205
07,1,10664168,516253,5469134
07,2,10871926,521361,5754006
07,3,11074878,526411,5863847
07,4,11267309,530754,6059565
07,5,11449707,534267,6179006
