Revenue Item,Revenue,Year
Personal Income Tax,37743,2020
Personal Income Tax,36351,2022
Personal Income Tax,35876,2021
Personal Income Tax,35381,2019
Personal Income Tax,32900,2018
Personal Income Tax,31141,2016
Personal Income Tax,30671,2017
Personal Income Tax,29313,2015
Sales Taxes,28619,2020
Sales Taxes,27804,2019
Sales Taxes,27632,2022
Sales Taxes,26042,2021
Sales Taxes,25923,2018
Sales Taxes,24750,2017
Sales Taxes,23455,2016
Sales Taxes,21689,2015
Canada Health Transfer,16737,2022
Corporations Tax,16606,2019
Canada Health Transfer,16208,2021
Canada Health Transfer,15640,2020
Corporations Tax,15612,2018
Corporations Tax,15414,2020
Corporations Tax,14872,2017
Canada Health Transfer,14852,2019
Corporations Tax,14389,2022
Canada Health Transfer,14359,2018
Canada Health Transfer,13910,2017
Canada Health Transfer,13089,2016
Canada Health Transfer,12408,2015
Corporations Tax,11435,2021
Corporations Tax,11428,2016
"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",9758,2022
Corporations Tax,9557,2015
"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",9281,2020
"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",9237,2019
"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",8353,2021
"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",8309,2018
"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",7957,2017
"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",7493,2016
Employer Health Tax,6731,2020
Employer Health Tax,6544,2019
Employer Health Tax,6480,2021
Employer Health Tax,6445,2022
Employer Health Tax,6205,2018
Education Property Tax,6179,2020
Education Property Tax,6171,2019
Canada Social Transfer,6005,2022
Education Property Tax,6000,2021
Employer Health Tax,5908,2017
Education Property Tax,5883,2018
Education Property Tax,5868,2017
Education Property Tax,5839,2016
Canada Social Transfer,5815,2021
Education Property Tax,5754,2022
Canada Social Transfer,5650,2020
Employer Health Tax,5649,2016
Education Property Tax,5561,2015
Canada Social Transfer,5451,2019
Employer Health Tax,5415,2015
Canada Social Transfer,5314,2018
Canada Social Transfer,5146,2017
Canada Social Transfer,4984,2016
Canada Social Transfer,4847,2015
Ontario Health Premium,4141,2022
Ontario Health Premium,4059,2020
Ontario Health Premium,3958,2021
Land Transfer Tax,3890,2022
Ontario Health Premium,3819,2019
Ontario Health Premium,3672,2018
Ontario Health Premium,3575,2017
Land Transfer Tax,3481,2021
Ontario Health Premium,3453,2016
Ontario Health Premium,3366,2015
Land Transfer Tax,3174,2018
Land Transfer Tax,3067,2020
Land Transfer Tax,2761,2019
Land Transfer Tax,2728,2017
Land Transfer Tax,2118,2016
Land Transfer Tax,1778,2015
