Week number,Deaths 2020,Deaths 2019,5 Year Average
1,12254,10955,12175
2,14058,12609,13822
3,12990,11860,13216
4,11856,11740,12760
5,11612,11297,12206
6,10986,11660,11925
7,10944,11824,11627
8,10841,11295,11548
9,10816,11044,11183
10,10895,10898,11498
11,11019,10567,11205
12,10645,10402,10573
13,11141,9867,10130
14,16387,10126,10305
15,18516,10291,10520
16,22351,9025,10497
17,21997,10059,10458
18,17953,11207,9941
19,12657,9055,9576
20,14573,10272,10188
21,12288,10284,9940
22,9824,8260,8171
23,10709,10140,9977
24,9976,9445,9417
25,9339,9458,9404
26,8979,9511,9293
27,9140,9062,9183
28,8690,9179,9250
29,8823,9080,9093
30,8891,9112,9052
