AccountKey,ParentAccountKey,AccountCodeAlternateKey,ParentAccountCodeAlternateKey,Account Description,Account Type,Operator,Custom Members,Value Type,Custom Member Options,Path,Account Level 1,Account Level 2,Account Level 3,Account Level 4,Account Level 5,Account Level 6
2,1,10,1,"Assets","Assets","+","","Currency","","1|2","Balance Sheet","Assets","","","",""
3,2,110,10,"Current Assets","Assets","+","","Currency","","1|2|3","Balance Sheet","Assets","Current Assets","","",""
4,3,1110,110,"Cash","Assets","+","","Currency","","1|2|3|4","Balance Sheet","Assets","Current Assets","Cash","",""
5,3,1120,110,"Receivables","Assets","+","","Currency","","1|2|3|5","Balance Sheet","Assets","Current Assets","Receivables","",""
6,5,1130,1120,"Trade Receivables","Assets","+","","Currency","","1|2|3|5|6","Balance Sheet","Assets","Current Assets","Receivables","Trade Receivables",""
7,5,1140,1120,"Other Receivables","Assets","+","","Currency","","1|2|3|5|7","Balance Sheet","Assets","Current Assets","Receivables","Other Receivables",""
8,3,1150,110,"Allowance for Bad Debt","Assets","+","","Currency","","1|2|3|8","Balance Sheet","Assets","Current Assets","Allowance for Bad Debt","",""
9,3,1160,110,"Inventory","Assets","+","","Currency","","1|2|3|9","Balance Sheet","Assets","Current Assets","Inventory","",""
10,9,1162,1160,"Raw Materials","Assets","+","","Currency","","1|2|3|9|10","Balance Sheet","Assets","Current Assets","Inventory","Raw Materials",""
11,9,1164,1160,"Work in Process","Assets","+","","Currency","","1|2|3|9|11","Balance Sheet","Assets","Current Assets","Inventory","Work in Process",""
12,9,1166,1160,"Finished Goods","Assets","+","","Currency","","1|2|3|9|12","Balance Sheet","Assets","Current Assets","Inventory","Finished Goods",""
13,3,1170,110,"Deferred Taxes","Assets","+","","Currency","","1|2|3|13","Balance Sheet","Assets","Current Assets","Deferred Taxes","",""
14,3,1180,110,"Prepaid Expenses","Assets","+","","Currency","","1|2|3|14","Balance Sheet","Assets","Current Assets","Prepaid Expenses","",""
15,3,1185,110,"Intercompany Receivables","Assets","+","","Currency","","1|2|3|15","Balance Sheet","Assets","Current Assets","Intercompany Receivables","",""
17,2,1200,10,"Property, Plant, Equipment","Assets","+","","Currency","","1|2|17","Balance Sheet","Assets","Property, Plant, Equipment","","",""
18,17,1210,1200,"Land & Improvements","Assets","+","","Currency","","1|2|17|18","Balance Sheet","Assets","Property, Plant, Equipment","Land & Improvements","",""
19,17,1220,1200,"Buildings & Improvements","Assets","+","","Currency","","1|2|17|19","Balance Sheet","Assets","Property, Plant, Equipment","Buildings & Improvements","",""
20,17,1230,1200,"Machinery & Equipment","Assets","+","","Currency","","1|2|17|20","Balance Sheet","Assets","Property, Plant, Equipment","Machinery & Equipment","",""
21,17,1240,1200,"Office Furniture & Equipment","Assets","+","","Currency","","1|2|17|21","Balance Sheet","Assets","Property, Plant, Equipment","Office Furniture & Equipment","",""
22,17,1250,1200,"Leasehold Improvements","Assets","+","","Currency","","1|2|17|22","Balance Sheet","Assets","Property, Plant, Equipment","Leasehold Improvements","",""
23,17,1260,1200,"Construction In Progress","Assets","+","","Currency","","1|2|17|23","Balance Sheet","Assets","Property, Plant, Equipment","Construction In Progress","",""
24,2,1300,10,"Other Assets","Assets","+","","Currency","","1|2|24","Balance Sheet","Assets","Other Assets","","",""
26,25,210,20,"Liabilities","Liabilities","+","","Currency","","1|25|26","Balance Sheet","Liabilities and Owners Equity","Liabilities","","",""
27,26,2200,210,"Current Liabilities","Liabilities","+","","Currency","","1|25|26|27","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","",""
28,27,2210,2200,"Notes Payable","Liabilities","+","","Currency","","1|25|26|27|28","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Notes Payable",""
29,27,2230,2200,"Accounts Payable","Liabilities","+","","Currency","","1|25|26|27|29","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Accounts Payable",""
30,27,2300,2200,"Accrued Expenses","Liabilities","+","","Currency","","1|25|26|27|30","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Accrued Expenses",""
31,30,2310,2300,"Salary & Other Comp","Liabilities","+","","Currency","","1|25|26|27|30|31","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Accrued Expenses","Salary & Other Comp"
32,30,2320,2300,"Insurance","Liabilities","+","","Currency","","1|25|26|27|30|32","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Accrued Expenses","Insurance"
33,30,2330,2300,"Warranties","Liabilities","+","","Currency","","1|25|26|27|30|33","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Accrued Expenses","Warranties"
34,27,2340,2200,"Intercompany Payables","Liabilities","+","","Currency","","1|25|26|27|34","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Intercompany Payables",""
35,27,2350,2200,"Other Current Liabilities","Liabilities","+","","Currency","","1|25|26|27|35","Balance Sheet","Liabilities and Owners Equity","Liabilities","Current Liabilities","Other Current Liabilities",""
36,26,2400,210,"Long Term Liabilities","Liabilities","+","","Currency","","1|25|26|36","Balance Sheet","Liabilities and Owners Equity","Liabilities","Long Term Liabilities","",""
37,36,2410,2400,"Long Term Obligations","Liabilities","+","","Currency","","1|25|26|36|37","Balance Sheet","Liabilities and Owners Equity","Liabilities","Long Term Liabilities","Long Term Obligations",""
38,36,2420,2400,"Pension Liability","Liabilities","+","","Currency","","1|25|26|36|38","Balance Sheet","Liabilities and Owners Equity","Liabilities","Long Term Liabilities","Pension Liability",""
39,36,2430,2400,"Other Retirement Benefits","Liabilities","+","","Currency","","1|25|26|36|39","Balance Sheet","Liabilities and Owners Equity","Liabilities","Long Term Liabilities","Other Retirement Benefits",""
40,36,2440,2400,"Other Long Term Liabilities","Liabilities","+","","Currency","","1|25|26|36|40","Balance Sheet","Liabilities and Owners Equity","Liabilities","Long Term Liabilities","Other Long Term Liabilities",""
41,25,300,20,"Owners Equity","Liabilities","+","","Currency","","1|25|41","Balance Sheet","Liabilities and Owners Equity","Owners Equity","","",""
