EntitySetName,SchemaName
"adx_accesscontrolrule_publishingstateset","adx_accesscontrolrule_publishingstate"
"adx_accountcontentaccesslevelset","adx_AccountContentAccessLevel"
"adx_accountproductset","adx_accountproduct"
"adx_adplacement_adset","adx_adplacement_ad"
"adx_adplacements","Adx_adplacement"
"adx_ads","Adx_ad"
"adx_alertsubscriptions","adx_alertsubscription"
"adx_badges","adx_badge"
"adx_badgetypes","adx_badgetype"
"adx_bingmaplookups","adx_bingmaplookup"
"adx_blog_webroleset","adx_blog_webrole"
"adx_blogpost_tagset","adx_blogpost_tag"
"adx_blogposts","adx_blogpost"
"adx_blogs","adx_blog"
"adx_bpf_c2857b638fa7473d8e2f112c232cebd8s","adx_bpf_c2857b638fa7473d8e2f112c232cebd8"
"adx_casedeflections","adx_casedeflection"
"adx_cmpallowedreasons","adx_cmpallowedreason"
"adx_communityforumaccesspermission_webroleset","adx_communityforumaccesspermission_webrole"
"adx_communityforumaccesspermissions","Adx_communityforumaccesspermission"
"adx_communityforumalerts","Adx_communityforumalert"
"adx_communityforumannouncements","Adx_communityforumannouncement"
"adx_communityforumposts","Adx_communityforumpost"
"adx_communityforums","Adx_communityforum"
"adx_communityforumthread_contactset","adx_communityforumthread_contact"
"adx_communityforumthread_tagset","adx_communityforumthread_tag"
"adx_communityforumthreads","Adx_communityforumthread"
"adx_contactcontentaccesslevelset","adx_ContactContentAccessLevel"
"adx_contactproductset","adx_contactproduct"
"adx_contentaccesslevels","adx_contentaccesslevel"
"adx_contentmoderationpolicies","adx_contentmoderationpolicy"
"adx_contentsnippets","Adx_contentsnippet"
"adx_entityformmetadatas","adx_entityformmetadata"
"adx_entityforms","adx_entityform"
"adx_entitylists","adx_entitylist"
"adx_entitypermission_webroleset","adx_entitypermission_webrole"
"adx_entitypermissions","adx_entitypermission"
"adx_externalidentities","adx_externalidentity"
"adx_forum_activityalertset","adx_forum_activityalert"
"adx_forumnotifications","adx_forumnotification"
"adx_forumthreadtypes","Adx_forumthreadtype"
"adx_ideaforums","adx_ideaforum"
"adx_ideas","adx_idea"
"adx_invitation_invitecontactsset","adx_invitation_invitecontacts"
"adx_invitation_redeemedcontactsset","adx_invitation_redeemedcontacts"
"adx_invitation_webroleset","adx_invitation_webrole"
"adx_invitations","adx_invitation"
"adx_inviteredemptions","adx_inviteredemption"
"adx_kbarticle_kbarticleset","adx_kbarticle_kbarticle"
"adx_knowledgearticlecontentaccesslevelset","adx_KnowledgeArticleContentAccessLevel"
"adx_pagealerts","Adx_pagealert"
"adx_pagenotifications","adx_pagenotification"
"adx_pagetag_webpageset","adx_pagetag_webpage"
"adx_pagetags","Adx_pagetag"
"adx_pagetemplates","Adx_pagetemplate"
"adx_polloptions","Adx_polloption"
"adx_pollplacement_pollset","adx_pollplacement_poll"
"adx_pollplacements","Adx_pollplacement"
"adx_polls","Adx_poll"
"adx_pollsubmissions","Adx_pollsubmission"
"adx_portalcomments","adx_portalcomment"
"adx_portallanguages","adx_portallanguage"
"adx_publishingstates","Adx_publishingstate"
"adx_publishingstatetransitionrule_webroleset","adx_publishingstatetransitionrule_webrole"
"adx_publishingstatetransitionrules","adx_publishingstatetransitionrule"
"adx_redirects","Adx_redirect"
"adx_settings","adx_setting"
"adx_shortcuts","adx_shortcut"
"adx_sitemarkers","Adx_sitemarker"
"adx_sitesettings","Adx_sitesetting"
"adx_tags","adx_tag"
"adx_urlhistories","Adx_urlhistory"
"adx_webfilelogs","Adx_webfilelog"
"adx_webfiles","Adx_webfile"
"adx_webformmetadatas","adx_webformmetadata"
"adx_webforms","adx_webform"
"adx_webformsessions","adx_webformsession"
"adx_webformsteps","adx_webformstep"
"adx_weblinks","Adx_weblink"
"adx_weblinksets","Adx_weblinkset"
"adx_webnotificationentities","adx_webnotificationentity"
"adx_webnotificationurls","adx_webnotificationurl"
"adx_webpage_tagset","adx_webpage_tag"
"adx_webpageaccesscontrolrule_webroleset","adx_webpageaccesscontrolrule_webrole"
"adx_webpageaccesscontrolrules","Adx_webpageaccesscontrolrule"
"adx_webpagehistories","Adx_webpagehistory"
"adx_webpagelogs","Adx_webpagelog"
"adx_webpages","Adx_webpage"
"adx_webrole_accountset","adx_webrole_account"
"adx_webrole_contactset","adx_webrole_contact"
"adx_webrole_ideaforum_readset","adx_webrole_ideaforum_read"
"adx_webrole_ideaforum_writeset","adx_webrole_ideaforum_write"
"adx_webrole_systemuserset","adx_webrole_systemuser"
"adx_webrolecontentaccesslevelset","adx_WebRoleContentAccessLevel"
"adx_webroles","Adx_webrole"
"adx_website_listset","adx_website_list"
"adx_website_sponsorset","adx_website_sponsor"
"adx_websiteaccess_webroleset","adx_websiteaccess_webrole"
"adx_websiteaccesses","Adx_websiteaccess"
"adx_websitebindings","Adx_websitebinding"
"adx_websitelanguages","adx_websitelanguage"
"adx_websites","Adx_website"
"adx_webtemplates","adx_webtemplate"
"entitlemententityallocationtypemappings","EntitlementEntityAllocationTypeMapping"
"msdyn_answers","msdyn_answer"
"msdyn_azuredeployments","msdyn_azuredeployment"
"msdyn_callablecontext_msdyn_playbooktemplateset","msdyn_callablecontext_msdyn_playbooktemplate"
"msdyn_callablecontexts","msdyn_callablecontext"
"msdyn_componentlayerdatasources","msdyn_componentlayerdatasource"
"msdyn_componentlayers","msdyn_componentlayer"
"msdyn_connectors","msdyn_Connector"
"msdyn_databaseversions","msdyn_databaseversion"
"msdyn_feedbackmappings","msdyn_feedbackmapping"
"msdyn_feedbacksubsurveies","msdyn_feedbacksubsurvey"
"msdyn_feedbacksubsurvey_msdyn_surveyset","msdyn_feedbacksubsurvey_msdyn_survey"
"msdyn_forecastdefinitions","msdyn_forecastdefinition"
"msdyn_forecastinstances","msdyn_forecastinstance"
"msdyn_forecastrecurrences","msdyn_forecastrecurrence"
"msdyn_icebreakersconfigs","msdyn_icebreakersconfig"
"msdyn_images","msdyn_image"
"msdyn_imagetokencaches","msdyn_imagetokencache"
"msdyn_imports","msdyn_import"
"msdyn_linkedanswers","msdyn_linkedanswer"
"msdyn_notesanalysisconfigs","msdyn_notesanalysisconfig"
"msdyn_pages","msdyn_page"
"msdyn_playbookactivities","msdyn_playbookactivity"
"msdyn_playbookactivityattributes","msdyn_playbookactivityattribute"
"msdyn_playbookcategories","msdyn_playbookcategory"
"msdyn_playbookinstances","msdyn_playbookinstance"
"msdyn_playbooktemplates","msdyn_playbooktemplate"
"msdyn_question_answer_n_nset","msdyn_question_answer_n_n"
"msdyn_questiongroups","msdyn_questiongroup"
"msdyn_questionresponses","msdyn_questionresponse"
"msdyn_questions","msdyn_question"
"msdyn_questiontypes","msdyn_questiontype"
"msdyn_relationshipinsightsunifiedconfigs","msdyn_relationshipinsightsunifiedconfig"
"msdyn_responseactions","msdyn_responseaction"
"msdyn_responseblobstores","msdyn_responseblobstore"
"msdyn_responseconditions","msdyn_responsecondition"
"msdyn_responseerrors","msdyn_responseerror"
"msdyn_responseoutcomes","msdyn_responseoutcome"
"msdyn_responserouting_msdyn_responseactionset","msdyn_responserouting_msdyn_responseaction"
"msdyn_responserouting_responseaction_elseset","msdyn_responserouting_responseaction_else"
"msdyn_responseroutings","msdyn_responserouting"
"msdyn_sections","msdyn_section"
"msdyn_siconfigs","msdyn_siconfig"
"msdyn_solutioncomponentdatasources","msdyn_solutioncomponentdatasource"
"msdyn_solutioncomponentsummaries","msdyn_solutioncomponentsummary"
"msdyn_solutionhistories","msdyn_solutionhistory"
"msdyn_solutionhistorydatasources","msdyn_solutionhistorydatasource"
"msdyn_surveyinvites","msdyn_surveyinvite"
"msdyn_surveylogs","msdyn_surveylog"
"msdyn_surveyresponses","msdyn_surveyresponse"
"msdyn_surveys","msdyn_survey"
"msdyn_teamscollaborations","msdyn_TeamsCollaboration"
"msdyn_themes","msdyn_theme"
"msdyn_untrackedappointments","msdyn_untrackedappointment"
"msdyn_upgraderuns","msdyn_upgraderun"
"msdyn_upgradesteps","msdyn_upgradestep"
"msdyn_upgradeversions","msdyn_upgradeversion"
"msdyn_vocconfigurations","msdyn_vocconfiguration"
"msdyncrm_appointmentactivitymarketingtemplates","msdyncrm_appointmentactivitymarketingtemplate"
"msdyncrm_cdnconfigurations","msdyncrm_cdnconfiguration"
"msdyncrm_cdsaconnectorconfigurations","msdyncrm_cdsaconnectorconfiguration"
"msdyncrm_contentblocks","msdyncrm_contentblock"
"msdyncrm_contentsettingss","msdyncrm_contentsettings"
"msdyncrm_customerinsightsinfos","msdyncrm_customerinsightsinfo"
"msdyncrm_customerjourney_msdyncrm_marketingemailset","msdyncrm_customerjourney_msdyncrm_marketingemail"
"msdyncrm_customerjourney_msdyncrm_marketingpageset","msdyncrm_customerjourney_msdyncrm_marketingpage"
"msdyncrm_customerjourneycustomchannelactivities","msdyncrm_customerjourneycustomchannelactivity"
"msdyncrm_customerjourneyiterations","msdyncrm_customerjourneyiteration"
"msdyncrm_customerjourneyruntimestates","msdyncrm_customerjourneyruntimestate"
"msdyncrm_customerjourneys","msdyncrm_customerjourney"
"msdyncrm_customerjourneytemplates","msdyncrm_customerjourneytemplate"
"msdyncrm_customerjourneyworkflowlinks","msdyncrm_customerjourneyworkflowlink"
"msdyncrm_defaultmarketingsettings","msdyncrm_defaultmarketingsetting"
"msdyncrm_designerfeatureavailabilities","msdyncrm_designerfeatureavailability"
"msdyncrm_digitalassetsconfigurations","msdyncrm_digitalassetsconfiguration"
"msdyncrm_files","msdyncrm_file"
"msdyncrm_formpages","msdyncrm_formpage"
"msdyncrm_formpagetemplates","msdyncrm_formpagetemplate"
"msdyncrm_formtemplate_marketingformfieldset","msdyncrm_formtemplate_marketingformfield"
"msdyncrm_geopins","msdyncrm_geopin"
"msdyncrm_gwennolfeatureconfigurations","msdyncrm_gwennolfeatureconfiguration"
"msdyncrm_gwennolspamscoreactivities","msdyncrm_gwennolspamscoreactivity"
"msdyncrm_gwennolspamscorerequests","msdyncrm_gwennolspamscorerequest"
"msdyncrm_keywords","msdyncrm_keyword"
"msdyncrm_leadentityfields","msdyncrm_leadentityfield"
"msdyncrm_leadscoremodels","msdyncrm_leadscoremodel"
"msdyncrm_leadscores","msdyncrm_leadscore"
"msdyncrm_leadtoopportunities","msdyncrm_leadtoopportunity"
"msdyncrm_linkedinaccounts","msdyncrm_linkedinaccount"
"msdyncrm_linkedinactivities","msdyncrm_linkedinactivity"
"msdyncrm_linkedinaudiences","msdyncrm_linkedinaudience"
"msdyncrm_linkedincampaigns","msdyncrm_linkedincampaign"
"msdyncrm_linkedinconfigurations","msdyncrm_linkedinconfiguration"
"msdyncrm_linkedinfieldmappings","msdyncrm_linkedinfieldmapping"
"msdyncrm_linkedinformanswers","msdyncrm_linkedinformanswer"
"msdyncrm_linkedinformquestions","msdyncrm_linkedinformquestion"
"msdyncrm_linkedinforms","msdyncrm_linkedinform"
"msdyncrm_linkedinformsubmissions","msdyncrm_linkedinformsubmission"
"msdyncrm_linkedinleadmatchingstrategies","msdyncrm_linkedinleadmatchingstrategy"
"msdyncrm_linkedinuserprofile_accountset","msdyncrm_linkedinuserprofile_account"
"msdyncrm_linkedinuserprofiles","msdyncrm_linkedinuserprofile"
"msdyncrm_listforms","msdyncrm_listform"
"msdyncrm_marketingconfigurations","msdyncrm_marketingconfiguration"
"msdyncrm_marketingdynamiccontentmetadatas","msdyncrm_marketingdynamiccontentmetadata"
"msdyncrm_marketingemaildynamiccontentmetadatas","msdyncrm_marketingemaildynamiccontentmetadata"
"msdyncrm_marketingemails","msdyncrm_marketingemail"
"msdyncrm_marketingemailtemplates","msdyncrm_marketingemailtemplate"
"msdyncrm_marketingemailtestsends","msdyncrm_marketingemailtestsend"
"msdyncrm_marketingform_marketingformfieldset","msdyncrm_marketingform_marketingformfield"
"msdyncrm_marketingformfields","msdyncrm_marketingformfield"
"msdyncrm_marketingforms","msdyncrm_marketingform"
"msdyncrm_marketingformtemplates","msdyncrm_marketingformtemplate"
"msdyncrm_marketingformwhitelistrules","msdyncrm_marketingformwhitelistrule"
"msdyncrm_marketingpage_marketingemailset","msdyncrm_marketingpage_marketingemail"
"msdyncrm_marketingpageconfigurations","msdyncrm_marketingpageconfiguration"
"msdyncrm_marketingpages","msdyncrm_marketingpage"
"msdyncrm_marketingpagetemplates","msdyncrm_marketingpagetemplate"
"msdyncrm_matchingstrategies","msdyncrm_matchingstrategy"
"msdyncrm_matchingstrategyattributes","msdyncrm_matchingstrategyattribute"
"msdyncrm_migrations","msdyncrm_migration"
"msdyncrm_mktactivities","msdyncrm_mktactivity"
"msdyncrm_msdyncrm_keyword_msdyncrm_fileset","msdyncrm_msdyncrm_keyword_msdyncrm_file"
"msdyncrm_msdyncrm_linkedinlms_fieldmappingset","msdyncrm_msdyncrm_linkedinlms_fieldmapping"
"msdyncrm_msdyncrm_marketingform_systemuserset","msdyncrm_msdyncrm_marketingform_systemuser"
"msdyncrm_msdyncrm_marketingpage_msdyncrm_customeset","msdyncrm_msdyncrm_marketingpage_msdyncrm_custome"
"msdyncrm_personalizedpagefields","msdyncrm_personalizedpagefield"
"msdyncrm_personalizedpages","msdyncrm_personalizedpage"
"msdyncrm_phonecallactivitymarketingtemplates","msdyncrm_phonecallactivitymarketingtemplate"
"msdyncrm_portalsettingss","msdyncrm_portalsettings"
"msdyncrm_quotainfoentities","msdyncrm_quotainfoentity"
"msdyncrm_redirecturls","msdyncrm_redirecturl"
"msdyncrm_segments","msdyncrm_segment"
"msdyncrm_setupdomains","msdyncrm_setupdomain"
"msdyncrm_socialpostingconfigurations","msdyncrm_socialpostingconfiguration"
"msdyncrm_socialpostingconsents","msdyncrm_socialpostingconsent"
"msdyncrm_socialposts","msdyncrm_socialpost"
"msdyncrm_taskactivitymarketingtemplates","msdyncrm_taskactivitymarketingtemplate"
"msdyncrm_uicconfigs","msdyncrm_uicconfig"
"msdyncrm_usergeoregions","msdyncrm_usergeoregion"
"msdyncrm_videos","msdyncrm_video"
"msdyncrm_websites","msdyncrm_website"
"msevtmgt_adobelaunchintegrationconfigurations","msevtmgt_adobelaunchintegrationconfiguration"
"msevtmgt_attendeepasses","msevtmgt_AttendeePass"
"msevtmgt_authenticationsettingses","msevtmgt_authenticationsettings"
"msevtmgt_bpf_9623d46752ae497989f62ac0d11dad99s","msevtmgt_bpf_9623d46752ae497989f62ac0d11dad99"
"msevtmgt_buckets","msevtmgt_bucket"
"msevtmgt_buildings","msevtmgt_Building"
"msevtmgt_checkins","msevtmgt_CheckIn"
"msevtmgt_customregistrationfield_eventset","msevtmgt_customregistrationfield_event"
"msevtmgt_customregistrationfields","msevtmgt_customregistrationfield"
"msevtmgt_entitycounters","msevtmgt_EntityCounter"
"msevtmgt_eventadministration","msevtmgt_eventadministration"
"msevtmgt_eventcustomregistrationfields","msevtmgt_eventcustomregistrationfield"
"msevtmgt_eventmanagementactivities","msevtmgt_eventmanagementactivity"
"msevtmgt_eventmanagementconfigurations","msevtmgt_eventmanagementconfiguration"
"msevtmgt_eventpurchaseattendees","msevtmgt_eventpurchaseattendee"
"msevtmgt_eventpurchasecontacts","msevtmgt_eventpurchasecontact"
"msevtmgt_eventpurchasepasses","msevtmgt_eventpurchasepass"
"msevtmgt_eventpurchases","msevtmgt_eventpurchase"
"msevtmgt_eventregistration_msevtmgt_sessionset","msevtmgt_eventregistration_msevtmgt_session"
"msevtmgt_eventregistrations","msevtmgt_EventRegistration"
"msevtmgt_events","msevtmgt_Event"
"msevtmgt_eventteammembers","msevtmgt_EventTeamMember"
"msevtmgt_eventvendors","msevtmgt_eventvendor"
"msevtmgt_files","msevtmgt_file"
"msevtmgt_hotelroomallocations","msevtmgt_HotelRoomAllocation"
"msevtmgt_hotelroomreservations","msevtmgt_HotelRoomReservation"
"msevtmgt_hotels","msevtmgt_Hotel"
"msevtmgt_layouts","msevtmgt_Layout"
"msevtmgt_msevtmgt_event_msevtmgt_eventteammemberset","msevtmgt_msevtmgt_event_msevtmgt_eventteammember"
"msevtmgt_pass_msevtmgt_sessionset","msevtmgt_pass_msevtmgt_session"
"msevtmgt_passes","msevtmgt_pass"
"msevtmgt_portalcgis","msevtmgt_portalcgi"
"msevtmgt_registrationresponses","msevtmgt_registrationresponse"
"msevtmgt_roomreservations","msevtmgt_roomreservation"
"msevtmgt_rooms","msevtmgt_Room"
"msevtmgt_session_msevtmgt_attendeepassset","msevtmgt_session_msevtmgt_attendeepass"
"msevtmgt_session_msevtmgt_sessionset","msevtmgt_session_msevtmgt_session"
"msevtmgt_session_msevtmgt_speakerset","msevtmgt_session_msevtmgt_speaker"
"msevtmgt_sessionregistrations","msevtmgt_SessionRegistration"
"msevtmgt_sessions","msevtmgt_Session"
"msevtmgt_sessiontrack_msevtmgt_sessionset","msevtmgt_sessiontrack_msevtmgt_session"
"msevtmgt_sessiontracks","msevtmgt_SessionTrack"
"msevtmgt_speakerengagements","msevtmgt_speakerengagement"
"msevtmgt_speakers","msevtmgt_Speaker"
"msevtmgt_sponsorablearticles","msevtmgt_SponsorableArticle"
"msevtmgt_sponsorships","msevtmgt_Sponsorship"
"msevtmgt_venues","msevtmgt_Venue"
"msevtmgt_waitlistitems","msevtmgt_waitlistitem"
"msevtmgt_webapplications","msevtmgt_webapplication"
"msevtmgt_webinarconfigurations","msevtmgt_webinarconfiguration"
"msevtmgt_webinarconsents","msevtmgt_webinarconsent"
"msevtmgt_webinarproviders","msevtmgt_WebinarProvider"
"msevtmgt_webinartypes","msevtmgt_WebinarType"
"msevtmgt_websiteentityconfigurations","msevtmgt_websiteentityconfiguration"
"msfp_emailtemplates","msfp_emailtemplate"
"msfp_questionresponses","msfp_questionresponse"
"msfp_questions","msfp_question"
"msfp_surveies","msfp_survey"
"msfp_surveyinvites","msfp_surveyinvite"
"msfp_surveyresponses","msfp_surveyresponse"
"msfp_unsubscribedrecipients","msfp_unsubscribedrecipient"
"msgdpr_gdprconfigurations","msgdpr_gdprconfiguration"
"msgdpr_gdprconsentchangerecords","msgdpr_gdprconsentchangerecord"
"new_admin_settings_entities","adminsettingsentity"
"new_communication_detailses","new_communication_details"
"unicorn_unicornsongs","unicorn_unicornsong"
