Director Name
"Alfred Hitchcock"
"Stanley Kubrick"
"Ken Annakin"
"Clyde Geronimi"
"Robert Mulligan"
"Joseph L. Mankiewicz"
"Stanley Kramer"
"Wolfgang Reitherman"
"Robert Stevenson"
"George Cukor"
"Michael Roemer"
"Mike Nichols"
"Ted Post"
"Peter Yates"
"William Wyler"
"George A. Romero"
"Gene Saks"
"Franklin J. Schaffner"
"Gene Kelly"
"Joshua Logan"
"Arthur Penn"
"Arthur Hiller"
"George Lucas"
"Don Siegel"
"Don Taylor"
"Peter Bogdanovich"
"Clint Eastwood"
"Richard C. Sarafian"
"J. Lee Thompson"
"George Roy Hill"
"Robin Hardy"
"Martin Scorsese"
"Joe Camp"
"Francis Ford Coppola"
"Mark Robson"
"Jack Clayton"
"Robert Aldrich"
"Blake Edwards"
"Steven Spielberg"
"Tobe Hooper"
"Michael Cimino"
"John Guillermin"
"Sidney Lumet"
"Woody Allen"
"Robert Altman"
"Milos Forman"
"Jim Sharman"
"Hal Ashby"
"Ken Russell"
"Brian De Palma"
"James Fargo"
"John G. Avildsen"
"Mel Brooks"
"Frank Pierson"
"Charles Burnett"
"Don Chaffey"
"John Lounsbery"
"Robert M. Young"
"Hal Needham"
"Paul Schrader"
"Steve Rash"
"Sam Peckinpah"
"Burt Reynolds"
"Irvin Kershner"
"Colin Higgins"
"Randal Kleiser"
"John Carpenter"
"Robert Zemeckis"
"Jeannot Szwarc"
"Michael Schultz"
"Richard Donner"
"Ridley Scott"
"Stuart Rosenberg"
"Vincent McEveety"
"Gary Nelson"
"James Bridges"
"Michael Crichton"
"Robert Benton"
"Richard Marquand"
"George Miller"
"Harold Becker"
"Don Coscarelli"
"John Frankenheimer"
"Mark Rydell"
"Roman Polanski"
"Walter Hill"
"Fred Walton"
"Jim Abrahams"
"Buddy Van Horn"
"John Landis"
"Harold Ramis"
"Robert Kaylor"
"William Friedkin"
"Mike Hodges"
"Sean S. Cunningham"
"Otto Preminger"
"Buzz Kulik"
"Kevin Connor"
"Eric Karson"
"Robert Redford"
"Howard Zieff"
"Richard Rush"
"Terry Gilliam"
"Robert Greenwald"
"Steve Gordon"
"Oz Scott"
"Desmond Davis"
"John Milius"
"Ivan Passer"
"Wes Craven"
"Michael Winner"
"Matthew Robbins"
"Sidney J. Furie"
"John Boorman"
"Graham Baker"
"Ted Berman"
"Steve Miner"
"Rick Rosenthal"
"Gerald Potterton"
"Noel Nosseck"
"Ken Shapiro"
"Frank Perry"
"Peter Hyams"
"Herbert Ross"
"Alan Myerson"
"Noel Marshall"
"Alan J. Pakula"
"John Derek"
"Michael Mann"
"Michael Wadleigh"
"Ken Finkleman"
"Damiano Damiani"
"John Huston"
"David S. Ward"
"Jim Henson"
"Carl Reiner"
"Barry Levinson"
"Sam Raimi"
"Amy Heckerling"
"Ted Kotcheff"
"Richard Attenborough"
"Patricia Birch"
"Robert Towne"
"Alan Parker"
"Bob Clark"
"Sylvester Stallone"
"Don Bluth"
"Michael Miller"
"Nicholas Meyer"
"Sydney Pollack"
"Steven Lisberger"
"Michael Chapman"
"Richard Fleischer"
"Lawrence Kasdan"
"John Badham"
"Douglas Trumbull"
"Lewis Teague"
"Joel Schumacher"
"Ralph Bakshi"
"Adrian Lyne"
"Michael Apted"
"Tommy Lee Wallace"
"Joe Alves"
"Curtis Hanson"
"Joseph Sargent"
"George P. Cosmatos"
"Noel Black"
"Richard Franklin"
"Sam Firstenberg"
"Rafal Zielinski"
"Rick Moranis"
"James L. Brooks"
"Martha Coolidge"
"David Cronenberg"
"Taylor Hackford"
"Stan Lathan"
"Willard Huyck"
"Martin Brest"
"Roger Donaldson"
"Douglas Cheek"
"Fritz Kiersch"
"Richard Benjamin"
"David Lynch"
"John Schlesinger"
"Ulu Grosbard"
"Mark L. Lester"
"William Tannen"
"Joseph Zito"
"Ivan Reitman"
"Tony Richardson"
"Stewart Raffill"
"Charles Shyer"
"Nick Castle"
"Thom Eberhardt"
"Hugh Wilson"
"Albert Magnoli"
"John Byrum"
"Jeff Kanew"
"Charles E. Sellier Jr."
"John Hughes"
"Norman Jewison"
"Jonathan Demme"
"Rob Reiner"
"Wolfgang Petersen"
"Franc Roddam"
"Ron Howard"
"Andrew Davis"
"Donna Deitch"
"Susan Seidelman"
"Robert Mandel"
"Richard Brooks"
"Michael Ritchie"
"Danny Steinmann"
"Tom Holland"
"Stan Dragoti"
"Phillip Borsos"
"Jack Sholder"
"Howard Storm"
"Jerry Paris"
"James Komack"
"Dan O'Bannon"
"Walter Murch"
"Hugh Hudson"
"Andrey Konchalovskiy"
"Daniel Attias"
"Joyce Chopra"
"Rudy De Luca"
"Bud Yorkin"
"Kevin Tenney"
"Peter Faiman"
"Edward Zwick"
"James Cameron"
"James Foley"
"Alan Metter"
"Paul Michael Glaser"
"Roger Spottiswoode"
"Bob Rafelson"
"Michelle Manning"
"Stephen Herek"
"Paul Mazursky"
"Tom McLoughlin"
"Russell Mulcahy"
"David Anspaugh"
"Renny Harlin"
"Frank Oz"
"David Seltzer"
"Marshall Brickman"
"Stephen King"
"Fred Dekker"
"Brian Gibson"
"Howard Deutch"
"John Irvin"
"Tim Hunter"
"Jim Goddard"
"Spike Lee"
"Alex Cox"
"Alan Johnson"
"Harry Winer"
"Tony Scott"
"John Carl Buechler"
"Mike Marvin"
"Chris Columbus"
"Barbet Schroeder"
"Newt Arnold"
"Michael Gornick"
"Emile Ardolino"
"Tom Mankiewicz"
"John R. Cherry III"
"John Mackenzie"
"William Dear"
"Clive Barker"
"Bob Giraldi"
"Robert Townsend"
"Joe Dante"
"Hector Babenco"
"Elaine May"
"Michael Gottlieb"
"Gary Goddard"
"Kathryn Bigelow"
"Chuck Russell"
"Peter Werner"
"Menahem Golan"
"James Toback"
"Christopher Cain"
"Joel Coen"
"Paul Verhoeven"
"Fred Schepisi"
"Wayne Wang"
"Lance Hool"
"Jerry Schatzberg"
"Christopher Leitch"
"Leonard Nimoy"
"Phil Joanou"
"Danny DeVito"
"Oliver Stone"
"Jonathan Kaplan"
"Craig R. Baxley"
"Garry Marshall"
"Tim Burton"
"Ron Shelton"
"Allan Arkush"
"Daniel Petrie"
"Mick Garris"
"Stephen Frears"
"John Sayles"
"James Signorelli"
"John Waters"
"Dwight H. Little"
"Tony Randel"
"Neil Jordan"
"Keenen Ivory Wayans"
"Bud S. Smith"
"Greg Beeman"
"William Lustig"
"Donald Petrie"
"David Zucker"
"George Scribner"
"Gary Sherman"
"Stan Winston"
"Ken Wiederhorn"
"Philip Kaufman"
"Robert Radler"
"Christopher Guest"
"Albert Pyun"
"Phillip Noyce"
"Gus Van Sant"
"Julien Temple"
"Steve Kloves"
"Rob Hedden"
"Graeme Clifford"
"Dominique Othenin-Girard"
"Eddie Murphy"
"Michael Lehmann"
"Joe Johnston"
"Rod Daniel"
"Mark DiSalle"
"John Dahl"
"Joe Pytka"
"John Flynn"
"Jeremiah S. Chechik"
"Stephen Hopkins"
"Thomas J. Wright"
"Bob Balaban"
"Mary Lambert"
"Peter Bonerz"
"Jim Wynorski"
"Zelda Barron"
"Francis Veber"
"Jay Levey"
"Steven Soderbergh"
"Penny Marshall"
"John Lafia"
"Deran Sarafian"
"Warren Beatty"
"Robert Resnikoff"
"Jerry Zucker"
"Ralph S. Singleton"
"Bruce Malmuth"
"John McNaughton"
"Dennis Hopper"
"Reginald Hudlin"
"John Patrick Shanley"
"Abel Ferrara"
"Jeff Burr"
"Whit Stillman"
"Tom Savini"
"Dennis Dugan"
"Howard Franklin"
"Hendel Butoy"
"John Harrison"
"Ron Underwood"
"Dario Argento"
"Jack Nicholson"
"Geoff Murphy"
"John Singleton"
"Kenneth Branagh"
"Sheldon Lettich"
"Ate de Jong"
"Rachel Talalay"
"Jon Avnet"
"James Dearden"
"Mario Van Peebles"
"Dan Aykroyd"
"Todd Haynes"
"Barbra Streisand"
"William A. Graham"
"Richard Linklater"
"Joseph Ruben"
"Michael Hoffman"
"Michael Pressman"
"Hal Hartley"
"Jon Turteltaub"
"Ron Clements"
"David Fincher"
"Edward James Olmos"
"Mick Jackson"
"Fran Rubel Kuzui"
"Bernard Rose"
"Jack Bender"
"Jonathan Lynn"
"Les Mayfield"
"Bill Kroyer"
"Tamra Davis"
"Anthony Hickox"
"Tom DiCillo"
"Ernest R. Dickerson"
"Brett Leonard"
"Gregg Araki"
"Brian Henson"
"Kenny Ortega"
"Irwin Winkler"
"Katt Shea"
"Quentin Tarantino"
"Stephen Milburn Anderson"
"Roland Emmerich"
"Carroll Ballard"
"Barry Sonnenfeld"
"Penelope Spheeris"
"Uli Edel"
"Steve Barron"
"Alan Shapiro"
"Marco Brambilla"
"Robert Lieberman"
"Simon Wincer"
"Jim Sheridan"
"Adam Marcus"
"Dominic Sena"
"John McTiernan"
"Mark Jones"
"Albert Hughes"
"Henry Selick"
"Daniel Stern"
"Steven Zaillian"
"Agnieszka Holland"
"Bill Duke"
"Nora Ephron"
"Stuart Gillard"
"Lasse HallstrÃ¶m"
"Charles T. Kanganis"
"Tom Shadyac"
"Paul Weiland"
"Kevin Smith"
"Alex Proyas"
"Brian Levant"
"Andrew Morahan"
"Stephen Sommers"
"Glenn Gordon Caron"
"Nicholas Hytner"
"Alan Rudolph"
"P.J. Hogan"
"Michael Almereyda"
"Peter Segal"
"Hart Bochner"
"Ben Stiller"
"Kim Henkel"
"Danny Boyle"
"Frank Darabont"
"David O. Russell"
"Jan de Bont"
"Steve Oedekerk"
"Chris Noonan"
"Michael Bay"
"Scott Kalvert"
"Paul Auster"
"Betty Thomas"
"Brad Silberling"
"Jon Amiel"
"Sean Penn"
"John N. Smith"
"Tim Robbins"
"Carl Franklin"
"F. Gary Gray"
"Joe Chappelle"
"Jodie Foster"
"Larry Clark"
"Bryan Spicer"
"Paul W.S. Anderson"
"Daisy von Scherler Mayer"
"Gregory Widen"
"Michael Caton-Jones"
"George Huang"
"Gary Fleder"
"John Lasseter"
"Alfonso Arau"
"Kevin Reynolds"
"Todd Solondz"
"David Twohy"
"Jason Bloom"
"John Woo"
"Bill CouturiÃ©"
"Douglas McGrath"
"Matthew Bright"
"Peter Jackson"
"Kevin Yagher"
"Bobby Farrelly"
"Farhad Mann"
"Emma-Kate Croghan"
"Jerry Zaks"
"Baz Luhrmann"
"Christopher Hampton"
"Billy Bob Thornton"
"Jonathan Frakes"
"Andrew Bergman"
"James Ivory"
"Doug Liman"
"Tom Hanks"
"Steve Buscemi"
"David Koepp"
"Arlene Sanford"
"Nicole Holofcener"
"Cheryl Dunye"
"Alan Cohn"
"Jean-Pierre Jeunet"
"Vondie Curtis-Hall"
"Luis Llosa"
"Robert Duvall"
"Jay Roach"
"Mel Smith"
"Jonathan Darby"
"Paul Thomas Anderson"
"Jonathan Mostow"
"Vincent Gallo"
"David Dobkin"
"James Mangold"
"Kasi Lemmons"
"FÃ©lix EnrÃ­quez AlcalÃ¡"
"Peter Cattaneo"
"Brian Robbins"
"George Armitage"
"Harmony Korine"
"Dean Parisot"
"Forest Whitaker"
"Mark Waters"
"Jim Gillespie"
"Ang Lee"
"John Pasquin"
"Tony Vitale"
"Andy Cadiff"
"Neil LaBute"
"Costa-Gavras"
"John R. Leonetti"
"Gore Verbinski"
"Stanley Tong"
"Bart Freundlich"
"Brad Anderson"
"Mark Pavia"
"Ted Demme"
"Kevin Costner"
"Steve James"
"Peter Howitt"
"George Tillman Jr."
"David Mamet"
"Mark A.Z. DippÃ©"
"Bob Spiers"
"Peter O'Fallon"
"Guy Ferland"
"Chris Eyre"
"Peter Weir"
"Shuki Levy"
"Victor Nunez"
"Stephen Kessler"
"Bryan Johnson"
"Frank Coraci"
"Mark Christopher"
"Tony Kaye"
"Eric Darnell"
"Steve Gomer"
"Spike Jonze"
"Kirk Wong"
"Tony Goldwyn"
"Peter Lord"
"Andy Tennant"
"Mimi Leder"
"Stephan Elliott"
"Tim Story"
"Mikael Salomon"
"Kevin Rodney Sullivan"
"Peter Kassovitz"
"Richard LaGravenese"
"Hark Tsui"
"Martin Campbell"
"Wim Wenders"
"Scott Silver"
"John Fortenberry"
"Don Roos"
"Brian Helgeland"
"Gary Ross"
"Griffin Dunne"
"Tamara Jenkins"
"Jeff Pollack"
"Chris Buck"
"Stuart Baird"
"Vincent Ward"
"Bryan Singer"
"James Algar"
"Mark Dindal"
