Customer Code,Invoice Date,Invoice No,Due Date
"TRD00250",2015-01-04 00:00:00.000,"IN000001",2015-01-04 00:00:00.000
"TRD00250",2015-01-04 00:00:00.000,"CR000001",2015-01-04 00:00:00.000
"TRD00251",2015-01-04 00:00:00.000,"IN000002",2015-01-04 00:00:00.000
"TRD00251",2015-01-04 00:00:00.000,"CR000002",2015-01-04 00:00:00.000
"TRD00252",2015-01-04 00:00:00.000,"IN000003",2015-01-04 00:00:00.000
"TRD00253",2015-01-04 00:00:00.000,"IN000004",2015-01-04 00:00:00.000
"TRD00251",2015-01-04 00:00:00.000,"IN000005",2015-01-04 00:00:00.000
"TRD00251",2015-01-04 00:00:00.000,"CR000003",2015-01-04 00:00:00.000
"TRD00261",2015-01-04 00:00:00.000,"IN000006",2015-04-04 00:00:00.000
"TRD00261",2015-01-04 00:00:00.000,"CR000004",2015-01-04 00:00:00.000
"TRD00261",2015-01-04 00:00:00.000,"IN000007",2015-01-04 00:00:00.000
"TRD00261",2015-01-04 00:00:00.000,"IN000008",2015-01-04 00:00:00.000
"TRD00261",2015-01-04 00:00:00.000,"CR000005",2015-01-04 00:00:00.000
