Medal Ceremony?,Sport Group,Events Split,UK Date Time,Sport,Venue,US Date Time,US Date Time - Date,Medal?
False,Water Polo,Men's Preliminary Round - Group B: Kazakhstan vs Serbia,2021-07-27 06:00:00.000,Water Polo,Tatsumi Water Polo Centre,2021-07-27 00:00:00.000,2021-07-27 00:00:00.000,
False,Water Polo,Men's Classification match (5th-8th places),2021-08-06 10:20:00.000,Water Polo,Tatsumi Water Polo Centre,2021-08-06 04:20:00.000,2021-08-06 00:00:00.000,
False,Sailing,Finn Men,2021-07-31 04:00:00.000,Sailing,Enoshima Yacht Harbour,2021-07-30 22:00:00.000,2021-07-30 00:00:00.000,
False,Swimming,Men's 200m Breaststroke Semifinals,2021-07-28 02:30:00.000,Swimming,Tokyo Aquatics Centre,2021-07-27 20:30:00.000,2021-07-27 00:00:00.000,
False,Swimming,Women's 4 x 100m Medley Relay Final,2021-08-01 02:30:00.000,Swimming,Tokyo Aquatics Centre,2021-07-31 20:30:00.000,2021-07-31 00:00:00.000,
False,Swimming,Women's 1500m Freestyle - Heats,2021-07-26 11:00:00.000,Swimming,Tokyo Aquatics Centre,2021-07-26 05:00:00.000,2021-07-26 00:00:00.000,
False,Hockey,Women's Pool A: Ireland vs India,2021-07-30 01:30:00.000,Hockey,Oi Hockey Stadium,2021-07-29 19:30:00.000,2021-07-29 00:00:00.000,
True,Tennis,Men's Singles Gold Medal Match,2021-07-30 12:00:00.000,Table Tennis,Tokyo Metropolitan Gymnasium,2021-07-30 06:00:00.000,2021-07-30 00:00:00.000,🏅
False,Water Polo,Women's classification match (5th-6th places),2021-08-07 01:30:00.000,Water Polo,Tatsumi Water Polo Centre,2021-08-06 19:30:00.000,2021-08-06 00:00:00.000,
False,Sailing,49er FX Women,2021-07-30 04:00:00.000,Sailing,Enoshima Yacht Harbour,2021-07-29 22:00:00.000,2021-07-29 00:00:00.000,
False,Athletics,Women's 4 x 100m Relay Final,2021-08-06 11:50:00.000,Athletics,Olympic Stadium,2021-08-06 05:50:00.000,2021-08-06 00:00:00.000,
False,Sailing,470 Men,2021-07-28 04:00:00.000,Sailing,Enoshima Yacht Harbour,2021-07-27 22:00:00.000,2021-07-27 00:00:00.000,
False,Fencing,Women's Epée Individual Quarterfinals,2021-07-24 01:00:00.000,Fencing,Makuhari Messe Hall,2021-07-23 19:00:00.000,2021-07-23 00:00:00.000,
False,Boxing,Women's Fly (48-51kg) Quarterfinals,2021-08-01 09:00:00.000,Boxing,Kokugikan Arena,2021-08-01 03:00:00.000,2021-08-01 00:00:00.000,
False,Boxing,Women's Feather (54-57kg) - Preliminaries - Round of 32,2021-07-24 03:00:00.000,Boxing,Kokugikan Arena,2021-07-23 21:00:00.000,2021-07-23 00:00:00.000,
False,Boxing,Men's Super Heavy (+91kg) - Preliminaries - Round of 16,2021-07-29 09:00:00.000,Boxing,Kokugikan Arena,2021-07-29 03:00:00.000,2021-07-29 00:00:00.000,
False,Hockey,Men's Pool B: Netherlands vs Belgium,2021-07-24 01:30:00.000,Hockey,Oi Hockey Stadium,2021-07-23 19:30:00.000,2021-07-23 00:00:00.000,
