Year,Rank,IndexTypeId,DimLocation.LocationId,Value,IndexGroup
2016,74,3,52,73.67,60.0
2015,141,7,91,50.7,40.0
2017,47,8,2,37.27,
2019,17,8,10,34.82,
2019,150,4,154,63.13,60.0
2014,45,8,44,62.51,60.0
2014,56,1,55,83.83,80.0
2019,203,7,81,47.76,40.0
2018,84,2,122,116.06,100.0
2015,21,2,18,113.38,100.0
2020,148,1,226,129.75,100.0
2016,37,5,113,43.58,40.0
2021,10,3,22,64.76,60.0
2020,72,7,27,49.72,40.0
2014,20,6,19,7.96,
2016,141,1,146,41.1,40.0
2018,32,8,194,35.48,
2019,127,8,52,55.62,40.0
2016,19,8,151,25.22,
2021,9,1,96,188.46,140.0
2021,182,1,49,117.83,100.0
2018,53,5,125,72.39,60.0
2014,9,4,8,79.35,60.0
2015,39,4,16,60.98,60.0
2015,49,3,114,86.85,80.0
2018,102,4,52,61.35,60.0
2017,76,8,179,37.75,
2020,165,9,79,75.61,60.0
2020,65,2,179,102.08,100.0
2020,102,3,50,69.76,60.0
2017,125,4,140,51.67,40.0
2018,148,7,80,46.88,40.0
2019,96,6,216,8.19,
2018,38,3,23,61.76,60.0
2014,81,8,80,71.01,60.0
2017,73,4,9,76.06,60.0
2019,154,8,57,76.88,60.0
2019,107,1,131,153.09,140.0
2021,72,5,213,79.69,60.0
2017,86,4,49,67.22,60.0
2020,158,2,65,45.16,40.0
2020,187,8,86,62.63,60.0
2020,133,8,225,61.36,60.0
2021,198,4,136,45.77,40.0
2021,144,7,35,43.13,40.0
2019,83,9,215,69.92,60.0
2019,106,3,45,78.84,60.0
2017,145,5,58,79.96,60.0
2014,76,1,75,46.89,40.0
2014,36,5,35,100.0,100.0
2017,123,1,76,125.52,100.0
2019,219,6,145,32.32,
2014,88,5,87,68.53,60.0
2019,135,6,56,13.81,
2020,90,5,181,89.7,80.0
2015,53,3,32,40.8,40.0
2016,65,8,47,37.61,
2017,149,3,86,57.72,40.0
2020,117,2,127,59.55,40.0
2017,125,7,140,28.89,
2020,6,6,200,3.35,
2016,106,6,160,13.92,
2016,28,9,30,90.42,80.0
2018,58,7,110,46.51,40.0
2021,126,5,41,79.05,60.0
2016,108,5,136,40.51,40.0
2021,211,3,187,69.62,60.0
2018,102,3,52,66.55,60.0
2018,137,6,185,7.57,
2015,86,8,42,42.34,40.0
2021,123,4,219,74.16,60.0
2020,130,5,56,58.73,40.0
2021,229,8,85,93.58,80.0
2014,17,8,16,54.74,40.0
2018,17,1,170,191.3,140.0
2018,66,4,24,67.61,60.0
2015,122,2,75,42.45,40.0
2021,116,4,178,55.81,40.0
2014,12,5,11,104.28,100.0
2016,92,7,54,48.92,40.0
2019,218,1,150,72.64,60.0
2016,8,6,103,5.65,
2020,170,6,43,9.65,
2020,111,4,156,69.09,60.0
2020,149,8,198,52.94,40.0
2015,93,3,65,58.74,40.0
2014,34,4,33,74.54,60.0
2018,101,4,111,64.26,60.0
2017,17,9,97,68.47,60.0
2021,183,3,228,44.65,40.0
2021,26,3,202,85.24,80.0
2017,110,6,137,10.42,
2021,210,8,86,62.3,60.0
2021,188,4,59,66.29,60.0
2021,246,3,87,22.48,
2021,224,8,78,78.0,60.0
2018,12,3,98,82.55,80.0
2016,137,9,87,52.45,40.0
2015,83,2,43,65.96,60.0
2018,152,8,191,67.94,60.0
