Customer ID,Product ID,Year,Month,Year Qtr,Budget,Quarter
1617,259,2010,8,2010 Q3,110880.0,3
1455,267,2013,10,2013 Q4,48854.81249999999,4
1052,124,2013,9,2013 Q3,25863.750000000004,3
1917,276,2012,9,2012 Q3,25587.9,3
1259,148,2013,11,2013 Q4,42905.3625,4
1432,252,2011,2,2011 Q1,20733.9,1
1551,254,2012,2,2012 Q1,3054.675,1
1587,113,2013,1,2013 Q1,56448.0,1
1838,166,2010,9,2010 Q3,82871.25,3
1054,159,2010,1,2010 Q1,29391.0,1
1682,228,2011,3,2011 Q1,22273.75,1
1586,299,2010,9,2010 Q3,6696.0,3
1790,108,2013,1,2013 Q1,6025.8,1
1569,246,2013,1,2013 Q1,12103.781250000002,1
1054,254,2011,8,2011 Q3,46482.32727272727,3
1281,197,2011,4,2011 Q2,12204.31404958678,2
1735,106,2011,11,2011 Q4,11568.0,4
1226,220,2011,6,2011 Q2,11436.75,2
1259,113,2010,7,2010 Q3,2618.181818181818,3
1251,157,2010,12,2010 Q4,29430.625,4
1235,206,2012,6,2012 Q2,31183.854545454546,2
1183,184,2012,2,2012 Q1,111750.0,1
1187,183,2011,3,2011 Q1,28576.36363636364,1
1038,114,2012,1,2012 Q1,24309.0,1
1038,235,2011,10,2011 Q4,21835.555555555555,4
1815,225,2011,1,2011 Q1,24203.259259259255,1
1463,251,2010,5,2010 Q2,14040.0,2
1614,227,2010,4,2010 Q2,15828.75,2
1801,110,2012,7,2012 Q3,33896.2962962963,3
1886,214,2013,8,2013 Q3,47092.50000000001,3
1864,187,2013,10,2013 Q4,38437.50000000001,4
1465,183,2011,5,2011 Q2,27244.84848484848,2
1575,206,2012,1,2012 Q1,41864.72727272727,1
1386,124,2010,11,2010 Q4,6831.0,4
1682,280,2012,5,2012 Q2,91847.12727272727,2
1584,157,2012,5,2012 Q2,61361.813333333324,2
1735,276,2010,11,2010 Q4,2887.5,4
1955,276,2013,12,2013 Q4,65541.66666666669,4
1166,285,2011,5,2011 Q2,21820.90909090909,2
1917,284,2012,9,2012 Q3,15024.750000000004,3
1947,214,2012,10,2012 Q4,16065.0,4
1612,148,2010,3,2010 Q1,42192.22222222223,1
1441,217,2010,6,2010 Q2,8217.6,2
1682,184,2011,4,2011 Q2,29441.045454545456,2
1790,281,2010,8,2010 Q3,20016.0,3
1551,173,2010,1,2010 Q1,20032.0,1
1628,108,2013,10,2013 Q4,1617.0,4
1395,149,2013,7,2013 Q3,15471.313131313133,3
1137,288,2013,10,2013 Q4,17528.72727272727,4
1600,140,2013,2,2013 Q1,11365.772727272726,1
1750,217,2012,6,2012 Q2,44843.7,2
1432,148,2010,8,2010 Q3,8839.2,3
1478,184,2012,4,2012 Q2,28496.25,2
1125,261,2011,2,2011 Q1,65329.19999999998,1
1677,110,2012,2,2012 Q1,14597.916666666668,1
1432,250,2013,9,2013 Q3,12872.727272727272,3
1838,215,2013,4,2013 Q2,5972.247272727273,2
1191,139,2013,8,2013 Q3,1533.0,3
1130,180,2010,6,2010 Q2,11025.0,2
1125,180,2012,1,2012 Q1,55370.0,1
1184,113,2013,8,2013 Q3,28681.30909090909,3
1235,225,2013,3,2013 Q1,7022.2222222222235,1
1958,276,2012,7,2012 Q3,27750.9375,3
1235,122,2012,9,2012 Q3,118171.17,3
1995,246,2010,4,2010 Q2,769.5,2
1575,173,2013,11,2013 Q4,26005.73002754821,4
1801,118,2013,7,2013 Q3,44063.25,3
1612,157,2013,4,2013 Q2,71037.12,2
1138,108,2011,11,2011 Q4,14666.666666666666,4
1126,117,2011,8,2011 Q3,142765.3333333333,3
1226,284,2013,5,2013 Q2,27906.66666666667,2
1591,146,2011,1,2011 Q1,39071.66666666666,1
1973,215,2011,11,2011 Q4,19740.0,4
1629,230,2012,12,2012 Q4,60732.0,4
1801,108,2012,9,2012 Q3,7458.0,3
1392,235,2013,8,2013 Q3,14558.181818181816,3
1251,267,2011,6,2011 Q2,74550.66666666666,2
1979,172,2013,6,2013 Q2,33265.227272727265,2
1158,274,2011,3,2011 Q1,64783.72727272728,1
1917,197,2010,3,2010 Q1,7068.6,1
1190,113,2012,12,2012 Q4,36295.11111111112,4
1677,146,2010,9,2010 Q3,29802.888888888887,3
1682,170,2012,7,2012 Q3,43485.0,3
1176,299,2013,10,2013 Q4,84539.58333333334,4
1219,285,2011,5,2011 Q2,22669.5,2
1682,281,2012,3,2012 Q1,12222.222222222224,1
1945,203,2011,3,2011 Q1,13214.666666666668,1
1629,100,2012,1,2012 Q1,88026.8429752066,1
1630,225,2010,12,2010 Q4,21725.0,4
1995,288,2010,11,2010 Q4,535.6,4
1137,285,2011,6,2011 Q2,8201.89090909091,2
1584,108,2012,5,2012 Q2,4884.0,2
1587,102,2010,4,2010 Q2,45551.0,2
1887,157,2010,8,2010 Q3,12152.0,3
1235,252,2011,5,2011 Q2,39723.2,2
1715,184,2012,7,2012 Q3,11780.3125,3
1947,148,2010,8,2010 Q3,22606.0,3
1587,117,2010,11,2010 Q4,49821.333333333336,4
1138,166,2011,3,2011 Q1,57750.0,1
1612,169,2012,8,2012 Q3,13598.933333333334,3
