Product ID,Product name,Product category code,Product category
100,"Kaye",8,"Toys"
101,"Malachi",3,"Electronics"
102,"Sonia",9,"Gifts"
103,"Anthony",5,"Music and entertainment"
104,"Aphrodite",4,"Home wears"
105,"Marvin",1,"Shoes"
106,"Adria",5,"Music and entertainment"
107,"Dahlia",6,"Jewellery"
108,"Sawyer",7,"Men's wear"
110,"Leroy",8,"Toys"
113,"Fiona",1,"Shoes"
114,"Isabella",4,"Home wears"
117,"Desirae",4,"Home wears"
118,"Lawrence",10,"Women's wear"
119,"Talon",4,"Home wears"
122,"Deborah",7,"Men's wear"
124,"Quemby",2,"Cosmetics"
125,"Ahmed",5,"Music and entertainment"
126,"Amena",3,"Electronics"
131,"Donna",4,"Home wears"
133,"Mara",8,"Toys"
138,"Jana",2,"Cosmetics"
139,"Kieran",4,"Home wears"
140,"Leandra",10,"Women's wear"
141,"Nita",8,"Toys"
142,"Indira",2,"Cosmetics"
143,"MacKenzie",10,"Women's wear"
145,"Elijah",9,"Gifts"
146,"Aphrodite",1,"Shoes"
148,"Leilani",5,"Music and entertainment"
149,"Chava",7,"Men's wear"
155,"Dorothy",2,"Cosmetics"
157,"Oscar",3,"Electronics"
158,"TaShya",5,"Music and entertainment"
159,"Brianna",10,"Women's wear"
165,"Joseph",5,"Music and entertainment"
166,"Dacey",9,"Gifts"
167,"Alisa",5,"Music and entertainment"
169,"Keefe",3,"Electronics"
170,"Winifred",9,"Gifts"
172,"Lucian",6,"Jewellery"
173,"Breanna",8,"Toys"
179,"Illana",1,"Shoes"
180,"Paloma",9,"Gifts"
181,"Azalia",6,"Jewellery"
183,"Justin",6,"Jewellery"
184,"Moses",1,"Shoes"
186,"Lane",4,"Home wears"
187,"Deanna",4,"Home wears"
189,"Conan",1,"Shoes"
191,"Chelsea",5,"Music and entertainment"
193,"Steven",4,"Home wears"
196,"Tanya",6,"Jewellery"
197,"Fleur",4,"Home wears"
203,"Brian",7,"Men's wear"
204,"Britanney",5,"Music and entertainment"
206,"Dante",6,"Jewellery"
207,"Shafira",3,"Electronics"
210,"Chanda",5,"Music and entertainment"
214,"Thomas",3,"Electronics"
215,"Victoria",7,"Men's wear"
216,"Thane",2,"Cosmetics"
217,"Reece",10,"Women's wear"
218,"Noel",5,"Music and entertainment"
220,"Jena",8,"Toys"
222,"Noel",4,"Home wears"
223,"Sophia",1,"Shoes"
225,"Emily",4,"Home wears"
227,"Allen",2,"Cosmetics"
228,"Carlos",1,"Shoes"
230,"Hop",10,"Women's wear"
235,"Daquan",5,"Music and entertainment"
239,"Shannon",8,"Toys"
243,"Briar",2,"Cosmetics"
245,"Melvin",6,"Jewellery"
246,"Omar",7,"Men's wear"
250,"Riley",7,"Men's wear"
251,"Leslie",3,"Electronics"
252,"Jescie",5,"Music and entertainment"
253,"Nell",5,"Music and entertainment"
254,"Lavinia",7,"Men's wear"
255,"Abbot",6,"Jewellery"
259,"Caleb",1,"Shoes"
260,"Kathleen",1,"Shoes"
261,"Dante",5,"Music and entertainment"
267,"Kareem",2,"Cosmetics"
268,"Felix",10,"Women's wear"
271,"Adam",2,"Cosmetics"
274,"Francis",2,"Cosmetics"
276,"Wing",3,"Electronics"
280,"Ezekiel",4,"Home wears"
281,"Theodore",9,"Gifts"
283,"Sandra",10,"Women's wear"
284,"Amanda",5,"Music and entertainment"
285,"Charde",8,"Toys"
286,"Denton",5,"Music and entertainment"
288,"Naomi",10,"Women's wear"
292,"Elmo",1,"Shoes"
296,"Alec",2,"Cosmetics"
299,"Oprah",2,"Cosmetics"
