id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
46,229,8635,2010-02-22 00:00:00.000,50,"Balanced",35,"Little",35,"Mixed","Organised",70,"Risky",50,"Normal",60,"Normal","Organised",70,"High",50,"Press",70,"Wide","Cover"
47,229,8635,2011-02-22 00:00:00.000,50,"Balanced",42,"Normal",52,"Mixed","Free Form",70,"Risky",50,"Normal",60,"Normal","Organised",70,"High",50,"Press",70,"Wide","Offside Trap"
48,229,8635,2012-02-22 00:00:00.000,52,"Balanced",60,"Lots",41,"Mixed","Organised",53,"Normal",57,"Normal",47,"Normal","Organised",45,"Medium",43,"Press",52,"Normal","Cover"
49,229,8635,2013-09-20 00:00:00.000,52,"Balanced",54,"Normal",41,"Mixed","Organised",68,"Risky",67,"Lots",47,"Normal","Organised",60,"Medium",43,"Press",65,"Normal","Cover"
50,229,8635,2014-09-19 00:00:00.000,52,"Balanced",46,"Normal",51,"Mixed","Organised",60,"Normal",53,"Normal",47,"Normal","Organised",60,"Medium",50,"Press",65,"Normal","Cover"
51,229,8635,2015-09-10 00:00:00.000,52,"Balanced",46,"Normal",51,"Mixed","Organised",60,"Normal",53,"Normal",47,"Normal","Organised",53,"Medium",50,"Press",61,"Normal","Cover"
143,21,9823,2010-02-22 00:00:00.000,65,"Balanced",34,"Little",40,"Mixed","Free Form",65,"Normal",70,"Lots",70,"Lots","Free Form",70,"High",40,"Press",65,"Normal","Cover"
144,21,9823,2011-02-22 00:00:00.000,42,"Balanced",37,"Little",40,"Mixed","Organised",34,"Normal",30,"Little",72,"Lots","Free Form",39,"Medium",52,"Press",65,"Normal","Cover"
145,21,9823,2012-02-22 00:00:00.000,47,"Balanced",48,"Little",40,"Mixed","Organised",34,"Normal",31,"Little",55,"Normal","Organised",49,"Medium",35,"Press",50,"Normal","Cover"
146,21,9823,2013-09-20 00:00:00.000,56,"Balanced",38,"Little",41,"Mixed","Organised",40,"Normal",44,"Normal",39,"Normal","Organised",52,"Medium",54,"Press",52,"Normal","Cover"
147,21,9823,2014-09-19 00:00:00.000,37,"Balanced",34,"Normal",22,"Short","Free Form",21,"Safe",38,"Normal",40,"Normal","Free Form",61,"Medium",59,"Press",40,"Normal","Cover"
148,21,9823,2015-09-10 00:00:00.000,45,"Balanced",24,"Little",28,"Short","Free Form",37,"Normal",31,"Little",22,"Little","Free Form",72,"High",53,"Press",59,"Normal","Cover"
289,78,9925,2010-02-22 00:00:00.000,70,"Fast",26,"Little",70,"Long","Organised",65,"Normal",70,"Lots",70,"Lots","Organised",60,"Medium",70,"Double",70,"Wide","Cover"
290,78,9925,2011-02-22 00:00:00.000,54,"Balanced",30,"Little",52,"Mixed","Organised",52,"Normal",67,"Lots",51,"Normal","Organised",46,"Medium",46,"Press",67,"Wide","Cover"
291,78,9925,2012-02-22 00:00:00.000,70,"Fast",47,"Little",58,"Mixed","Organised",54,"Normal",58,"Normal",60,"Normal","Organised",50,"Medium",50,"Press",60,"Normal","Cover"
292,78,9925,2013-09-20 00:00:00.000,50,"Balanced",49,"Little",53,"Mixed","Organised",57,"Normal",58,"Normal",60,"Normal","Free Form",55,"Medium",51,"Press",60,"Normal","Cover"
293,78,9925,2014-09-19 00:00:00.000,70,"Fast",52,"Normal",58,"Mixed","Organised",55,"Normal",61,"Normal",62,"Normal","Organised",51,"Medium",54,"Press",60,"Normal","Cover"
294,78,9925,2015-09-10 00:00:00.000,54,"Balanced",49,"Normal",53,"Mixed","Organised",51,"Normal",51,"Normal",62,"Normal","Organised",58,"Medium",55,"Press",56,"Normal","Cover"
962,73,9847,2010-02-22 00:00:00.000,50,"Balanced",30,"Little",65,"Mixed","Organised",40,"Normal",65,"Normal",55,"Normal","Organised",70,"High",70,"Double",70,"Wide","Offside Trap"
963,73,9847,2011-02-22 00:00:00.000,35,"Balanced",38,"Little",35,"Mixed","Organised",35,"Normal",35,"Normal",50,"Normal","Organised",45,"Medium",55,"Press",65,"Normal","Cover"
964,73,9847,2012-02-22 00:00:00.000,49,"Balanced",47,"Normal",41,"Mixed","Organised",62,"Normal",52,"Normal",60,"Normal","Organised",49,"Medium",46,"Press",52,"Normal","Cover"
965,73,9847,2013-09-20 00:00:00.000,49,"Balanced",68,"Lots",41,"Mixed","Organised",62,"Normal",52,"Normal",60,"Normal","Organised",49,"Medium",46,"Press",52,"Normal","Cover"
966,73,9847,2014-09-19 00:00:00.000,49,"Balanced",70,"Lots",55,"Mixed","Organised",62,"Normal",61,"Normal",68,"Lots","Organised",57,"Medium",53,"Press",56,"Normal","Cover"
967,73,9847,2015-09-10 00:00:00.000,49,"Balanced",47,"Normal",34,"Mixed","Organised",62,"Normal",61,"Normal",35,"Normal","Organised",57,"Medium",53,"Press",56,"Normal","Cover"
