id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,Result
28,"2008/2009",2008-11-16 00:00:00.000,492582,8342,8635,1,1,"Draw"
145,"2008/2009",2009-02-28 00:00:00.000,493016,9996,8635,1,1,"Draw"
226,"2008/2009",2009-05-03 00:00:00.000,493088,4049,8635,1,1,"Draw"
692,"2010/2011",2011-03-12 00:00:00.000,838864,6351,8635,1,1,"Draw"
748,"2010/2011",2010-09-22 00:00:00.000,838564,9989,8635,1,1,"Draw"
844,"2011/2012",2011-12-27 00:00:00.000,1032843,9998,8635,1,1,"Draw"
957,"2011/2012",2011-08-28 00:00:00.000,1032724,8342,8635,1,1,"Draw"
997,"2012/2013",2012-07-28 00:00:00.000,1223976,8571,8635,1,1,"Draw"
1183,"2012/2013",2013-03-16 00:00:00.000,1224217,9991,8635,1,1,"Draw"
1201,"2012/2013",2012-08-25 00:00:00.000,1224019,1773,8635,1,1,"Draw"
1218,"2012/2013",2012-09-15 00:00:00.000,1224036,9989,8635,1,1,"Draw"
1271,"2014/2015",2014-10-18 00:00:00.000,1717903,8203,8635,1,1,"Draw"
1527,"2015/2016",2015-10-29 00:00:00.000,1979926,8571,8635,1,1,"Draw"
1550,"2015/2016",2015-12-23 00:00:00.000,1979949,9994,8635,1,1,"Draw"
1718,"2015/2016",2015-09-20 00:00:00.000,1979885,9986,8635,1,1,"Draw"
4997,"2008/2009",2008-08-23 00:00:00.000,483157,9874,9847,1,1,"Draw"
5134,"2008/2009",2008-10-05 00:00:00.000,483204,8481,9847,1,1,"Draw"
5155,"2009/2010",2009-08-08 00:00:00.000,653883,10249,9847,1,1,"Draw"
5343,"2009/2010",2010-03-06 00:00:00.000,654449,8588,9847,1,1,"Draw"
5389,"2009/2010",2010-04-04 00:00:00.000,654529,8583,9847,1,1,"Draw"
5503,"2009/2010",2009-09-26 00:00:00.000,654004,8689,9847,1,1,"Draw"
5556,"2010/2011",2010-10-31 00:00:00.000,829991,10249,9847,1,1,"Draw"
5573,"2010/2011",2010-11-14 00:00:00.000,830063,8689,9847,1,1,"Draw"
5806,"2010/2011",2011-05-07 00:00:00.000,830483,9829,9847,1,1,"Draw"
5847,"2010/2011",2011-05-29 00:00:00.000,830547,9853,9847,1,1,"Draw"
5950,"2011/2012",2011-11-06 00:00:00.000,1019569,9827,9847,1,1,"Draw"
6024,"2011/2012",2011-08-13 00:00:00.000,1019351,9851,9847,1,1,"Draw"
6159,"2011/2012",2012-04-15 00:00:00.000,1020118,8583,9847,1,1,"Draw"
6328,"2012/2013",2012-11-11 00:00:00.000,1216930,10249,9847,1,1,"Draw"
6675,"2013/2014",2013-08-09 00:00:00.000,1468113,10249,9847,1,1,"Draw"
6816,"2013/2014",2014-01-25 00:00:00.000,1468415,9747,9847,1,1,"Draw"
6833,"2013/2014",2014-02-09 00:00:00.000,1468432,9829,9847,1,1,"Draw"
6949,"2013/2014",2014-04-27 00:00:00.000,1468540,9874,9847,1,1,"Draw"
7121,"2014/2015",2014-12-03 00:00:00.000,1709849,8639,9847,1,1,"Draw"
7213,"2014/2015",2015-02-08 00:00:00.000,1709931,9748,9847,1,1,"Draw"
7387,"2014/2015",2014-09-13 00:00:00.000,1709745,9851,9847,1,1,"Draw"
7418,"2014/2015",2014-09-27 00:00:00.000,1709776,9941,9847,1,1,"Draw"
