storagearraypool_pk,resource_fk,name,identifier,category,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,cache_enabled,num_disks,num_spare_disks,pool_owner,drive_type,technology,raid_type,capacity,used_capacity,free_capacity,spare_capacity,consumable_capacity,percent_free,percent_used,percent_subscribed,raw_capacity,raw_used_capacity,raw_free_capacity,raw_spare_capacity,thin_total_capacity,thin_used_capacity,thin_free_capacity,thin_subscribed_capacity,percent_thin_free,percent_thin_used,thin_savings_ratio,thin_savings,compression_ratio,compression_savings,data_reduction_ratio,data_reduction_savings,total_reduction_ratio,total_reduction_savings,first_added,last_edited,last_changed
"2371","2371","Pool1","pool|Pool1|array|Oraclezfs","{pool}","Pool","2317","Oraclezfs","Array (ZFS)","array|Oraclezfs",,,"","Oraclezfs","","","mirror",34.781,0.012,34.225,5,"",98,2,,70,,,"","","","",0.012,"","",,"",,1.188,100,0,,,2021-02-11 21:04:05.440,2021-11-07 21:02:12.223,2021-11-05 20:02:12.210
"6321","6321","Unity_Pool_01","pool|pool_1|array|CKM00164000536","{pool}","Pool","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536",,,"","","","sas","7",1541,101.25,1439.75,,"",93.43,6.57,,,,,"","","","",326.51,"","",,"",,,,,,,2021-06-15 17:02:08.676,2021-11-01 01:02:12.466,2021-10-01 01:01:34.133
"2338","2338","Extreme","pool|pool_1|array|VIRT2039MB5BCH","{pool}","Pool","2318","","Array (UNITY)","array|VIRT2039MB5BCH",,,"","","","","",46.5,3.764,42.736,,"",91.906,8.094,,,,,"","","","",6.25,"","",,"",,,,,,,2021-02-11 21:04:05.373,2021-11-11 21:03:12.170,2021-07-27 15:01:24.963
"2340","2340","Performance","pool|pool_2|array|VIRT2039MB5BCH","{pool}","Pool","2318","","Array (UNITY)","array|VIRT2039MB5BCH",,,"","","","","",46.5,2.5,44,,"",94.624,5.376,,,,,"","","","",13.25,"","",,"",,,,,,,2021-02-11 21:04:05.380,2021-11-11 21:03:12.180,2021-07-27 15:01:24.976
"2343","2343","Capacity","pool|pool_3|array|VIRT2039MB5BCH","{pool}","Pool","2318","","Array (UNITY)","array|VIRT2039MB5BCH",,,"","","","","",46.5,15.337,31.163,,"",67.018,32.982,,,,,"","","","",139.803,"","",,"",,,,,,,2021-02-11 21:04:05.383,2021-11-11 21:03:12.186,2021-11-03 20:02:12.693
"2281","2281","Pool1","thinPool|117|array|36002","{thinPool}","Thin Pool","6057","Infinidate1","Array (INFI)","array|36002",,,"","","","","",219902,1001,218901,,"",99.545,0.455,,219902,1000,218902,"","","","",,"","",,"",,,,,1,0.01,2021-02-11 21:01:05.340,2021-11-11 20:18:12.166,2021-09-22 19:18:48.650
"2477","2477","all-FC","pool|all-FC|array|2FF70002AC01855E","{pool}","Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","fc","",29484,1936,27548,,"",93.434,6.566,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:04:06.003,2021-11-11 20:16:13.086,2021-07-27 15:01:26.323
"2478","2478","all-NL","pool|all-NL|array|2FF70002AC01855E","{pool}","Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","nl","",21660,1972,19688,,"",90.896,9.104,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:04:06.010,2021-11-11 20:16:13.093,2021-07-27 15:01:26.333
"2479","2479","all-SSD","pool|all-SSD|array|2FF70002AC01855E","{pool}","Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","ssd","",17808,782,17026,,"",95.609,4.391,,,,,"","","","",,"","",,"",,,,,,,2021-02-11 21:04:06.013,2021-11-11 20:16:13.100,2021-07-27 15:01:26.346
"2481","2481","FC_r1","thinPool|FC_r1|array|2FF70002AC01855E","{thinPool}","Thin Pool","2319","Device42_3Par_Sim","Array (HP3PAR)","array|2FF70002AC01855E",,,"","","","","RAID1",0,0,0,,"",0,0,,,,,"","","","",1048580,"","",,"",,,,,,,2021-02-11 21:04:06.026,2021-11-11 20:16:13.110,2021-04-05 19:03:41.106
