d_device_pk,hostname,d_type,d_virtualsubtype,tags,no_tags,service_level,guest_count,total_cpus,cores_per_cpu,cpu_threads,Memory GB,CPU String,CPU Manufacturer,CPU Model,Operating System,Location,Make,Model,Row Color,Recommended Instance,Suggested OS,R-Lane Classification,cpu_95_level,cpu_max_level,mem_95_level,mem_max_level,iops_95_level,iops_max_level,dtotal_95_level,dtotal_max_level,dused_95_level,dused_max_level,sc_activity_level,sc_interface_level,rank_appcomp_level,rank_aff_device_cnt2_level,rank_sc_activity,rank_listener_cnt,sc_activity,listener_cnt,Web Server Count,App Layer Count,DB Count,Total AppComp Count,overall_appcomp_total,tot_appcomp_unq_cnt,app_comp_str,rank_appcomp,cpu_95,cpu_max,mem_95,mem_max,rank_cpu_95,rank_cpu_max,rank_mem_95,rank_mem_max,rank_iops_95,rank_iops_max,rank_dtotal_95,rank_dtotal_max,rank_dused_95,rank_dused_max,affin_cnt,affin_rec_cnt,rank_aff_device_cnt2,rc_sort,row_color_value,cpu_95_value,cpu_max_value,mem_95_value,mem_max_value,iops_95_value,iops_max_value,dtotal_95_value,dtotal_max_value,dused_95_value,dused_max_value,sc_activity_value,sc_interface_value,rank_appcomp_value,rank_aff_device_cnt2_value,summary_95,summary_max
"14753","i-074b6dac28847335e/CentOS6","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14754","i-0ce3e871aa344a75e/CentOS6.3 02","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14756","i-0f1945a2fb0c6de3c/AD-Instance-10.10.0.5","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14757","i-07961f10f0bf53d11/CentOS-Roman-10.10.0.7","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14758","i-0b324e26bae84d00c/linux-mysql-10.10.0.10","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14759","i-0f22aad865c486902/linux-apache-10.10.0.11","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14760","i-04c8558efb90707ab/linux-postgres-10.10.0.12","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14761","i-072bb8efb33b0f168/linux-mariadb-10.10.0.14","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14762","i-00968eaa3b00d4894/linux-mongodb-10.10.0.15","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14763","i-04d8cb2ead7d87a0f/ubuntu-tomcat-10.10.0.16","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14764","i-0f67fc44a1a040d2e/ubuntu-hadoop-10.10.0.17","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14765","i-0c19d1ad0516b9368/win2008-iis7-10.10.0.18-.net","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14766","i-0da591cca7db7c9f0/win2012-mssql-10.10.0.20","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14767","i-072b0f438f751369b/win2003-iis6-10.10.0.19-.net","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14768","i-0e44a6c46fe10bb65/linux-sybase-10.10.0.21","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14769","i-0e800522d246a0966/linux-oracle-10.10.0.23","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14770","i-0372763770a9dea21/ubuntu-coldfusion-10.10.0.22-pay","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14771","i-03300ab5df9ca426b/ol7.2-10.10.0.25","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14772","i-0503ae493648c1a81/ubuntu-scollector-influxdb-10.10.0.26","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14773","i-032f3d48c0974ac7a/ubuntu-scollector-10.10.0.27","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14774","i-0eb60663a734254ae/ubuntu-scollector-10.10.0.28","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14775","i-048c6788ff61d5c5e/linux-websphere-10.10.0.29-pay","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14776","i-05cbf46c3a43408e7/ubuntu-exago-10.10.0.30","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14777","i-024e30a5a1ad31359/ubuntu-proxy-10.10.0.31","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14778","i-030f8ed9794b6b6a5/d42-11.8.1-10.10.0.33","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14779","i-07f08ce0c0eb4a0ed/d42-exago-10.10.0.32","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14780","i-02df8e62f70d38500/d42-appliance-10.10.0.4","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14781","i-0898c4f23a46e7e0c/d42-appliance-10.10.0.6","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14782","i-0e4d6b9f332d496f4/d42-smallest-13.4.0-10.10.0.34","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14783","i-06daf79fa7b17697d/d42-smallest-2-13.4.0-10.10.0.35","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14784","i-0185522e6fe721707/centos-requiretty-10.10.0.36","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14785","i-0d1db908a42e5f3cc/d42-test","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14786","i-0dc18f0f02cdc4e6a/d42-rc-for-vulns-testing","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14787","i-0550b4fd1979da659/jaylo-instance-d42","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14788","i-0c0b8ef7668a2ba7f/test42.device42.net","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14789","i-0de2239d8230ec829/accenture.device42.net - Jaylo","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14790","i-04d15e172967c7478/keyauth-lab","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14791","i-08e45b7ec48104ea2","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"14792","i-065d5a1319aa99f24","Virtual","Amazon EC2 Instance","AWS-Kubernetes,AppX,Jupiter",3,"Production",,0,0,1,,"","","","","","","","No Match","","","RePlatform","","","","","","","","","","","","","","",,,,,,,,,,,"",,,,,,,,,,,,,,,,0,,,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
