Device Name,Device IP Addresses,Software ID,SIU PK,Software Name,Software Component Name,Related App Comp,Software Alias,Software Version,File Version,Installation Date,Installation Path,Device ID,Allowed License Count,Discovered License Count,License Consumption,Software Type
"WIN-C6RWVD8M6JK","10.10.93.138","31962","298394","KB4018466","","","","KB4018466","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31865","298260","KB3099860","","","","KB3099860","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32039","298477","KB4056446","","","","KB4056446","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31718","298037","KB2719177","","","","KB2719177","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31981","298413","KB4022748","","","","KB4022748","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31729","298050","KB2756919","","","","KB2756919","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31909","298341","KB3191492","","","","KB3191492","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31944","298376","KB4012497","","","","KB4012497","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31964","298396","KB4018821","","","","KB4018821","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32076","298517","KB4130957","","","","KB4130957","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31635","297936","KB2447568","","","","KB2447568","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24203","263977","Update for Microsoft .NET Framework 4.5.2 (KB4040977)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31808","298150","KB2937608","","","","KB2937608","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31785","298121","KB2875783","","","","KB2875783","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31680","297987","KB2598479","","","","KB2598479","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32090","298532","KB4339854","","","","KB4339854","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31833","298193","KB3013455","","","","KB3013455","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31730","298051","KB2757638","","","","KB2757638","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31989","298422","KB4025398","","","","KB4025398","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31685","297992","KB2618451","","","","KB2618451","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32060","298500","KB4089175","","","","KB4089175","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31999","298432","KB4034034","","","","KB4034034","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31617","297918","KB2761494","","","","KB2761494","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32006","298440","KB4035055","","","","KB4035055","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31982","298414","KB4022750","","","","KB4022750","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32020","298456","KB4041995","","","","KB4041995","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31612","297913","944036","","","","944036","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31723","298044","KB2736233","","","","KB2736233","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31758","298087","KB2832412","","","","KB2832412","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32096","298539","KB4344104","","","","KB4344104","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32125","298568","KB973565","","","","KB973565","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31720","298039","KB2722913","","","","KB2722913","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31781","298114","KB2864063","","","","KB2864063","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31705","298017","KB2660465","","","","KB2660465","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31896","298325","KB3174644","","","","KB3174644","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32142","298585","KB976772","","","","KB976772","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31959","298391","KB4017018","","","","KB4017018","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31622","297923","KB2305420","","","","KB2305420","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31632","297933","KB2423089","","","","KB2423089","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32040","298478","KB4056448","","","","KB4056448","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32092","298534","KB4340937","","","","KB4340937","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32167","298610","KB4467706","","","","KB4467706","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24219","263995","Update for Microsoft .NET Framework 4.5.2 (KB4014514)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31728","298049","KB2756822","","","","KB2756822","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31947","298379","KB4012598","","","","KB4012598","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32147","298590","KB978886","","","","KB978886","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31898","298329","KB3177723","","","","KB3177723","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31910","298342","KB3192321","","","","KB3192321","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32049","298488","KB4073011","","","","KB4073011","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31826","298179","KB3002657","","","","KB3002657","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31776","298105","KB2861855","","","","KB2861855","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31640","297941","KB2483185","","","","KB2483185","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31735","298057","KB2763674","","","","KB2763674","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31998","298431","KB4032955","","","","KB4032955","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31807","298149","KB2936068","","","","KB2936068","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32068","298509","KB4093224","","","","KB4093224","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32162","298605","KB981332","","","","KB981332","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24214","263994","Security Update for Microsoft .NET Framework 4.5.2 (KB3037581)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24208","263992","Security Update for Microsoft .NET Framework 3.5 SP1 (KB2604111)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31872","298285","KB3135982","","","","KB3135982","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31770","298099","KB2847311","","","","KB2847311","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31623","297924","KB2345886","","","","KB2345886","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31810","298152","KB2943344","","","","KB2943344","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31620","297921","KB2207566","","","","KB2207566","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31652","297955","KB2510531","","","","KB2510531","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31746","298070","KB2804580","","","","KB2804580","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31924","298356","KB3203838","","","","KB3203838","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31716","298035","KB2718523","","","","KB2718523","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32158","298601","KB980232","","","","KB980232","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31899","298330","KB3177725","","","","KB3177725","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32075","298516","KB4130956","","","","KB4130956","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32148","298591","KB979099","","","","KB979099","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32031","298468","KB4048970","","","","KB4048970","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32161","298604","KB981322","","","","KB981322","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32004","298438","KB4034775","","","","KB4034775","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31740","298063","KB2785220","","","","KB2785220","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31773","298102","KB2855844","","","","KB2855844","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32121","298564","KB971961","","","","KB971961","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31650","297953","KB2508429","","","","KB2508429","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32078","298519","KB4134651","","","","KB4134651","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24205","263976","Security Update for Microsoft .NET Framework 4.5.2 (KB3074230)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31839","298204","KB3034344","","","","KB3034344","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31737","298060","KB2778930","","","","KB2778930","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31613","297914","KB982861","","","","KB982861","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31834","298194","KB3014029","","","","KB3014029","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32034","298471","KB4050795","","","","KB4050795","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32114","298557","KB970653","","","","KB970653","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32107","298550","KB961501","","","","KB961501","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31883","298307","KB3153199","","","","KB3153199","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31642","297943","KB2497640","","","","KB2497640","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32054","298494","KB4074834","","","","KB4074834","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31901","298332","KB3181707","","","","KB3181707","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31792","298130","KB2892075","","","","KB2892075","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31932","298364","KB3210129","","","","KB3210129","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24196","263996","Update for Microsoft .NET Framework 4.5.2 (KB4014559)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31837","298201","KB3029944","","","","KB3029944","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31891","298320","KB3164035","","","","KB3164035","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24224","263972","Security Update for Microsoft .NET Framework 4.5.2 (KB3142033)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24222","264016","Hotfix for Microsoft .NET Framework 3.5 SP1 (KB953595)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31768","298097","KB2846071","","","","KB2846071","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","24215","264005","Security Update for Microsoft .NET Framework 4.5.2 (KB3074550)","","","","1","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31748","298074","KB2809289","","","","KB2809289","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","31706","298019","KB2665364","","","","KB2665364","",,"","13297",,1,,"unmanaged"
"WIN-C6RWVD8M6JK","10.10.93.138","32127","298570","KB973874","","","","KB973874","",,"","13297",,1,,"unmanaged"
