Last_Discovered,Device ID,Device_Name,Tags,In Service,Service_Level,Device_Type,Device Subtype,Device_Serial,Virtual Host,Network Device,OS Architecture,Total CPUs,Cores Per CPU,Threads Per Core,CPU Speed,Total Cores,RAM,OS Vendor,OS Category,OS Name,OS Version,OS Version Number,OS_End of Life,OS_End of Support,Manufacturer,Hardware Model,Asset Number,Software Discovered,Services Discovered,Application Components Discovered,Local Disk Count,Mounts Discovered,IP Addresses Discovered,Parts Discovered,BIOS Version,BIOS Revision,BIOS Release Date,Storage Room,Building Name,Room Name,Row Name,Rack Name,Size (RU),network_shares,mount_points,account,Cloud Service Provider,Cloud Service Name,Cloud Instance ID,Cloud Instance Name,Cloud Instance Type,Cloud Instance Status,Cloud Location,Cloud Notes,PO Date,PO Cost,Line Item Cost,Order Number,Cost Center,Cost Center Description,all_listener_device_ips,all_labels,Used Space,Total Space,Total Free Space,IP_Address,Customer
2021-09-23 11:26:48.656,"15586","04be3c2f9eab","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:07:50.986,"14431","04f24681728b","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:07:55.123,"14557","059365ed96ae","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:08:28.506,"15459","07f121fe944a","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:07:51.133,"14435","0850d9f9c6cd","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:08:29.490,"15485","0a5e976f98fc","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:07:46.640,"14317","0a70b79e59e0","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:07:44.860,"14266","0c4dd44921be","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:07:37.746,"13796","0cee63b32c19","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
2021-02-19 05:07:39.163,"13850","0d48597b39c4","",True,"Production","virtual","Docker Container","",False,False,"",,,,,,,"Ubuntu Test Vendor","","Ubuntu - 18.04","18.04","",2023-04-30 00:00:00.000,2028-04-30 00:00:00.000,"","","",0,0,0,0,0,0,0,"","","","","","","","",,"","","","","","","","","","","",,,,"",,"","","",0,,"","",""
