Array Model,Array Name,Software Version,Capacity (TB),Free Capacity (TB),Used Capacity (TB),Raw Capacity (TB),Raw Used Capacity (TB),Raw Free Capacity (TB),Raw Used Percentage,Disk Counts
"","10.92.10.15..data.col1.backup.mtree.json","",,,,,,,,""
"","10.92.10.15..data.col1.d42do-530.mtree.json","",,,,,,,,""
"","10.92.10.15..data.col1.test.mtree.json","",,,,,,,,""
"","10.92.10.15..data.col1.tp-storage.mtree.json","",,,,,,,,""
"UnityVSA","","5.0.0",0.136,0.115,0.021,0,0,0,,""
"","NetApp_Cluster","9.5P6",0.033,0.021,0.013,0.218,0.027,0.191,0.12385321100917432,"4GB fcal x56"
"Unity 300","CKM00164000536","4.2.0",1.505,1.406,0.099,0,0,0,,"1.8TB sas x4"
"Isilon OneFS","wbd42isilon1","v8.0.0.7",32.44,32.401,0.039,32.749,32.749,0,1,"1.0TB sata x36"
"VNX5300","dev42vnx5100","05.32.000.5.225",1.209,1.012,0.197,2.514,2.514,0,1,"200GB ssd x2, 600GB sas x4"
"Isilon OneFS","d42dev","v8.2.1.0",0.153,0.149,0.004,0.196,0.196,0,1,"0.5GB sas x2, 5GB sas x40"
"AF1000","AF1000","5.2.1.400-796142-opt",3.367,3.359,0.008,5.24,5.24,0,1,"240GB ssd x24"
"Sun Storage VMware","Oraclezfs","2013.06.05.8.0,1-1.34",0.034,0.034,0,0.122,0.068,0.054,0.55737704918032782,"5GB unknown x15, 50GB unknown x1"
"FA-450","wbd42pstgr1","4.10.3",41.325,40.633,0.691,65.14,65.14,0,1,"2GB nvram x4, 512GB ssd x140"
"FAS2040","WH-NETAPP-01","8.0.2",5.092,0.52,4.573,7.277,7.277,0,1,"900GB sata x18"
"DD2200","wbd42ddc03.device42.pvt","Data Domain OS 6.2.1.40-671977",6.803,6.77,0.032,12.6,10.8,1.8,0.85714285714285721,"2.0TB sas x13"
"HP_3PAR 8200","Device42_3Par_Sim","3.2.2",67.336,62.756,4.58,67.336,67.336,0,1,"400GB ssd x96, 900GB fc x72, 2.0TB nl x24"
"VMWARE","Infinidate1","5.0.10.200",278.65,63.797,214.748,0,0,0,,""
"","cluster1","9.5P6",0.151,0.122,0.029,0.218,0.027,0.191,0.12385321100917432,"4GB fcal x56"
