storagearraylun_pk,resource_fk,name,identifier,category,element_type,vendor_define_type,storagearray_fk,storagearray_name,storagearray_type,storagearray_identifier,storagearraypool_fk,storagearraypool_name,block_size,bound,cache_enabled,caption,compressed,compression_rate,created_at,data_format,data_reduction,dataset_type,depth,imported,is_composite,mapped,naa_name,owning_controller,protection,raid_type,rebuild_priority,recovery_enabled,replicated_on,rmr_source,rmr_target,serial_number,num_snapshots,is_thin,capacity,used_capacity,free_capacity,spare_capacity,allocated_capacity,consumable_capacity,metadata_capacity,subscribed_capacity,over_subscribed_capacity,percent_free,percent_used,total_reduction_ratio,total_reduction_savings,num_volumes,wwn,storage_tier,status,first_added,last_edited,last_changed,protocol,technology
"6715","6715","d42do-1143-01","lun|sv_10|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",1,0,1,"",0,,3.25,,"",100,0,"",,,"6006016069714200acd5556199d6ecbe","","ok",2021-10-01 01:01:34.216,2021-11-01 01:02:12.540,2021-10-01 01:01:34.213,"","sas"
"6325","6325","ThickLun","lun|sv_3|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",2,"",10,10,0,"",10,,3.25,,"",0,100,"",,,"600601606971420026515f60e681c5da","","ok",2021-06-15 17:02:08.706,2021-11-01 01:02:12.500,2021-07-27 15:01:28.696,"","sas"
"2066","2066","esx02","lun|/vol/vol5/esx02|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,False,"","","","raid_dp",,,"","","","SKXBLKEdn0j0",,"",10,0,,"",,,,,"",,0,"",,,"60a98000534b58424c4b45646e306a30","","online",2021-01-26 19:07:55.193,2021-11-12 01:01:12.453,2021-07-27 15:02:25.383,"","sata"
"2062","2062","compute2","lun|/vol/vol2/compute2|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKDPYr0y",,"",1024.02,880.551,,"",,,,,"",,85.99,"",,,"60a98000534b58424c4b445059723079","","online",2021-01-26 19:07:55.176,2021-11-12 01:01:12.420,2021-08-17 00:01:09.303,"fc","sata"
"6324","6324","ArrayIQTest-01","lun|sv_2|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",0,"",50,0,50,"",0,,4,,"",100,0,"",,,"6006016069714200c7505f601540003e","","ok",2021-06-15 17:02:08.700,2021-11-01 01:02:12.490,2021-07-27 15:01:28.683,"","sas"
"6090","6090","testd_2","lun|00002|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6099","Concrete storage pool 0001 for APM00125186274 storage system",512,"true",False,"",False,1,"","FBA","","",,"false",False,True,"","SP_A","LUN","RAID-1",3,False,"","","","",,"",10,10,,"",10,10,,0,"",,100,"",,,"60060160a64133007439fa084e58ea11","","online",2021-06-07 17:51:30.070,2021-11-12 11:01:12.396,2021-07-27 15:01:25.273,"","ssd"
"2258","2258","Pure-RDM-01","lun|Pure-RDM-01|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011020",,"",10,0,10,"",,,,,"",100,0,"69906",,147323,"624a9370def59bf5854d4d0700011020","","ok",2021-02-05 16:28:11.303,2021-11-11 15:54:13.626,2021-11-11 15:54:13.620,"fc","ssd"
"6094","6094","StorageTesting_1","lun|00006|array|APM00125186274","{lun}","lun","LUN","6069","dev42vnx5100","Array (VNX)","array|APM00125186274","6098","Concrete storage pool 0000 for APM00125186274 storage system",512,"true",True,"",False,1,"","FBA","","",,"false",False,True,"","SP_B","LUN","RAID-5",3,False,"","","","",,"",50,50,,"",50,50,,0,"",,100,"",,,"60060160bb4133007a58b983c46beb11","","online",2021-06-07 17:51:30.103,2021-11-12 11:01:12.433,2021-07-27 15:01:25.336,"fc","sas"
"2259","2259","Pure-RDM-02","lun|Pure-RDM-02|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,True,"","","","",,,"","","","DEF59BF5854D4D0700011021",,"",10,0.001,9.999,"",,,,,"",99.99,0.01,"10520.7",,1249957,"624a9370def59bf5854d4d0700011021","","ok",2021-02-05 16:28:11.306,2021-11-11 15:54:13.633,2021-10-26 14:54:13.583,"fc","ssd"
"2236","2236","AIQTest03","lun|AIQTest03|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011013",,"",50,0,50,"",,,,,"",100,0,"1",,0,"624a9370def59bf5854d4d0700011013","","ok",2021-01-26 20:11:55.643,2021-11-11 15:54:13.530,2021-07-27 14:53:26.923,"","ssd"
"6326","6326","TestDatastore","lun|sv_4|array|CKM00164000536","{lun}","lun","LUN","6301","CKM00164000536","Array (UNITY)","array|CKM00164000536","6321","Unity_Pool_01",,"",,"",,,"","","","",,"",,,"","","","",,,"","","","",2,"",100,0,100,"",0,,4.75,,"",100,0,"",,,"6006016069714200b9515f60fdb0e574","","ok",2021-06-15 17:02:08.716,2021-11-01 01:02:12.506,2021-07-27 15:01:28.710,"fc","sas"
"6683","6683","d42do-679-03","lun|066fcdbccae2100adb000000000000000000000003|array|096fcdbccae2100adb000000000000000000000001","{lun}","lun","LUN","6626","AF1000","Array (NIMBLE)","array|096fcdbccae2100adb000000000000000000000001","6673","default",,"",,"",,,"","","","",,"",,,"","","unprotected","",,,"","","","",,"",50,23.311,26.689,"",,,,,"",53.378,46.622,"",,,"092569b9080ac8356c9ce90011b6dd8d","","online",2021-09-11 00:01:07.546,2021-11-12 01:01:12.616,2021-11-12 01:01:12.613,"fc","ssd"
"2234","2234","AIQTest01","lun|AIQTest01|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011011",,"",50,0,50,"",,,,,"",100,0,"1",,0,"624a9370def59bf5854d4d0700011011","","ok",2021-01-26 20:11:55.636,2021-11-11 15:54:13.516,2021-07-27 14:53:26.900,"","ssd"
"2237","2237","AIQTest04","lun|AIQTest04|array|def59bf5-854d-4d07-a456-adcceb18fceb","{lun}","lun","LUN","2080","wbd42pstgr1","Array (PURE)","array|def59bf5-854d-4d07-a456-adcceb18fceb","","",,"",,"",,,"","","","",,"",,False,"","","","",,,"","","","DEF59BF5854D4D0700011014",,"",50,0,50,"",,,,,"",100,0,"1",,0,"624a9370def59bf5854d4d0700011014","","ok",2021-01-26 20:11:55.646,2021-11-11 15:54:13.540,2021-07-27 14:53:26.933,"","ssd"
"2063","2063","compute1","lun|/vol/vol2/compute1|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKDPYqLS",,"",1024.02,185.154,,"",,,,,"",,18.081,"",,,"60a98000534b58424c4b445059714c53","","online",2021-01-26 19:07:55.180,2021-11-12 01:01:12.386,2021-07-27 15:02:25.290,"fc","sata"
"3258","3258","lunOne","lun|/vol/NetApp02/lunOne|array|0142255929","{lun}","lun","LUN","2042","WH-NETAPP-01","Array (NETAPP)","array|0142255929","2055","aggr0",512,"",,"",,,"","","","",,"",,True,"","","","raid_dp",,,"","","","SKXBLKiitzWY",,"",55,21.538,,"",,,,,"",,39.16,"",,,"60a98000534b58424c4b6969747a5759","","online",2021-05-04 15:42:04.963,2021-11-12 01:01:12.443,2021-10-15 00:00:34.133,"iscsi","sata"
