listener_device_fk,client_device_fk,Listening Device Name,Listening Device Type,Listening Serial Number,Listening Device UUID,Listening Device Service Level,Listening Device Tags,Listening Device First Added,Listening Device Last Changed,Listening IP,Protocol,Port Communication,Client Device Name,Client Device Type,Client Device Service Level,Client Device First Added,Client Device Last Changed,Client IP,Client Private or Public IP,Listener Private or Public IP
"","10449","","","","","","",,,"104.114.161.71","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.225.64.69","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.226.36.75","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.226.45.103","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.226.49.117","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.226.50.10","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.32.86.90","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.32.87.94","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.33.59.8","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.35.112.11","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.35.112.55","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
"","10449","","","","","","",,,"13.35.118.123","TCP",443,"qa-wds-90-7-4","virtual","Production",2019-08-07 20:16:06.533,2021-07-28 21:50:57.873,"10.90.7.4","Private","Public"
