Cod.Produto,Produto,Categoria
1,"Soja 1L","Soja"
2,"Suco Uva 1L","Bebidas"
3,"Suco Tangerina 1L","Bebidas"
4,"Suco Maracuja 1L","Bebidas"
5,"Bebida Lactea 200mL","Bebidas"
6,"Bebida Lactea 1L","Bebidas"
7,"Suco Laranja 1L","Bebidas"
8,"Suco Pessêgo 1L","Bebidas"
9,"Iogurte","Bebidas"
10,"Suco Manga 1L","Bebidas"
11,"Suco Goiaba 1L","Bebidas"
12,"Achocolatado em pó","Chocolate"
13,"Chocolate 1L","Chocolate"
14,"Choc Zero 200 Ml","Chocolate"
15,"Choc Zero 1L","Chocolate"
16,"Chocolate 200 Ml","Chocolate"
17,"Creme 200 Gr","Creme de Leite"
18,"Creme Zero 200 Gr","Creme de Leite"
19,"Creme Granel","Creme de Leite"
20,"Creme 1 Kg","Creme de Leite"
21,"Leite Desnatado","Leite Magro"
22,"Leite Semi","Leite Magro"
23,"Leite Zero Lactose","Leite Magro"
24,"Leite Integral","Leite Magro"
25,"Manteiga Sem Sal","Manteiga"
26,"Manteiga Com Sal","Manteiga"
27,"Provolone 40 Kg","Queijo"
28,"Ricota Sem Pimenta","Queijo"
29,"Gorgonzola 3 Kg","Queijo"
30,"Ricota Frac. Com Pimenta","Queijo"
31,"Provolone Provóla 200 GR","Queijo"
32,"Ricota Com Pimenta","Queijo"
33,"Parmesão Fracionado","Queijo"
34,"Provolone 1 Kg","Queijo"
35,"Provolone Fracionado","Queijo"
36,"Provolonete 400 Gr","Queijo"
37,"Aparas P/ Ralar","Queijo"
38,"Provolone 5 Kg","Queijo"
39,"Provolone 100 Kg","Queijo"
40,"Provolone 20 Kg","Queijo"
41,"Ricota Frac. Sem Pimenta","Queijo"
42,"Provolone 10 Kg","Queijo"
43,"Provolone 8 Kg","Queijo"
44,"Provolone Provóla 2,5 Kg","Queijo"
45,"Mussarela 4 Kg","Queijo"
46,"Parmesao 8 Kg","Queijo"
