Row Index,Income Statement Items,Summary 1,Items (Normalized),Summary Index
1,"          Distributor","","Distributor",
2,"          Export","","Export",
3,"          Wholesale","","Wholesale",
5,"","","",
6,"          COS - Commissions","","COS - Commissions",
7,"          COS - Equipment","","COS - Equipment",
8,"          COS - Labor Burden","","COS - Labor Burden",
9,"          COS - Materials","","COS - Materials",
10,"          COS - Other Costs","","COS - Other Costs",
11,"          COS - Prize Fund","","COS - Prize Fund",
12,"          COS - Prize Fund Constr.","","COS - Prize Fund Constr.",
13,"          COS - Referral Fund","","COS - Referral Fund",
14,"          COS - Repair Fund","","COS - Repair Fund",
15,"          COS - Subcontractors","","COS - Subcontractors",
17,"","","",
20,"","","",
21,"          Depreciation Expense","","Depreciation Expense",
22,"          Sales - Fleet Depreciation","","Sales - Fleet Depreciation",
23,"          Education","","Education",
24,"          Sealer Material","","Sealer Material",
25,"          Fuel Expense - Const.Admin","","Fuel Expense - Const.Admin",
26,"          Insurance - Auto/Property","","Insurance - Auto/Property",
27,"          Insurance - Health","","Insurance - Health",
28,"          Insurance - Liability/Umbrella","","Insurance - Liability/Umbrella",
29,"          Insurance - Life","","Insurance - Life",
30,"          Insurance-Workers Comp","","Insurance-Workers Comp",
31,"          Liability Insurance","","Liability Insurance",
32,"          Canvassing","","Canvassing",
33,"          Co-op Advertising fee","","Co-op Advertising fee",
34,"          Direct Advertising Expense","","Direct Advertising Expense",
35,"          Home Show Branch Directed","","Home Show Branch Directed",
36,"          Sweepstakes Contributions","","Sweepstakes Contributions",
37,"          Delivery / Postage","","Delivery / Postage",
38,"          Office Apparel","","Office Apparel",
39,"          Office Security","","Office Security",
40,"          Office Supplies","","Office Supplies",
41,"          Printing","","Printing",
42,"          Utilities - Office","","Utilities - Office",
43,"          Auto Expense - Tolls/Parking","","Auto Expense - Tolls/Parking",
44,"          Expense re-imbursement","","Expense re-imbursement",
45,"          Inactive Job Costs","","Inactive Job Costs",
46,"          Miscellaneous Const. Expenses","","Miscellaneous Const. Expenses",
47,"          Quality Assurance","","Quality Assurance",
48,"          Rental Yard/Storage","","Rental Yard/Storage",
49,"          Share Of Corporate Overhead","","Share Of Corporate Overhead",
50,"          Showroom Amortization","","Showroom Amortization",
51,"          SPU Training","","SPU Training",
52,"          Training Travel Expenses","","Training Travel Expenses",
53,"          Health Insurance Const.Admin","","Health Insurance Const.Admin",
54,"          P/R - 401M Expense","","P/R - 401M Expense",
55,"          P/R Taxes - Construction Admin","","P/R Taxes - Construction Admin",
56,"          P/R Taxes Sales/Admin","","P/R Taxes Sales/Admin",
57,"          Payroll - Construction Admin","","Payroll - Construction Admin",
58,"          Payroll Sales","","Payroll Sales",
59,"          Payroll-Admin/Accounting","","Payroll-Admin/Accounting",
60,"          Workers Comp - Const.Admin","","Workers Comp - Const.Admin",
61,"          Professional Fees - Legal","","Professional Fees - Legal",
62,"          Recruiting","","Recruiting",
63,"          Rent - Office","","Rent - Office",
64,"          Rent/Lease Office Equipment","","Rent/Lease Office Equipment",
65,"          Software Expense","","Software Expense",
66,"          Telecomm - Broadband","","Telecomm - Broadband",
67,"          Telecommunications","","Telecommunications",
68,"          T&E - Airfare","","T&E - Airfare",
69,"          T&E - Lodging","","T&E - Lodging",
70,"          T&E - Meals & Entertainment","","T&E - Meals & Entertainment",
71,"          Auto Milage Allow Mgmt","","Auto Milage Allow Mgmt",
72,"          Truck Lease Insurance","","Truck Lease Insurance",
73,"          Truck Lease Interest (ENT)","","Truck Lease Interest (ENT)",
74,"          Truck Lease Maintenance","","Truck Lease Maintenance",
76,"","","",
4,"Total Revenues","Total Revenues","Total Revenues",1
16,"Total COGS","Total COGS","Total COGS",2
18,"Total Gross Profit","Total Gross Profit","Total Gross Profit",3
19,"Gross Profit %","Gross Profit %","Gross Profit %",4
75,"Total Other Expenses","Total Other Expenses","Total Other Expenses",5
77,"Total Net Profit","Total Net Profit","Total Net Profit",6
78,"Net Profit %","Net Profit %","Net Profit %",7
