PID,variable,value
100056,Invoice Date,2019-02-18 00:00:00.000
100074,Invoice Date,2019-03-08 00:00:00.000
100034,Invoice Date,2019-01-27 00:00:00.000
100446,Invoice Date,2020-03-14 00:00:00.000
100426,Invoice Date,2020-02-23 00:00:00.000
100230,Invoice Date,2019-08-11 00:00:00.000
100211,Invoice Date,2019-07-23 00:00:00.000
100010,Invoice Date,2019-01-03 00:00:00.000
100353,Invoice Date,2019-12-12 00:00:00.000
100071,Invoice Date,2019-03-05 00:00:00.000
100079,Invoice Date,2019-03-13 00:00:00.000
100443,Invoice Date,2020-03-11 00:00:00.000
100409,Invoice Date,2020-02-06 00:00:00.000
100430,Invoice Date,2020-02-27 00:00:00.000
100457,Invoice Date,2020-03-25 00:00:00.000
100419,Invoice Date,2020-02-16 00:00:00.000
100158,Invoice Date,2019-05-31 00:00:00.000
100094,Invoice Date,2019-03-28 00:00:00.000
100427,Invoice Date,2020-02-24 00:00:00.000
100078,Invoice Date,2019-03-12 00:00:00.000
100001,Invoice Date,2018-12-25 00:00:00.000
100465,Invoice Date,2020-04-02 00:00:00.000
100012,Invoice Date,2019-01-05 00:00:00.000
100248,Invoice Date,2019-08-29 00:00:00.000
100077,Invoice Date,2019-03-11 00:00:00.000
100209,Invoice Date,2019-07-21 00:00:00.000
100441,Invoice Date,2020-03-09 00:00:00.000
100076,Invoice Date,2019-03-10 00:00:00.000
100031,Invoice Date,2019-01-24 00:00:00.000
100181,Invoice Date,2019-06-23 00:00:00.000
100114,Invoice Date,2019-04-17 00:00:00.000
100239,Invoice Date,2019-08-20 00:00:00.000
100102,Invoice Date,2019-04-05 00:00:00.000
100407,Invoice Date,2020-02-04 00:00:00.000
100019,Invoice Date,2019-01-12 00:00:00.000
100040,Invoice Date,2019-02-02 00:00:00.000
100387,Invoice Date,2020-01-15 00:00:00.000
100464,Invoice Date,2020-04-01 00:00:00.000
100302,Invoice Date,2019-10-22 00:00:00.000
100141,Invoice Date,2019-05-14 00:00:00.000
100285,Invoice Date,2019-10-05 00:00:00.000
100249,Invoice Date,2019-08-30 00:00:00.000
100155,Invoice Date,2019-05-28 00:00:00.000
100174,Invoice Date,2019-06-16 00:00:00.000
100332,Invoice Date,2019-11-21 00:00:00.000
100118,Invoice Date,2019-04-21 00:00:00.000
100298,Invoice Date,2019-10-18 00:00:00.000
100073,Invoice Date,2019-03-07 00:00:00.000
100091,Invoice Date,2019-03-25 00:00:00.000
100125,Invoice Date,2019-04-28 00:00:00.000
100416,Invoice Date,2020-02-13 00:00:00.000
100278,Invoice Date,2019-09-28 00:00:00.000
100197,Invoice Date,2019-07-09 00:00:00.000
100413,Invoice Date,2020-02-10 00:00:00.000
100219,Invoice Date,2019-07-31 00:00:00.000
100133,Invoice Date,2019-05-06 00:00:00.000
100080,Invoice Date,2019-03-14 00:00:00.000
100435,Invoice Date,2020-03-03 00:00:00.000
100064,Invoice Date,2019-02-26 00:00:00.000
100149,Invoice Date,2019-05-22 00:00:00.000
100297,Invoice Date,2019-10-17 00:00:00.000
100303,Invoice Date,2019-10-23 00:00:00.000
100461,Invoice Date,2020-03-29 00:00:00.000
100176,Invoice Date,2019-06-18 00:00:00.000
100083,Invoice Date,2019-03-17 00:00:00.000
100305,Invoice Date,2019-10-25 00:00:00.000
100232,Invoice Date,2019-08-13 00:00:00.000
100455,Invoice Date,2020-03-23 00:00:00.000
100221,Invoice Date,2019-08-02 00:00:00.000
100363,Invoice Date,2019-12-22 00:00:00.000
100447,Invoice Date,2020-03-15 00:00:00.000
100016,Invoice Date,2019-01-09 00:00:00.000
100154,Invoice Date,2019-05-27 00:00:00.000
100365,Invoice Date,2019-12-24 00:00:00.000
100020,Invoice Date,2019-01-13 00:00:00.000
100385,Invoice Date,2020-01-13 00:00:00.000
100313,Invoice Date,2019-11-02 00:00:00.000
100057,Invoice Date,2019-02-19 00:00:00.000
100204,Invoice Date,2019-07-16 00:00:00.000
100394,Invoice Date,2020-01-22 00:00:00.000
100312,Invoice Date,2019-11-01 00:00:00.000
100272,Invoice Date,2019-09-22 00:00:00.000
100299,Invoice Date,2019-10-19 00:00:00.000
100401,Invoice Date,2020-01-29 00:00:00.000
100026,Invoice Date,2019-01-19 00:00:00.000
100403,Invoice Date,2020-01-31 00:00:00.000
100383,Invoice Date,2020-01-11 00:00:00.000
100156,Invoice Date,2019-05-29 00:00:00.000
100043,Invoice Date,2019-02-05 00:00:00.000
100444,Invoice Date,2020-03-12 00:00:00.000
100138,Invoice Date,2019-05-11 00:00:00.000
100132,Invoice Date,2019-05-05 00:00:00.000
100399,Invoice Date,2020-01-27 00:00:00.000
100322,Invoice Date,2019-11-11 00:00:00.000
100415,Invoice Date,2020-02-12 00:00:00.000
100306,Invoice Date,2019-10-26 00:00:00.000
100023,Invoice Date,2019-01-16 00:00:00.000
100308,Invoice Date,2019-10-28 00:00:00.000
100047,Invoice Date,2019-02-09 00:00:00.000
100460,Invoice Date,2020-03-28 00:00:00.000
100056,Invoice Type,Yearly
100074,Invoice Type,Monthly
100034,Invoice Type,Monthly
100446,Invoice Type,OTC
100426,Invoice Type,Monthly
100230,Invoice Type,OTC
100211,Invoice Type,Monthly
100010,Invoice Type,OTC
100353,Invoice Type,Yearly
100071,Invoice Type,OTC
100079,Invoice Type,Monthly
100443,Invoice Type,OTC
100409,Invoice Type,OTC
100430,Invoice Type,OTC
100457,Invoice Type,Monthly
100419,Invoice Type,Monthly
100158,Invoice Type,OTC
100094,Invoice Type,OTC
100427,Invoice Type,Yearly
100078,Invoice Type,Monthly
100001,Invoice Type,OTC
100465,Invoice Type,OTC
100012,Invoice Type,Monthly
100248,Invoice Type,Monthly
100077,Invoice Type,Monthly
100209,Invoice Type,Yearly
100441,Invoice Type,Monthly
100076,Invoice Type,OTC
100031,Invoice Type,Monthly
100181,Invoice Type,Monthly
100114,Invoice Type,Monthly
100239,Invoice Type,Yearly
100102,Invoice Type,Monthly
100407,Invoice Type,OTC
100019,Invoice Type,Monthly
100040,Invoice Type,Yearly
100387,Invoice Type,OTC
100464,Invoice Type,Monthly
100302,Invoice Type,OTC
100141,Invoice Type,Yearly
100285,Invoice Type,OTC
100249,Invoice Type,Yearly
100155,Invoice Type,Monthly
100174,Invoice Type,Monthly
100332,Invoice Type,Monthly
100118,Invoice Type,OTC
100298,Invoice Type,Monthly
100073,Invoice Type,OTC
100091,Invoice Type,Monthly
100125,Invoice Type,OTC
100416,Invoice Type,OTC
100278,Invoice Type,Monthly
100197,Invoice Type,Monthly
100413,Invoice Type,OTC
100219,Invoice Type,OTC
100133,Invoice Type,Monthly
100080,Invoice Type,Monthly
100435,Invoice Type,Monthly
100064,Invoice Type,Monthly
100149,Invoice Type,Monthly
100297,Invoice Type,Monthly
100303,Invoice Type,OTC
100461,Invoice Type,Monthly
100176,Invoice Type,Monthly
100083,Invoice Type,Monthly
100305,Invoice Type,Monthly
100232,Invoice Type,OTC
100455,Invoice Type,Yearly
100221,Invoice Type,Monthly
100363,Invoice Type,Monthly
100447,Invoice Type,OTC
100016,Invoice Type,OTC
100154,Invoice Type,Monthly
100365,Invoice Type,Monthly
100020,Invoice Type,OTC
100385,Invoice Type,Yearly
100313,Invoice Type,OTC
100057,Invoice Type,OTC
100204,Invoice Type,Monthly
100394,Invoice Type,OTC
100312,Invoice Type,Yearly
100272,Invoice Type,Monthly
100299,Invoice Type,OTC
100401,Invoice Type,Yearly
100026,Invoice Type,Yearly
100403,Invoice Type,OTC
100383,Invoice Type,Yearly
100156,Invoice Type,OTC
100043,Invoice Type,Monthly
100444,Invoice Type,OTC
100138,Invoice Type,Monthly
100132,Invoice Type,Monthly
100399,Invoice Type,OTC
100322,Invoice Type,OTC
100415,Invoice Type,Monthly
100306,Invoice Type,OTC
100023,Invoice Type,Monthly
100308,Invoice Type,OTC
100047,Invoice Type,Monthly
100460,Invoice Type,Monthly
100056,Amount,34.99
100074,Amount,60.0
100034,Amount,35.0
100446,Amount,35.0
100426,Amount,60.0
100230,Amount,70.0
100211,Amount,10.0
100010,Amount,19.0
100353,Amount,75.0
100071,Amount,150.0
100079,Amount,15.0
100443,Amount,120.0
100409,Amount,118.0
100430,Amount,30.0
100457,Amount,35.0
100419,Amount,60.0
100158,Amount,35.0
100094,Amount,59.0
100427,Amount,360.0
100078,Amount,66.0
100001,Amount,30.0
100465,Amount,125.0
100012,Amount,10.0
100248,Amount,199.0
100077,Amount,60.0
100209,Amount,39.99
100441,Amount,10.0
100076,Amount,120.0
100031,Amount,350.0
100181,Amount,69.0
100114,Amount,5.0
100239,Amount,16.0
100102,Amount,15.0
100407,Amount,9.95
100019,Amount,30.0
100040,Amount,35.0
100387,Amount,30.0
100464,Amount,30.0
100302,Amount,35.0
100141,Amount,360.0
100285,Amount,120.0
100249,Amount,16.0
100155,Amount,10.0
100174,Amount,350.0
100332,Amount,60.0
100118,Amount,120.0
100298,Amount,10.0
100073,Amount,120.0
100091,Amount,55.0
100125,Amount,86.25
100416,Amount,59.0
100278,Amount,110.0
100197,Amount,20.0
100413,Amount,122.1
100219,Amount,120.0
100133,Amount,60.0
100080,Amount,60.0
100435,Amount,5.0
100064,Amount,60.0
100149,Amount,5.0
100297,Amount,30.0
100303,Amount,35.0
100461,Amount,30.0
100176,Amount,35.0
100083,Amount,20.0
100305,Amount,30.0
100232,Amount,39.0
100455,Amount,39.99
100221,Amount,66.0
100363,Amount,60.0
100447,Amount,35.0
100016,Amount,35.0
100154,Amount,30.0
100365,Amount,15.0
100020,Amount,104.0
100385,Amount,34.99
100313,Amount,35.0
100057,Amount,34.99
100204,Amount,40.0
100394,Amount,250.0
100312,Amount,39.99
100272,Amount,10.0
100299,Amount,125.0
100401,Amount,39.99
100026,Amount,39.99
100403,Amount,59.0
100383,Amount,16.0
100156,Amount,125.0
100043,Amount,15.0
100444,Amount,35.0
100138,Amount,65.0
100132,Amount,60.0
100399,Amount,
100322,Amount,125.0
100415,Amount,10.0
100306,Amount,104.0
100023,Amount,20.0
100308,Amount,59.0
100047,Amount,65.0
100460,Amount,350.0
100056,MonthNo,2
100074,MonthNo,3
100034,MonthNo,1
100446,MonthNo,3
100426,MonthNo,2
100230,MonthNo,8
100211,MonthNo,7
100010,MonthNo,1
100353,MonthNo,12
100071,MonthNo,3
100079,MonthNo,3
100443,MonthNo,3
100409,MonthNo,2
100430,MonthNo,2
100457,MonthNo,3
100419,MonthNo,2
100158,MonthNo,5
100094,MonthNo,3
100427,MonthNo,2
100078,MonthNo,3
100001,MonthNo,12
100465,MonthNo,4
100012,MonthNo,1
100248,MonthNo,8
100077,MonthNo,3
100209,MonthNo,7
100441,MonthNo,3
100076,MonthNo,3
100031,MonthNo,1
100181,MonthNo,6
100114,MonthNo,4
100239,MonthNo,8
100102,MonthNo,4
100407,MonthNo,2
100019,MonthNo,1
100040,MonthNo,2
100387,MonthNo,1
100464,MonthNo,4
100302,MonthNo,10
100141,MonthNo,5
100285,MonthNo,10
100249,MonthNo,8
100155,MonthNo,5
100174,MonthNo,6
100332,MonthNo,11
100118,MonthNo,4
100298,MonthNo,10
100073,MonthNo,3
100091,MonthNo,3
100125,MonthNo,4
100416,MonthNo,2
100278,MonthNo,9
100197,MonthNo,7
100413,MonthNo,2
100219,MonthNo,7
100133,MonthNo,5
100080,MonthNo,3
100435,MonthNo,3
100064,MonthNo,2
100149,MonthNo,5
100297,MonthNo,10
100303,MonthNo,10
100461,MonthNo,3
100176,MonthNo,6
100083,MonthNo,3
100305,MonthNo,10
100232,MonthNo,8
100455,MonthNo,3
100221,MonthNo,8
100363,MonthNo,12
100447,MonthNo,3
100016,MonthNo,1
100154,MonthNo,5
100365,MonthNo,12
100020,MonthNo,1
100385,MonthNo,1
100313,MonthNo,11
100057,MonthNo,2
100204,MonthNo,7
100394,MonthNo,1
100312,MonthNo,11
100272,MonthNo,9
100299,MonthNo,10
100401,MonthNo,1
100026,MonthNo,1
100403,MonthNo,1
100383,MonthNo,1
100156,MonthNo,5
100043,MonthNo,2
100444,MonthNo,3
100138,MonthNo,5
100132,MonthNo,5
100399,MonthNo,1
100322,MonthNo,11
100415,MonthNo,2
100306,MonthNo,10
100023,MonthNo,1
100308,MonthNo,10
100047,MonthNo,2
100460,MonthNo,3
